rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,2026년 02월,24000,21600,9.9,	9791194383796,https://www.yes24.com/product/goods/176901674
2,"조코딩의 바이브 코딩 1인 창업 wih 클로드 코드, 수파베이스, 스트라이프",조동근,한빛미디어,2026년 05월,30000,27000,,	9791175790568,https://www.yes24.com/product/goods/189855418
3,혼자 공부하는 바이브 코딩 with 클로드 코드,조태호,한빛미디어,2025년 12월,30000,27000,9.9,	9791199529847,https://www.yes24.com/product/goods/167573138
4,클로드 코드로 시작하는 실전 에이전틱 코딩,Goos Kim,더 타이즈,2026년 05월,33000,29700,10.0,	9788966265343,https://www.yes24.com/product/goods/189211422
5,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",차진우,골든래빗,2026년 05월,28000,25200,10.0,	9791124516133,https://www.yes24.com/product/goods/189114943
6,클로드 코드 마스터,"이남희, 백승현",한빛미디어,2026년 04월,36000,32400,9.8,	9791175790513,https://www.yes24.com/product/goods/186846424
7,"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,9.5,	9791190488617,https://www.yes24.com/product/goods/150566390
8,AI로 10배 빠르게 일하는 법,"이도혜, 고신복, 김경태, 박소희, 박은혜, 정보 더 보기/감추기, 이도혜, 고신복, 김경태, 박소희, 박은혜, 양유직, 오세종, 정광우, 조난영, 진효식, 허난희, 김진선",미디어북,2026년 05월,20000,20000,10.0,	9791194548225,https://www.yes24.com/product/goods/189521546
9,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태",앤써북,2025년 12월,19800,17820,10.0,	9791193059715,https://www.yes24.com/product/goods/169849422
10,바쁜 교사를 위한 바로 쓰는 AI,"전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,24000,21600,10.0,	9791167073006,https://www.yes24.com/product/goods/185897982
11,된다! 캡컷 영상 편집,지민이,이지스퍼블리싱,2026년 05월,22000,19800,10.0,	9791163038504,https://www.yes24.com/product/goods/188182444
12,한눈에 보는 AI 반도체 산업,MrTrigger,한빛미디어,2026년 03월,26000,23400,9.9,	9791175790407,https://www.yes24.com/product/goods/183751609
13,AI 실전 마스터 칼릭스의 프롬프트 디테일,칼릭스(손윤석),한빛비즈,2026년 04월,22000,19800,9.8,	9791157848751,https://www.yes24.com/product/goods/187927629
14,하네스 엔지니어링 with 클로드 코드,황민호,한빛미디어,2026년 06월,30000,27000,,	9791175790599,https://www.yes24.com/product/goods/189818905
15,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2023년 06월,22000,19800,9.7,	9791163034735,https://www.yes24.com/product/goods/119293186
16,진짜 쓰는 실무 엑셀,전진권,제이펍,2022년 02월,21000,18900,9.8,	9791191600704,https://www.yes24.com/product/goods/106711883
17,궁금한 IT,김상래,위키북스,2022년 11월,20000,18000,10.0,	9791158393762,https://www.yes24.com/product/goods/115321082
18,지적 대화를 위한 AI 언어 수업,강수진,어웨이크(AWAKE),2026년 05월,20000,18000,,	9791199624979,https://www.yes24.com/product/goods/189212536
19,AI와 과학관,"손성근, 김민환, 김상우",커뮤니케이션북스,2026년 05월,12000,12000,,	9791143027269,https://www.yes24.com/product/goods/190210830
20,된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,20000,18000,9.8,	9791163037873,https://www.yes24.com/product/goods/163301895
21,자연은 왜 이토록 단순하면서도 아름다운가,"로버트 칸, 크리스 퀴그, 박병철",알에이치코리아(RHK),2026년 04월,35000,31500,10.0,	9788925569543,https://www.yes24.com/product/goods/186833195
22,바이브 코더를 위한 최소한의 AI/IT 지식,"클리커, 이희영",한빛미디어,2026년 04월,22000,19800,10.0,	9791175790544,https://www.yes24.com/product/goods/187173505
23,클로드 코드를 활용한 바이브 코딩 완벽 입문,"히라카와 토모히데, 최용",위키북스,2026년 03월,26000,23400,9.5,	9791158396688,https://www.yes24.com/product/goods/180513899
24,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,22000,19800,10.0,	9791175790445,https://www.yes24.com/product/goods/189413191
25,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 서원진, 박권",한빛미디어,2026년 04월,24000,21600,9.9,	9791175790261,https://www.yes24.com/product/goods/183538633
26,된다! 스레드 활용법,거북이걸음,이지스퍼블리싱,2026년 06월,22000,19800,10.0,	9791163038573,https://www.yes24.com/product/goods/189520507
27,바로바로 제미나이 X 구글 AI,공냥이,골든래빗,2026년 06월,24000,21600,,	9791124516157,https://www.yes24.com/product/goods/189114942
28,이게 되네? 오픈클로 미친 활용법 50제,한준구,골든래빗,2026년 05월,24000,21600,9.7,	9791124516034,https://www.yes24.com/product/goods/185166276
29,학교에서 바로 쓰는 제미나이 & 노트북LM,"손성호, 김민, 김상백, 송유미, 박권, 정보 더 보기/감추기, 손성호, 김민, 김상백, 송유미, 박권, 최동욱",학교도서관저널,2026년 04월,19000,17100,10.0,	9788969152565,https://www.yes24.com/product/goods/184533580
30,제미나이 교사 마스터 플랜 (2026년 최신판),한민철,책바세,2026년 04월,30000,27000,10.0,	9791194000143,https://www.yes24.com/product/goods/183545796
31,이게 되네? 캔바 AI 미친 활용법 47제,이지쌤(이지훈),골든래빗,2026년 05월,24000,21600,10.0,	9791124516058,https://www.yes24.com/product/goods/187491806
32,"오픈클로 with GPT, 제미나이, 클로드",강민혁,한빛미디어,2026년 03월,22000,19800,9.5,	9791175790315,https://www.yes24.com/product/goods/180510836
33,혼자 공부하는 파이썬,윤인성,한빛미디어,2022년 06월,22000,19800,9.4,	9791162245651,https://www.yes24.com/product/goods/109625396
34,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,황은지,제이펍,2026년 05월,22000,19800,10.0,	9791124205495,https://www.yes24.com/product/goods/189128697
35,클로드 디자인 시작하기,조남경,비엘북스,2026년 05월,25000,22500,,	9791186573860,https://www.yes24.com/product/goods/189037004
36,AI 에이전트 개발 완벽 입문,"에디 유, 김대규, 조경아, 김현지",위키북스,2026년 04월,42000,37800,9.9,	9791158396756,https://www.yes24.com/product/goods/186921504
37,"클로드 코워크 with 스킬, 플러그인","클리커, 강민혁",한빛미디어,2026년 03월,26000,23400,9.1,	9791175790421,https://www.yes24.com/product/goods/183674597
38,세컨드 브레인은 옵시디언 with 클로드 코드,시안,골든래빗,2026년 04월,25000,23750,9.8,	9791194383970,https://www.yes24.com/product/goods/184275427
39,AI 에이전트 엔지니어링,"마이클 알바다, 강민혁",한빛미디어,2026년 01월,32000,28800,9.5,	9791175790131,https://www.yes24.com/product/goods/174018513
40,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,20000,18000,9.8,	9791169213615,https://www.yes24.com/product/goods/145426898
41,일 잘하는 직장인의 AI 활용법,"김덕중, 김민정, 김인선",디지털북스,2026년 05월,22000,19800,,	9788960885134,https://www.yes24.com/product/goods/189531001
42,된다! 조회수 터지는 유튜브 쇼츠 만들기,최지영,이지스퍼블리싱,2025년 04월,22000,19800,9.9,	9791163036944,https://www.yes24.com/product/goods/143907967
43,"캔바로 만든 디자인, 돈이 됩니다",안형선,길벗,2026년 06월,22000,19800,,	9791140718900,https://www.yes24.com/product/goods/190216116
44,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,조현정,골든래빗,2026년 06월,24000,21600,,	9791124516218,https://www.yes24.com/product/goods/189823964
45,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,불혹코딩,골든래빗,2026년 05월,26000,23400,9.9,	9791124516010,https://www.yes24.com/product/goods/187024885
46,딸깍! 바이브 코딩 by 안티그래비티,반병현,생능북스,2026년 04월,25000,22500,9.8,	9791194630692,https://www.yes24.com/product/goods/184675866
47,된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,9.5,	9791163037231,https://www.yes24.com/product/goods/146955725
48,이게 되네? 챗GPT 미친 활용법 71제,오힘찬,골든래빗,2025년 01월,24000,21600,9.6,	9791194383116,https://www.yes24.com/product/goods/140835200
49,만들면서 배우는 AI 에이전트 개발 입문+실전,박나연(공원나연),한빛미디어,2026년 05월,37000,33300,10.0,	9791175790452,https://www.yes24.com/product/goods/187703288
50,혼자 공부하는 컴퓨터 구조+운영체제,강민철,한빛미디어,2022년 08월,28000,25200,9.8,	9791162243091,https://www.yes24.com/product/goods/111378840
51,요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호,골든래빗,2026년 02월,28000,25200,9.8,	9791194383734,https://www.yes24.com/product/goods/174658020
52,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,20000,18000,9.7,	9791199271227,https://www.yes24.com/product/goods/152644865
53,AI로 나만의 3D 애니메이션 만들기,김희령,로드북,2026년 05월,27000,24300,,	9791193229477,https://www.yes24.com/product/goods/189522258
54,오픈클로,오창근,생능북스,2026년 05월,22000,19800,10.0,	9791194630746,https://www.yes24.com/product/goods/189477317
55,바로바로 바이브 코딩 with 커서 AI,박현규,골든래빗,2026년 04월,30000,27000,10.0,	9791194383871,https://www.yes24.com/product/goods/183530330
56,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),"송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,19000,19000,10.0,	9791193205914,https://www.yes24.com/product/goods/189629427
57,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,씨엠제이(최민정),한빛미디어,2026년 05월,18000,16200,10.0,	9791175790377,https://www.yes24.com/product/goods/188882750
58,기계가 언어를 사용한다는 것에 대한 인문학적 사유,"마크 코켈버그, 데이비드 J.건컬, 신동숙, 손화철",생각이음,2026년 04월,19000,17100,,	9791198740748,https://www.yes24.com/product/goods/188188392
59,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",김용성,프리렉,2026년 04월,25000,22500,9.6,	9788965404385,https://www.yes24.com/product/goods/185714339
60,"광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108","321web(미쓰이 마사유키), 김현미",시프트,2026년 01월,18000,16200,10.0,	9791199271265,https://www.yes24.com/product/goods/174048990
61,바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 이상선",다빈치books,2025년 09월,22000,19800,10.0,	9791192775791,https://www.yes24.com/product/goods/152079426
62,"3주 완성 초등 AI 웹툰 With 투닝, 망고툰",한송이,서사원주니어,2026년 05월,20000,18000,10.0,	9791168225954,https://www.yes24.com/product/goods/189360735
