rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,[그래제본소] 연봉 2배 AI 업무술,문병용,진서원,,25200,25200,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=275020
2,초지능 시대 생존을 위한 AI 교양 수업,"바오쿤, 하은지",지니의서재,,19800,19800,,	9791194620389,https://www.yes24.com/product/goods/194188524
3,사수 없이 AI와 함께 보고서 쓰기,"남효승, 윤지연",대경북스,,16200,16200,,	9791171681648,https://www.yes24.com/product/goods/194344596
4,이게 되네? GPT 이미지 2 미친 활용법 61제,공냥이,골든래빗,,18000,18000,,	9791124516515,https://www.yes24.com/product/goods/194522716
5,엑셀과 파워포인트 2024 달인 만들기,신수복,생능출판사,2026년 08월,30000,30000,,	9791194630890,https://www.yes24.com/product/goods/194606659
6,LLM을 활용한 데이터 분석,"이매뉴얼 트러머, 옥경석",에이콘출판사,2026년 08월,27000,24300,,	9791175640009,https://www.yes24.com/product/goods/194601369
7,AI가 알아서 굴려주는 월급쟁이 재테크,김태형,한빛미디어,2026년 08월,23000,20700,,	9791175790797,https://www.yes24.com/product/goods/194600081
8,누구나 아는 나만 모르는 클로드,이성원,한빛미디어,2026년 08월,20000,18000,,	9791175790896,https://www.yes24.com/product/goods/194599856
9,"엔트리로 배우는 K-코딩 16가지 작품 만들기 : K-POP,K-게임,K-테크,K-스마트 라이프",전진아,앤써북,2026년 08월,17700,15930,10.0,	9791193059906,https://www.yes24.com/product/goods/194591330
10,브랜드 아파트 가치와 AI 분석,"강현주, 최이선, 윤영길, 김혜영, 서정렬",커뮤니케이션북스,2026년 08월,12000,12000,,	9791143031129,https://www.yes24.com/product/goods/194588239
11,브랜드 아파트 가치와 AI 분석 (큰글자책),"강현주, 최이선, 윤영길, 김혜영, 서정렬",커뮤니케이션북스,2026년 08월,25000,25000,,	9791143031136,https://www.yes24.com/product/goods/194588240
12,AI와 대학 영어,이선영,커뮤니케이션북스,2026년 08월,12000,12000,,	9791143031211,https://www.yes24.com/product/goods/194588241
13,AI와 대학 영어 (큰글자책),이선영,커뮤니케이션북스,2026년 08월,25000,25000,,	9791143031228,https://www.yes24.com/product/goods/194588242
14,요즘 우아한 백엔드 개발,우아한형제들,골든래빗,2026년 08월,26000,23400,,	9791124516171,https://www.yes24.com/product/goods/194574931
15,아머드 코어 6 루비콘의 화염 오피셜 아트북,프롬 소프트웨어,미스터블루,2026년 08월,44000,39600,,	9791138068512,https://www.yes24.com/product/goods/194524145
16,초보자를 위한 AWS,설진욱,영진닷컴,2026년 08월,22000,19800,,	9788931483802,https://www.yes24.com/product/goods/194524082
17,쉽게 배워 실무에 바로 쓰는 POWER BI,"송윤희, 권태돈",성안당,2026년 07월,35000,31500,,	9788931584776,https://www.yes24.com/product/goods/194523745
18,AI와 학습만화,신동선,커뮤니케이션북스,2026년 08월,12000,12000,,	9791143030986,https://www.yes24.com/product/goods/194522708
