rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,바쁜 교사를 위한 바로 쓰는 AI,"전소영, 이태화, 조두연",사회평론아카데미,,0,0,,9791167073006,https://www.yes24.com/product/goods/185897982
2,클로드 코드 마스터,"이남희, 백승현",한빛미디어,,0,0,,9791175790513,https://www.yes24.com/product/goods/186846424
3,돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,정소희,골든래빗,,0,0,,9791194383994,https://www.yes24.com/product/goods/185824258
4,2026 최신판 ISMS-P 인증심사원 자격검정 실전모의고사,"김창중, 한종빈, 오명선, 오세현, 권승만",다락원,,0,0,,9788927775829,https://www.yes24.com/product/goods/186634974
5,LangChain과 LangGraph로 만드는 LLM 애플리케이션 2/e,"벤 아우파스, 레오니드 쿨리긴, 옥경석, 박규성",에이콘출판사,2026년 04월,0,0,,9791161759418,https://www.yes24.com/product/goods/187572169
6,에이전트 시대의 AI 시스템 설계,"발리아파 락슈마난, 하네스 막스 하프케, 류광",한빛미디어,2026년 04월,0,0,,9791175790490,https://www.yes24.com/product/goods/187519430
7,이게 되네? 캔바 AI 미친 활용법 47제,이지쌤(이지훈),골든래빗,2026년 05월,0,0,,9791124516058,https://www.yes24.com/product/goods/187491806
8,제조업 AI 내재화와 기술 경영,손승진,커뮤니케이션북스,2026년 04월,0,0,,9791143023773,https://www.yes24.com/product/goods/187485043
9,제조업 AI 내재화와 기술 경영 (큰글자책),손승진,커뮤니케이션북스,2026년 04월,0,0,,9791143023780,https://www.yes24.com/product/goods/187485045
10,AI 자가 설계,최성자,커뮤니케이션북스,2026년 04월,0,0,,9791143024978,https://www.yes24.com/product/goods/187485046
11,AI 자가 설계 (큰글자책),최성자,커뮤니케이션북스,2026년 04월,0,0,,9791143024985,https://www.yes24.com/product/goods/187485048
12,AGI와 SAI: 차세대 인공지능의 진화,이정헌,커뮤니케이션북스,2026년 04월,0,0,,9791143025098,https://www.yes24.com/product/goods/187485050
13,AGI와 SAI: 차세대 인공지능의 진화 (큰글자책),이정헌,커뮤니케이션북스,2026년 04월,0,0,,9791143025104,https://www.yes24.com/product/goods/187485052
14,AGI 시대의 가추적 사유,서준호,커뮤니케이션북스,2026년 04월,0,0,,9791143025128,https://www.yes24.com/product/goods/187485053
15,AGI 시대의 가추적 사유 (큰글자책),서준호,커뮤니케이션북스,2026년 04월,0,0,,9791143025135,https://www.yes24.com/product/goods/187485054
16,AI와 군자론,이승형,커뮤니케이션북스,2026년 04월,0,0,,9791143025180,https://www.yes24.com/product/goods/187485055
