rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,[그래제본소] 이기적 양육자,김성곤,더디퍼런스,,19800,19800,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=276381
2,아이와 친해지는 101가지 방법,혜삼,용감한까치,,17820,17820,,	9791191994520,https://www.yes24.com/product/goods/196507992
3,"초등 입학, 마음 근육이 먼저입니다",박미리,미다스북스(리틀미다스),,17550,17550,,	9791176821773,https://www.yes24.com/product/goods/196512808
4,김대석 셰프의 계절 밥상 1,김대석,경향비피,,18000,18000,10.0,	9788969526670,https://www.yes24.com/product/goods/196500754
5,2027 벤꾸리 가계부,강희연,시원북스,2026년 09월,14000,9800,,	8809499071087,https://www.yes24.com/product/goods/196722762
6,"누구나 10분, 홈메이드 말차 드링크","고야마 마사요시, 양수현",시원북스,2026년 09월,16800,15120,,	9791124612712,https://www.yes24.com/product/goods/196722023
7,10대의 뇌,"프랜시스 젠슨, 에이미 엘리스 넛, 김성훈",웅진지식하우스,2026년 09월,21000,18900,,	9788901300696,https://www.yes24.com/product/goods/196711952
8,2027 맘마미아 가계부,맘마미아,진서원,2026년 09월,12000,10800,,	8809479180228,https://www.yes24.com/product/goods/196706995
9,영양의 지동설,장준홍,군자출판사,2026년 09월,30000,30000,,	9791170685241,https://www.yes24.com/product/goods/196696315
10,SKY와 의대는 이런 학생을 선발합니다,하지원,한국경제신문,2026년 09월,22000,19800,,	9788947503228,https://www.yes24.com/product/goods/196681892
11,2027 오늘부터 가계부,,주택문화사,2026년 10월,13200,9900,,	8809575620130,https://www.yes24.com/product/goods/196575270
12,천천히 나이 드는 식사법,현대그린푸드,싸이프레스,2026년 09월,26000,23400,,	9791160322859,https://www.yes24.com/product/goods/196575994
13,오늘부터 초등 독해왕: 고전편,김민아,주니어클랩,2026년 09월,19800,17820,10.0,	9791193941799,https://www.yes24.com/product/goods/196575075
14,아니 내가 학부모라니,김선영,BOOKK(부크크),2026년 08월,13000,13000,,	9791112276643,https://www.yes24.com/product/goods/196555848
15,내 아이는 왜 마음과 다르게 행동할까,김미정,BOOKK(부크크),2026년 09월,29100,29100,,	9791112283849,https://www.yes24.com/product/goods/196555740
16,우리도 아빠가 처음이다,최진호,BOOKK(부크크),2026년 09월,15900,15900,,	9791112285768,https://www.yes24.com/product/goods/196555721
17,교실 속의 철학자들,"유숙영, 유미정",BOOKK(부크크),2026년 08월,11000,11000,,	9791112273369,https://www.yes24.com/product/goods/196555668
18,내가 학부모가 된다고요?,멧풀다솜(이응구),BOOKK(부크크),2026년 09월,9000,9000,,	9791112285324,https://www.yes24.com/product/goods/196555555
19,2027 심플 가계부,스튜디오 유나,유나(YUNA),2026년 09월,5700,3990,,	8809479921210,https://www.yes24.com/product/goods/196553916
20,2027 가계부 : 컴포지션 북 에디션,스튜디오 유나,유나(YUNA),2026년 09월,5700,3990,,	8809479921227,https://www.yes24.com/product/goods/196553912
21,"초등1학년, 혼자 건너는 아이는 없다: 학교의 하루를 설계하다","한민경, Lexi Hwang, 조혜진, 곽혜민, 김희은, 정보 더 보기/감추기, 한민경, Lexi Hwang, 조혜진, 곽혜민, 김희은, 홍진, 김수영, 윤보민, 이경은, 박다혜, 김웅희, 박정우, 김나연, 임미희, 류은영, 정은미, 김영은, 박은혜, 최지혜",에이스북,2026년 10월,28000,28000,,	9791122111606,https://www.yes24.com/product/goods/196552926
22,김밥 책 The Gimbap Book,우정욱,한스미디어,2026년 09월,25000,22500,,	9791124272886,https://www.yes24.com/product/goods/196551807
23,"엄마라는 이름, 엄마라는 세계",윤소연,바른북스,2026년 09월,17000,15300,10.0,	9791176215244,https://www.yes24.com/product/goods/196551300
24,인공지능시대 한국교육의 대전환,김학한,살림터,2026년 09월,18000,16200,,	9791159303746,https://www.yes24.com/product/goods/196551118
25,세상 모든 브런치 다이제스트,아날로그아카이브,아날로그아카이브,2026년 09월,9800,8820,,	8800331150694,https://www.yes24.com/product/goods/196550005
26,세상 모든 빵 다이제스트,아날로그아카이브,아날로그아카이브,2026년 09월,9800,8820,,	8800331150687,https://www.yes24.com/product/goods/196550003
