rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,골프 스윙의 정석,김민준,모티브,,19800,19800,10.0,	9791124370674,https://www.yes24.com/product/goods/190426730
2,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,류동열,북랩,,19800,19800,,	9791175981812,https://www.yes24.com/product/goods/191213521
3,보이지 않는 것을 믿는다는 것,박영태,BOOKK(부크크),,25600,25600,,	9791112195432,https://www.yes24.com/product/goods/190271913
4,츠무기 공방의 대바늘 뜨개 인형,"츠무기 공방, 김진아, 엔도 아야꼬",윌스타일(WILLSTYLE),,16200,16200,,	9791185676883,https://www.yes24.com/product/goods/190365907
5,내가 누구인지 아는 것이 왜 중요한가 + 자신의 불안과 싸우지 말것 세트,"페터 베르, 장혜경",갈매나무,2026년 06월,38300,34470,9.6,,https://www.yes24.com/product/goods/191485033
6,파크골프 이론과 실제,양재희,행복예감,2026년 06월,32000,32000,,	9791198589163,https://www.yes24.com/product/goods/191484051
7,스포츠 파워 트레이닝 가이드,이성국,예방의학사,2026년 06월,30000,27000,,	9791189807658,https://www.yes24.com/product/goods/191483837
8,패치워크 퀼트를 위한 아이디어 노트,"후지타 구미코, 김한나",지금이책,2026년 06월,22000,19800,,	9791188554966,https://www.yes24.com/product/goods/191479912
9,캡틴약사와 함께하는 유용한 약 상식,홍승대,생각의빛,2026년 07월,18500,16650,,	9791168141407,https://www.yes24.com/product/goods/191479664
10,디스 이즈 스페인 THIS IS SPAIN,전혜진,테라(TERRA),2026년 06월,21000,18900,,	9791192767475,https://www.yes24.com/product/goods/191479543
11,[그래제본소] 리보의 몽글몽글 그림일기 + 특별 엽서 5종,차리보,북센스,2026년 06월,21300,19320,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=271513
12,자신의 불안과 싸우지 말것,"페터 베르, 장혜경",갈매나무,2026년 06월,19800,17820,,	9791124226148,https://www.yes24.com/product/goods/191321625
13,『이름이 적힌 자는 살이 빠진다』 캥맨 F45 원데이 클래스,캥맨,중앙북스(books),2026년 06월,10000,10000,,,https://www.yes24.com/product/goods/191307147
14,모티브 연결 패턴과 베리에이션,"사카이 하나, 김한나, 김수산나",지금이책,2026년 06월,17500,15750,,	9791188554959,https://www.yes24.com/product/goods/191303395
16,코리안 와인딩 로드 500,펀치(김경태),멘토르,2026년 06월,29500,26550,,	9788963051420,https://www.yes24.com/product/goods/191298208
17,이름이 적힌 자는 살이 빠진다,캥맨,중앙북스(books),2026년 06월,22000,19800,,	9788927881711,https://www.yes24.com/product/goods/191222685
18,같은 비행기로 돌아오게 하소서,"이태흥, Mi Ryu",블루팬더,2026년 06월,21500,19350,,	9791199899506,https://www.yes24.com/product/goods/191221937
19,"안데스의 숨결, 대륙의 상흔",이상홍,지식과감성#,2026년 06월,20000,18000,,	9791139232752,https://www.yes24.com/product/goods/191221848
21,타로카드의 공감 시크릿,이리스,도서출판이곳,2026년 06월,20000,18000,,	9791196877217,https://www.yes24.com/product/goods/191209561
22,주간골프 (격주간) : 2026.6.28 [2026],,솔텍피앤디,2026년 06월,8800,8360,,	9772384255000,https://www.yes24.com/product/goods/191211924
23,임상 안마학,조현일,북랩,2026년 06월,19800,17820,,	9791175983298,https://www.yes24.com/product/goods/191188997
24,걷는 이의 축복 코리아둘레길 2,이화규,나무발전소,2026년 06월,22000,19800,,	9791194294269,https://www.yes24.com/product/goods/191184569
25,불안의 과학,박재연,누베다,2026년 06월,23400,21060,,	9791199907775,https://www.yes24.com/product/goods/191182016
26,장애인스포츠 역사,편석환,레인보우북스,2026년 05월,18000,17100,,	9788962065923,https://www.yes24.com/product/goods/191180630
27,"50대 중반, 파리 와인유학",신경한,북크로스비,2026년 05월,15000,13500,,	9791198274717,https://www.yes24.com/product/goods/191028557
28,일선 태권도장 교육 실천론,박남희,상아기획,2026년 06월,25000,22500,,	9791186196625,https://www.yes24.com/product/goods/191027368
29,치매박사 박주홍의 두뇌 홈트레이닝 1~9권 세트,박주홍,성안북스,2026년 04월,153000,137700,9.8,,https://www.yes24.com/product/goods/191026280
30,치매박사 박주홍의 두뇌 홈트레이닝 7~9권 세트,박주홍,성안북스,2026년 04월,51000,45900,,,https://www.yes24.com/product/goods/191026269
31,치매박사 박주홍의 두뇌 홈트레이닝 4~6권 세트,박주홍,성안북스,2025년 08월,51000,45900,,,https://www.yes24.com/product/goods/191025753
32,진조쌤 35일 기적의 수영책 (큰글자도서),진종남,서스테인,2026년 05월,34000,34000,,	9791193388341,https://www.yes24.com/product/goods/191023995
33,『채소 해독식』 이정인 저자 북토크,이정인,몽스북,2026년 06월,22820,22820,,,https://www.yes24.com/product/goods/191023676
34,이렇게 있을게,정하연,BOOKK(부크크),2026년 05월,13200,13200,,	9791112201089,https://www.yes24.com/product/goods/191021029
35,통기 갓손 가이드,손영성,킹인포,2026년 05월,15000,15000,,	9791199891371,https://www.yes24.com/product/goods/191020992
36,빛의 정원,나하나,BOOKK(부크크),2026년 05월,13200,13200,,	9791112200433,https://www.yes24.com/product/goods/191020988
37,빨간머리 앤 컬러링 북,그림달,BOOKK(부크크),2026년 05월,8800,8800,,	9791112201164,https://www.yes24.com/product/goods/191020981
38,제주 한달살이,신동옥,BOOKK(부크크),2026년 05월,10700,10700,,	9791112200259,https://www.yes24.com/product/goods/191020968
39,런던 LONDON : 1. 도시와 여행,"석종득, 담이(AI)",전략집단이음,2026년 05월,18300,18300,,	9791124577370,https://www.yes24.com/product/goods/191020960
40,"부산, 바다",최수정,BOOKK(부크크),2026년 05월,13200,13200,,	9791112200976,https://www.yes24.com/product/goods/191020952
41,서울의 느린 밤,최수정,BOOKK(부크크),2026년 05월,13200,13200,,	9791112200952,https://www.yes24.com/product/goods/191020947
42,"편두통NOW,편견을 깨다",곽태호,BOOKK(부크크),2026년 05월,17500,17500,,	9791112203861,https://www.yes24.com/product/goods/191020898
43,쉽고 편안한 꽃 컬러링북,곽영순,BOOKK(부크크),2026년 06월,8300,8300,,	9791112203274,https://www.yes24.com/product/goods/191020896
44,이탈리아 여행 컬러링북,소담채움,BOOKK(부크크),2026년 05월,17600,17600,,	9791112201058,https://www.yes24.com/product/goods/191020895
45,몸과 마음을 연결하는 질문,김민서,BOOKK(부크크),2026년 04월,18000,18000,,	9791112179951,https://www.yes24.com/product/goods/191020885
46,항공알파벳 컬러링북,홍정희,BOOKK(부크크),2026년 05월,8500,8500,,	9791112200785,https://www.yes24.com/product/goods/191020872
47,나는 내 배낭이 부끄럽다,김태라,BOOKK(부크크),2026년 05월,17200,17200,,	9791112202987,https://www.yes24.com/product/goods/191020867
48,그리고 삶은 계속된다,Irene Na,BOOKK(부크크),2026년 05월,12000,12000,,	9791112204554,https://www.yes24.com/product/goods/191020866
49,축구 유니폼 이야기,"클래식 풋볼 셔츠, 황희경, 한준희",삼호북스,2026년 06월,38000,34200,,	9791199358768,https://www.yes24.com/product/goods/191018370
