rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,나의 첫 번째 부동산 교과서,송희구,서삼독,,20700,20700,8.4,	9791193904435,https://www.yes24.com/product/goods/190813759
2,부의 갈림길,오건영,포레스트북스,,24300,24300,,	9791124591048,https://www.yes24.com/product/goods/190811719
3,슈퍼개미 이정윤의 성장주 집중 투자,이정윤,베가북스,,22500,22500,10.0,	9791194831372,https://www.yes24.com/product/goods/191535368
4,반드시 돈이 되는 조선주 투자의 법칙,엄경아,21세기북스,,19800,19800,10.0,	9791176610131,https://www.yes24.com/product/goods/190822677
5,AI 페르소나 마케팅 레볼루션,조수호,하움출판사,2026년 06월,23000,20700,,	9791173743764,https://www.yes24.com/product/goods/191604346
6,2027 전국 목욕탕·찜질방 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 06월,189000,170100,,	9791172346089,https://www.yes24.com/product/goods/191599024
7,주식투기의 심리학,"헨리 H. 하퍼, 데이비드 윤",그린랜드북,2026년 03월,14800,13320,,	9791124084519,https://www.yes24.com/product/goods/191563805
8,"기후·에너지·환경산업 분야 중견기업용 신사업 분석, 2026년 무탄소에너지, 탈탄소화 기술과 자원순환 대응 유망 핵심 기술, 시장 전망과 사업화 전략",,씨에치오얼라이언스(CHO Alliance),2026년 06월,480000,432000,,	9791193250518,https://www.yes24.com/product/goods/191561728
9,GEO 마케팅 어떻게 할 것인가?,김형택,e비즈북스,2026년 06월,20000,18000,,	9791157834051,https://www.yes24.com/product/goods/191561123
10,돈버는 주식공부,초류향,힘찬북스,2026년 06월,18000,16200,,	9791190227704,https://www.yes24.com/product/goods/191560304
11,2027 제지회사 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 05월,189000,170100,,	9791172345877,https://www.yes24.com/product/goods/191552943
12,2027 반도체회사 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 05월,189000,170100,,	9791172345860,https://www.yes24.com/product/goods/191552937
13,2027 고물상·재활용센터 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 05월,87000,78300,,	9791172345891,https://www.yes24.com/product/goods/191552934
14,2027 전국 택배회사 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 05월,189000,170100,,	9791172345907,https://www.yes24.com/product/goods/191552777
15,2027 섬유산업 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 05월,189000,170100,,	9791172345884,https://www.yes24.com/product/goods/191552772
16,유대인 엄마의 경제 교육,"사라 이마스, 임보미",빅마우스,2026년 06월,18500,16650,,	9791192556611,https://www.yes24.com/product/goods/191551353
17,센스 있는 생각에는 틀이 있다,"사토 마키, 아사미 아야카, 조사연",알레,2026년 06월,23000,20700,,	9791141186784,https://www.yes24.com/product/goods/191550886
18,최초의 기업가 문익점,윤동한,가디언,2026년 06월,20000,18000,,	9791167782021,https://www.yes24.com/product/goods/191549318
19,호가창을 보면 주식 매매가 보인다,유현창,두드림미디어,2026년 06월,20800,18720,,	9791124026403,https://www.yes24.com/product/goods/191547062
20,제3의 시간,"하리카이 유카, 정지영",센시오,2026년 06월,19000,17100,,	9791166572340,https://www.yes24.com/product/goods/191545356
21,올해도 B등급입니다 - 공공기관 안전활동 수준평가 담당자의 좌충우돌 생존기,이홍원,BOOKK(부크크),2026년 06월,18000,18000,,	9791112208101,https://www.yes24.com/product/goods/191543456
22,팩트 체크! 사업하는 사람들의 생각법,팩트스케일 연구소,BOOKK(부크크),2026년 06월,16500,16500,,	9791112208217,https://www.yes24.com/product/goods/191543436
23,가족법인 핵심 질문 77,"박민수, 김학송",BOOKK(부크크),2026년 06월,30000,30000,,	9791112203892,https://www.yes24.com/product/goods/191543435
24,K-직장인 120가지 캐릭터 도감,명성옥,(주)니즈앤씨즈 퍼블리싱,2026년 06월,18000,18000,,	9791199894402,https://www.yes24.com/product/goods/191543389
25,코인이 보이기 시작했다면,Bee Network Korea,BOOKK(부크크),2026년 05월,19500,19500,,	9791112205247,https://www.yes24.com/product/goods/191543381
26,외국인이 그리는 새로운 대한민국 상권 지도,최원철,BOOKK(부크크),2026년 06월,32000,32000,,	9791112206183,https://www.yes24.com/product/goods/191543333
28,밀도의 설계,주용석,지식공감,2026년 06월,23000,20700,,	9791156229964,https://www.yes24.com/product/goods/191534000
29,중부권 메가시티 사용설명서,김시덕,열린책들,2026년 06월,24000,21600,,	9788932925806,https://www.yes24.com/product/goods/191533950
30,중고차 수출 처음부터 끝까지,신현도,프랙티카,2026년 06월,27000,24300,,	9791199938007,https://www.yes24.com/product/goods/191532672
31,첨단산업 핵심 공정기술 동향분석-디스플레이・이차전지・AI 반도체,R&D정보센터,지식산업정보원,2026년 06월,420000,399000,,	9791158622862,https://www.yes24.com/product/goods/191532422
32,보험설계 및 컴플라이언스,"민복기, 이홍경",한국금융연수원,2026년 06월,20000,20000,,	9788928783144,https://www.yes24.com/product/goods/191531976
33,자산관리 실무사례,"박정국, 김문기, 이승희, 민복기, 김민규, 정보 더 보기/감추기, 박정국, 김문기, 이승희, 민복기, 김민규, 이재국",한국금융연수원,2026년 06월,20000,20000,,	9788928783151,https://www.yes24.com/product/goods/191531943
34,2026-27 전국 축제·행사 정보 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 06월,260000,234000,,	9791172346096,https://www.yes24.com/product/goods/191531551
35,2026-27 대기업 임원진 현황 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 06월,258000,232200,,	9791172346027,https://www.yes24.com/product/goods/191531543
36,2026-27 대기업 계열사 순위 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 06월,258000,232200,,	9791172346010,https://www.yes24.com/product/goods/191531534
37,실무사례 중심의 무역 회계와 세무 2026,"이강오, 이은자",CFO아카데미,2026년 06월,30000,30000,,	9791199790247,https://www.yes24.com/product/goods/191530660
38,알기쉬운 업종별 회계와 세무 2026,이강오,CFO아카데미,2026년 04월,35000,35000,,	9791199790216,https://www.yes24.com/product/goods/191530452
39,2026 대한민국 대표 화장품 원료기업 총람,(주)코스인,(주)코스인,2026년 06월,36000,34200,,	9772982994004,https://www.yes24.com/product/goods/191525493
40,한국 조선산업 성장사,배석만,해남,2026년 05월,35000,35000,,	9788962382211,https://www.yes24.com/product/goods/191523637
41,로비의 경제학,진주화,미래의창,2026년 06월,19000,17100,10.0,	9791124073315,https://www.yes24.com/product/goods/191522299
42,인도에서 기회를 만나다,신시열,이콘,2026년 06월,17000,15300,,	9791189318840,https://www.yes24.com/product/goods/191518343
43,내 통장을 지키는 단단한 심리학,유소향,도서출판 시대정신,2026년 06월,18900,17010,,	9791199413771,https://www.yes24.com/product/goods/191515956
44,부자 아빠의 리치 패밀리,"로버트 기요사키, 오웅석",민음인,2026년 06월,17000,15300,,	9791170527473,https://www.yes24.com/product/goods/191514875
45,글로벌 브랜딩,양문성,클라우드나인,2026년 06월,20000,18000,,	9791194534815,https://www.yes24.com/product/goods/191514196
46,2027 케이터링 업체 주소록 CD,한국콘텐츠미디어,한국콘텐츠미디어,2026년 05월,189000,170100,,	9791172346126,https://www.yes24.com/product/goods/191512828
