rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,2027 마더텅 수능기출문제집 사회·문화 (2026년),마더텅 편집부,마더텅,2025년 12월,21900,19710,9.9,9791175631335,https://www.yes24.com/product/goods/167652735
2,1등급 만들기 통합사회1 510제 (2026년용),백승진,미래엔,2024년 11월,11000,9900,9.7,9791173111334,https://www.yes24.com/product/goods/139560812
3,EBS 수능특강 국어영역 문학 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,13500,12150,9.8,9788954798136,https://www.yes24.com/product/goods/170737467
4,완자 기출 PICK 통합과학1 (2026년용),"여상기, 장인수, 조향숙",비상교육,2025년 02월,19000,17100,9.7,9791173163135,https://www.yes24.com/product/goods/142786688
5,완자 기출 PICK 통합사회1 (2026년용),"박홍인, 이진웅, 유향은",비상교육,2025년 03월,13000,11700,9.9,9791173163234,https://www.yes24.com/product/goods/143528888
6,1등급 만들기 한국사1 635제 (2026년용),강승호,미래엔,2024년 11월,12000,10800,9.8,9791173111341,https://www.yes24.com/product/goods/139560835
7,EBS 수능특강 국어영역 독서 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,13500,12150,9.8,9788954798143,https://www.yes24.com/product/goods/170737471
8,2027 마더텅 수능기출문제집 생활과 윤리 (2026년),마더텅 편집부,마더텅,2025년 12월,21900,19710,10.0,9791175631328,https://www.yes24.com/product/goods/167893794
9,EBS 수능특강 사회탐구영역 사회·문화 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,8200,7380,9.9,9788954798341,https://www.yes24.com/product/goods/170737981
10,Xistory 자이스토리 통합사회1 (2026년),"신경규, 정선우, 고인석",수경출판사,2025년 11월,17000,15300,10.0,9791162409350,https://www.yes24.com/product/goods/162327230
11,완자 기출 PICK 한국사1 (2026년용),"이은령, 박별",비상교육,2025년 03월,13000,11700,9.9,9791173163173,https://www.yes24.com/product/goods/143528854
12,EBS 수능특강 수학영역 수학1 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,7800,7020,9.9,9788954798204,https://www.yes24.com/product/goods/170737609
13,EBS 수능특강 수학영역 수학2 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,7800,7020,9.8,9788954798211,https://www.yes24.com/product/goods/170737612
14,EBS 수능특강 영어영역 영어 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,13500,12150,9.7,9788954798174,https://www.yes24.com/product/goods/170737587
15,오투 고등 통합과학 1 (2026년),비상교육 편집부,비상교육,2025년 09월,18000,16200,9.7,9791173167430,https://www.yes24.com/product/goods/153601845
16,Xistory 자이스토리 내신한국사1 (2026년용),길진봉,수경출판사,2024년 11월,17000,15300,10.0,9791162406250,https://www.yes24.com/product/goods/137501258
17,EBS 수능특강 사회탐구영역 생활과 윤리 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,8200,7380,9.9,9788954798266,https://www.yes24.com/product/goods/170737839
18,완자 고등 통합과학 1 (2026년용),"김은경, 채규선, 조향숙",비상교육,2024년 11월,19500,17550,9.9,9791173161902,https://www.yes24.com/product/goods/136904329
19,완자 기출 PICK 생명과학 (2026년),"이영호, 황남주, 송현진",비상교육,2025년 12월,15000,13500,9.8,9791173167874,https://www.yes24.com/product/goods/168376510
20,1등급 만들기 통합과학1 721제 (2026년용),강태욱,미래엔,2024년 11월,14000,12600,9.9,9791173111389,https://www.yes24.com/product/goods/138930254
21,EBS 수능특강 사용설명서 국어영역 문학 (2026년),EBS,한국교육방송공사,2026년 01월,18500,16650,9.8,9788954798730,https://www.yes24.com/product/goods/176232084
22,EBS 수능특강 수학영역 확률과 통계 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,7800,7020,9.7,9788954798228,https://www.yes24.com/product/goods/170737710
23,리얼 오리지널 수능특강 변형문제 영어 (2026년),입시플라이 영어교육연구소,입시플라이,2026년 03월,20000,18000,10.0,9788968984228,https://www.yes24.com/product/goods/180513387
24,1등급 만들기 현대사회와 윤리 745제 (2026년용),"문일호, 노춘하, 문성환, 유제니",미래엔,2025년 01월,13000,11700,9.9,9791173111471,https://www.yes24.com/product/goods/141266993
25,2027 마더텅 수능기출문제집 국어 문학 (2026년),마더텅 편집부,마더텅,2025년 12월,22900,20610,9.7,9791175631168,https://www.yes24.com/product/goods/167893602
26,Xistory 자이스토리 고2 사회와 문화 (2026년),이승은,수경출판사,2025년 11월,18500,16650,9.4,9791162409251,https://www.yes24.com/product/goods/163642788
27,2027 마더텅 수능기출문제집 국어 독서 (2026년),마더텅 편집부,마더텅,2025년 12월,21900,19710,9.9,9791175631137,https://www.yes24.com/product/goods/168229002
28,완자 기출 PICK 화학 (2026년),"조향숙, 김호성, 황지혁",비상교육,2025년 12월,15000,13500,9.7,9791173167867,https://www.yes24.com/product/goods/168376628
29,EBS 수능특강 국어영역 언어와 매체 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,10500,9450,9.8,9788954798167,https://www.yes24.com/product/goods/170737480
30,Xistory 자이스토리 현대사회와 윤리 (2026년),"유현상, 이현우, 정선우, 주미림",수경출판사,2025년 11월,18500,16650,9.8,9791162409268,https://www.yes24.com/product/goods/163643744
31,EBS 수능특강 영어영역 영어독해연습 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,13500,12150,9.7,9788954798198,https://www.yes24.com/product/goods/170737604
32,100발100중 수능특강 평가문제집 문학(상) (2026년),박주동,에듀원,2026년 03월,23000,20700,10.0,9791176090094,https://www.yes24.com/product/goods/182292170
33,버블티 고2 문학 비상(강호영) 내신대비 기출문제집 실전문제편 (2026년),조성우,학문아카이브,2026년 01월,28000,25200,10.0,9791194583820,https://www.yes24.com/product/goods/174199263
34,100발100중 수능특강 평가문제집 문학(하) (2026년),박주동,에듀원,2026년 04월,23000,20700,10.0,9791176090100,https://www.yes24.com/product/goods/184628016
35,EBS 수능특강 수학영역 미적분 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,7800,7020,10.0,9788954798235,https://www.yes24.com/product/goods/170737715
36,1등급 만들기 사회와 문화 660제 (2026년용),손영찬,미래엔,2025년 01월,13000,11700,9.9,9791173110382,https://www.yes24.com/product/goods/141266953
37,Xistory 자이스토리 통합과학1 (2026년),"강주은, 김동천, 김연귀, 김재이, 이재훈",수경출판사,2025년 11월,19000,17100,10.0,9791162409497,https://www.yes24.com/product/goods/162327018
38,EBS 수능특강 사회탐구영역 세계지리 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,8200,7380,9.9,9788954798297,https://www.yes24.com/product/goods/170737852
39,EBS 수능특강 국어영역 화법과 작문 (2026년) (2027 수능대비),EBS,한국교육방송공사,2026년 01월,10500,9450,9.8,9788954798150,https://www.yes24.com/product/goods/170737477
40,완자 기출 PICK 물리학 (2026년),"장인수, 여상기, 채규선, 안민기",비상교육,2025년 12월,15000,13500,9.7,9791173167850,https://www.yes24.com/product/goods/168376493
41,다담 언어와 매체 800제 (2026년),설승환,쏠티북스,2026년 01월,24000,21600,9.9,9791192967356,https://www.yes24.com/product/goods/173733064
42,Xistory 자이스토리 고2 생명과학 (2026년),"김예린, 남지선, 손아람, 유동훈, 이재훈, 이주연",수경출판사,2025년 11월,18500,16650,9.8,9791162409404,https://www.yes24.com/product/goods/163643500
43,EBS 고교 50일 수학 (상) (2026년용),,한국교육방송공사,2024년 03월,11000,9900,9.9,9788954783583,https://www.yes24.com/product/goods/125707437
44,워드마스터 Word Master 수능 2000,김태희,이투스북,2022년 10월,16000,14400,9.8,9791138911009,https://www.yes24.com/product/goods/115027703
45,Xistory 자이스토리 고2 세계시민과 지리 (2026년),신유란,수경출판사,2026년 02월,19000,17100,9.8,9791162409275,https://www.yes24.com/product/goods/176913395
