rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,2027 수능대비 현자의 돌 윤리와 사상 기출로 시작하는 감각 (2026년),임수민,메가스터디교육,,26600,26600,,9791193387900,https://www.yes24.com/product/goods/186686186
2,2027 수능대비 현자의 돌 생활과 윤리 수능 실전 개념 완성 (2026년),임수민,메가스터디교육,,27900,27900,,9791193387863,https://www.yes24.com/product/goods/186686258
3,2027 문법 N제 (2026년),전형태,대성SNC,,19800,19800,,9791193609408,https://www.yes24.com/product/goods/186534988
4,버블티 고2 문학 창비(최원식) 내신대비 기출문제집 실전문제편 (2026년),조성우,학문아카이브,,25200,25200,,9791194583851,https://www.yes24.com/product/goods/185831920
5,완쏠 유형 입문 미적분1,메가스터디북스 수학 연구회,메가스터디북스,2026년 04월,16000,14400,,9791129717856,https://www.yes24.com/product/goods/187776269
6,체대 입시의 신,김민중,라온북,2026년 05월,21000,18900,,9791169582452,https://www.yes24.com/product/goods/187661363
7,독해혁명 2 (Reading Revolution),김정호,바른영어사,2026년 04월,17900,17000,,9791185719368,https://www.yes24.com/product/goods/187652526
8,MAPL 마플 시너지 미적분1 (2026년),임정선,희망에듀,2026년 05월,29000,26100,,9791193575291,https://www.yes24.com/product/goods/187645866
9,고등 한국사2 내신 1등급 세트 (완자+완자 기출픽),"이은령, 강현태, 박별, 이철영, 김원일, 강현태, 박별, 길진봉",비상교육,2025년 06월,28000,25200,9.7,,https://www.yes24.com/product/goods/187573380
10,고등 한국사1 내신 1등급 세트 (완자+완자 기출픽),"이은령, 박별, 이철영, 김원일, 강현태, 박별, 길진봉",비상교육,2025년 03월,28000,25200,9.9,,https://www.yes24.com/product/goods/187573368
11,고등 지구과학 내신 1등급 세트 (완자+완자 기출픽),"김진성, 김연귀, 정유나, 김진성, 정유나, 신현정",비상교육,2025년 12월,39000,35100,9.9,,https://www.yes24.com/product/goods/187573365
12,고등 생명과학 내신 1등급 세트 (완자+완자 기출픽),"오현선, 배미정, 황남주, 송현진, 이영호, 황남주, 송현진",비상교육,2025년 12월,39000,35100,9.9,,https://www.yes24.com/product/goods/187573353
13,고등 화학 내신 1등급 세트 (완자+완자 기출픽),"조향숙, 김호성, 전호균, 노동규, 조향숙, 김호성, 황지혁",비상교육,2025년 12월,39000,35100,9.8,,https://www.yes24.com/product/goods/187573083
14,고등 물리학 내신 1등급 세트 (완자+완자 기출픽),"장인수, 강태욱, 채규선, 안민기, 장인수, 여상기, 채규선, 안민기",비상교육,2025년 12월,39000,35100,9.7,,https://www.yes24.com/product/goods/187573072
15,고등 통합과학2 내신 1등급 세트 (완자+완자 기출픽),"김은경, 채규선, 조향숙, 여상기, 장인수, 조향숙",비상교육,2025년 02월,35500,31950,9.8,,https://www.yes24.com/product/goods/187573064
16,고등 통합과학1 내신 1등급 세트 (완자+완자 기출픽),"김은경, 채규선, 조향숙, 여상기, 장인수, 조향숙",비상교육,2025년 02월,38500,34650,9.8,,https://www.yes24.com/product/goods/187573055
17,고등 사회와 문화 내신 1등급 세트 (완자+완자 기출픽),"김현진, 조수용, 박홍인",비상교육,2025년 12월,35000,31500,9.4,,https://www.yes24.com/product/goods/187573048
18,고등 세계사 내신 1등급 세트 (완자+완자 기출픽),"김원일, 강현태, 길진봉, 심원섭, 황정미, 박별, 이소영",비상교육,2025년 12월,35000,31500,9.6,,https://www.yes24.com/product/goods/187573023
19,고등 세계 시민과 지리 내신 1등급 세트 (완자+완자 기출픽),"김차곤, 김영규, 윤정현, 한재희, 이태환, 김희정, 강재호, 강봉균, 고윤정, 제현지",비상교육,2025년 12월,35000,31500,9.5,,https://www.yes24.com/product/goods/187573016
20,고등 통합사회2 내신 1등급 세트 (완자+완자 기출픽),"박홍인, 강현태, 고인석, 윤정현, 오이룩, 이은주, 박홍인, 김현진, 이진웅, 유향은",비상교육,2025년 06월,26000,23400,9.7,,https://www.yes24.com/product/goods/187573001
21,고등 통합사회1 내신 1등급 세트 (완자+완자 기출픽),"박홍인, 강현태, 고인석, 윤정현, 오이룩, 이은주, 박홍인, 이진웅, 유향은",비상교육,2025년 03월,26000,23400,9.8,,https://www.yes24.com/product/goods/187572993
22,EBS 수능특강 LIGHT 고등 영어 싸인 분석서·변형문제,스승의날영어연구소,스승의날,2026년 04월,22000,22000,,9791192563336,https://www.yes24.com/product/goods/187572117
23,순수국어 문학 (2026년),유민우,싼타북스,2026년 04월,24000,21600,,9791188703210,https://www.yes24.com/product/goods/187571555
24,예비고등학생을 위한 수리논술과 인문논술 패턴훈련,문지효,좋은땅,2026년 04월,16800,15120,,9791138858854,https://www.yes24.com/product/goods/187564688
25,2027 안 틀리는 수능 영어 (2026년),새이솔 영어팀,모노크롬북스,2026년 04월,17000,15300,,9791124331132,https://www.yes24.com/product/goods/187309303
26,마더텅 수능 · 내신 기본 개념 통합과학1 (2026년),마더텅 편집부,마더텅,2026년 04월,17900,16110,,9791175632998,https://www.yes24.com/product/goods/187185277
27,세더잘 87권 세트,"편집부 외, 이현정 외, 신재혁 외",내인생의책,2026년 04월,1115000,1003500,,9791157231331,https://www.yes24.com/product/goods/187179356
