rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,완벽한 원시인,자청,필로틱,2026년 03월,0,0,,9791199383074,https://www.yes24.com/product/goods/180137091
2,코스모스,"칼 에드워드 세이건, 홍승수",사이언스북스,2006년 12월,0,0,,9788983711892,https://www.yes24.com/product/goods/2312211
3,"AI, 신의 탄생 인간의 종말","엘리에저 유드코스키, 네이트 소아레스, 고영훈",상상스퀘어,2026년 04월,0,0,,9791124248256,https://www.yes24.com/product/goods/184261820
4,사춘기는 처음이라,이광렬,클랩북스,2026년 03월,0,0,,9791193941607,https://www.yes24.com/product/goods/181027438
5,이기적 유전자 The Selfish Gene,"리처드 도킨스, 홍영남, 이상임",을유문화사,2018년 10월,0,0,,9788932473901,https://www.yes24.com/product/goods/65067259
6,Beyond : AI가 이끄는 인지 혁명,박종성,이든서재,2026년 04월,0,0,,9791194812197,https://www.yes24.com/product/goods/183930734
7,이토록 쓸모 있는 수학적 사고,"류쉐펑, 이서연, 김지혜",미디어숲,2026년 04월,0,0,,9791158749248,https://www.yes24.com/product/goods/185245329
8,수학이 쉬워지는 최소한의 세계사,"후쿠스케, 이정현",현대지성,2026년 04월,0,0,,9791139730395,https://www.yes24.com/product/goods/183904018
9,이토록 위대한 몸,"줄리아 엔더스, 질 엔더스, 배명자",21세기북스,2026년 03월,0,0,,9791173577925,https://www.yes24.com/product/goods/180330927
10,뇌는 어떻게 나를 조종하는가,"크리스 나이바우어, 김윤종",클랩북스,2026년 01월,0,0,,9791193941577,https://www.yes24.com/product/goods/171432215
11,물고기는 존재하지 않는다,"룰루 밀러, 정지인",곰출판,2021년 12월,0,0,,9791189327156,https://www.yes24.com/product/goods/105526047
12,모든 것은 결정되어 있다,"로버트 M. 새폴스키, 양병찬",문학동네,2026년 03월,0,0,,9791141609603,https://www.yes24.com/product/goods/183757559
13,이상한 과학책,"김진우, 최재천",빅피시,2025년 11월,0,0,,9791199491717,https://www.yes24.com/product/goods/163377599
14,스트레스는 어떻게 나를 바꾸는가,하지현,어크로스,2026년 03월,0,0,,9791167742803,https://www.yes24.com/product/goods/183775554
15,화학자K의 추리 과학실,이광렬,블랙피쉬,2026년 03월,0,0,,9788968335365,https://www.yes24.com/product/goods/183659024
16,구글 신은 모든 것을 알고 있다,이해웅,사이언스북스,2013년 04월,0,0,,9788983718822,https://www.yes24.com/product/goods/8731893
17,신약의 전쟁,윤태진,바다출판사,2026년 04월,0,0,,9791166894039,https://www.yes24.com/product/goods/184339926
18,특이점이 온다,"레이 커즈와일, 정재승, 김명남, 장시형, 진대제",김영사,2025년 03월,0,0,,9791173320873,https://www.yes24.com/product/goods/143757152
19,위험한 과학책 (10주년 기념판),"랜들 먼로, 이지연, 장영재, 이명현",시공사,2025년 11월,0,0,,9791171258659,https://www.yes24.com/product/goods/167459210
20,나무 같은 사람이 되고 싶다,"리즈 마빈, 애니 데이비드슨, 박은진",아멜리에북스,2025년 08월,0,0,,9791199031739,https://www.yes24.com/product/goods/150011719
21,웃기려고 한 과학 아닙니다,이창욱,어크로스,2025년 06월,0,0,,9791167742148,https://www.yes24.com/product/goods/147791701
22,만화로 보는 과학을 보다,"과학을 보다, 김영현, 김범준, 지웅배, 장홍제, 정보 더 보기/감추기, 과학을 보다, 김영현, 김범준, 지웅배, 장홍제, 정영진",책과삶,2026년 03월,0,0,,9791199327856,https://www.yes24.com/product/goods/180507655
23,인간이란 무엇인가,알렉시스 카렐,페이지2북스,2026년 03월,0,0,,9791169851954,https://www.yes24.com/product/goods/183534275
24,다정한 것이 살아남는다,"브라이언 헤어, 버네사 우즈, 이민아, 박한선",디플롯,2021년 07월,0,0,,9791197413025,https://www.yes24.com/product/goods/102836095
