rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,슈퍼개미 이정윤의 성장주 집중 투자,이정윤,베가북스,2026년 06월,25000,22500,10.0,	9791194831372,https://www.yes24.com/product/goods/191535368
2,나의 첫 번째 부동산 교과서,송희구,서삼독,2026년 06월,23000,20700,9.1,	9791193904435,https://www.yes24.com/product/goods/190813759
3,내면 근력,"짐 머피, 지여울",윌북(willbook),2026년 04월,22000,19800,9.6,	9791155819227,https://www.yes24.com/product/goods/183809488
4,이병한의 대한민국 탐문,이병한,서해문집,2026년 06월,18500,16650,8.7,	9791124638002,https://www.yes24.com/product/goods/191018389
5,안녕이라 그랬어,김애란,문학동네,2025년 06월,16800,15120,9.6,	9791141602376,https://www.yes24.com/product/goods/147560984
6,사춘기 엄마의 오장육부,나민애,서교책방,2026년 04월,17800,16020,9.9,	9791124497029,https://www.yes24.com/product/goods/186676818
7,품격 있는 대화를 위한 지식 브리핑,김진,북플레저,2026년 04월,25000,22500,8.0,	9791124038413,https://www.yes24.com/product/goods/189116661
8,니체의 초월자,"프리드리히 니체, 김철",히읏,2025년 10월,16900,15210,9.7,	9791192559100,https://www.yes24.com/product/goods/161401496
9,프로젝트 헤일메리,"앤디 위어, 강동혁",알에이치코리아(RHK),2026년 02월,22000,19800,9.7,	9788925588735,https://www.yes24.com/product/goods/101375755
10,싯다르타,"헤르만 헤세, 박병덕",민음사,2002년 01월,8000,7200,9.5,	9788937460586,https://www.yes24.com/product/goods/257435
11,장송의 프리렌 15 한정판,"야마다 카네히토, 아베 츠카사",학산문화사,2026년 06월,17000,15300,,	9791141184131,https://www.yes24.com/product/goods/191699918
12,부의 갈림길,오건영,포레스트북스,2026년 06월,27000,24300,9.5,	9791124591048,https://www.yes24.com/product/goods/190811719
13,말하지 않고 말하기,김정운,21세기북스,2026년 05월,24000,21600,9.9,	9791173579721,https://www.yes24.com/product/goods/188859332
14,박곰희 연금 부자 수업,박곰희,인플루엔셜,2025년 06월,21000,18900,9.7,	9791168342941,https://www.yes24.com/product/goods/148032819
15,슈퍼 뒤에서 담배 피우는 두 사람 8 특별판,"지누시, 김성래",디앤씨미디어(D&C미디어),2026년 06월,26000,23400,,	9791127888169,https://www.yes24.com/product/goods/191817199
16,최소한의 세계사,이다지,프런트페이지,2026년 05월,23000,20700,9.9,	9791193401675,https://www.yes24.com/product/goods/189245464
17,다시 만난 세계,김희교,푸른숲,2026년 06월,21000,18900,4.5,	9791172541262,https://www.yes24.com/product/goods/190399063
18,김미경의 플러스 휴먼,김미경,어웨이크(AWAKE),2026년 05월,19500,17550,9.7,	9791199624993,https://www.yes24.com/product/goods/189589723
