rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,패밀리 레스토랑 가자. 下,"와야마 야마, 현승희",문학동네,,7650,7650,9.4,	9791141616878,https://www.yes24.com/product/goods/192145622
2,멋진 신세계 대본집 세트 (북케이스 에디션 세트),강현주,김영사,,54000,54000,,	9791173327148,https://www.yes24.com/product/goods/192161899
3,신 퇴마록 신세편 1,이우혁,반타,,19800,19800,8.4,	9791175773370,https://www.yes24.com/product/goods/192274286
4,사카모토 데이즈 26 더블특전판,스즈키 유우토,대원,,5850,5850,,	9791142355868,https://www.yes24.com/product/goods/192279758
5,큰 글자 매일 필사 : 사자성어 + 속담 세트,다숲,은빛서재,2026년 07월,24000,16800,,,https://www.yes24.com/product/goods/192608621
6,부자들은 절대 속지 않는 돈의 함정,"셰종보, 유주안",더페이지,2026년 07월,18800,16920,,	9791194156437,https://www.yes24.com/product/goods/192602769
7,초등사회정서 진로 워크북 3.4단계,"강예주, 곽상경, 김원배, 이지현",프로방스,2026년 06월,14000,12600,10.0,	9791164804177,https://www.yes24.com/product/goods/192597629
8,초등사회정서 진로 워크북 1.2단계,"김민정, 류서진, 송숙영, 이보미",프로방스,2026년 06월,16000,14400,,	9791164804160,https://www.yes24.com/product/goods/192597331
9,행선지,이형순,그루,2026년 06월,12000,10800,,	9788980695416,https://www.yes24.com/product/goods/192595252
10,일본삼국 7,마쓰키 잇카,재담,2026년 06월,8000,7200,,	9791127562359,https://www.yes24.com/product/goods/192595052
11,좋은 전쟁,"래너 미터, 유강은",언더스탠드,2026년 06월,25000,22500,,	9791199220515,https://www.yes24.com/product/goods/192594469
12,통역사 다니엘 슈타인,"류드밀라 울리츠카야, 차지원",문학과지성사,2026년 06월,23000,20700,,	9788932045337,https://www.yes24.com/product/goods/192592659
13,아멜리아와 꿀벌들,"모니카 로드리게스, 김정하",풀빛미디어,2026년 06월,14000,13300,,	9788967342265,https://www.yes24.com/product/goods/192593870
