rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,프로젝트 헤일메리,"앤디 위어, 강동혁",알에이치코리아(RHK),2026년 02월,22000,19800,9.7,9788925588735,https://www.yes24.com/product/goods/101375755
2,안녕이라 그랬어,김애란,문학동네,2025년 06월,16800,15120,9.7,9791141602376,https://www.yes24.com/product/goods/147560984
3,향기로운 꽃은 늠름하게 핀다 19 더블특전판,미카미 사카,대원,2026년 04월,6000,5400,,9791142349621,https://www.yes24.com/product/goods/187026200
4,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,2026년 02월,19800,17820,9.6,9791124248171,https://www.yes24.com/product/goods/177044720
5,2026 선재국어 최우선 봉투 모의고사,이선재,수비니겨,2026년 04월,25000,22500,9.2,9791190302449,https://www.yes24.com/product/goods/185676025
6,무례한 세상에서 나를 지키는 법,"발타자르 그라시안, 하와이 대저택",논픽션,2026년 03월,19800,17820,8.7,9791199489530,https://www.yes24.com/product/goods/182422429
7,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,2025년 12월,19000,17100,9.9,9791138934428,https://www.yes24.com/product/goods/167466420
8,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,2025년 12월,18500,16650,10.0,9791138934442,https://www.yes24.com/product/goods/167466432
9,니체의 초월자,"프리드리히 니체, 김철",히읏,2025년 10월,16900,15210,9.8,9791192559100,https://www.yes24.com/product/goods/161401496
10,완벽한 원시인,자청,필로틱,2026년 03월,22000,19800,9.5,9791199383074,https://www.yes24.com/product/goods/180137091
11,지랄맞은 사춘기를 죽지 않고 통과하는 일,김선미,온포인트,2026년 04월,19000,17100,9.1,9791199629714,https://www.yes24.com/product/goods/184396307
12,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2025년 12월,22000,19800,9.9,9791138934459,https://www.yes24.com/product/goods/168393009
13,괴테는 모든 것을 말했다,"스즈키 유이, 이지수",리프,2025년 11월,17000,15300,8.9,9791194530701,https://www.yes24.com/product/goods/164510819
14,처음 읽는 삼국지 4,"이문열, 한현동, 윤종문",미래엔아이세움,2026년 04월,16800,15120,10.0,9791175487635,https://www.yes24.com/product/goods/186638310
15,2026 제17회 젊은작가상 수상작품집,"김채원, 길란, 남의현, 서장원, 위수정, 정보 더 보기/감추기, 김채원, 길란, 남의현, 서장원, 위수정, 이미상, 함윤이",문학동네,2026년 03월,7700,6930,9.8,9791141603250,https://www.yes24.com/product/goods/185198822
16,피터케이의 이기는 투자 불변의 법칙,피터케이,21세기북스,2026년 04월,22000,19800,9.8,9791173578823,https://www.yes24.com/product/goods/183546514
17,에그박사 18,"에그박사, 박송이, 홍종현, 김보숙",미래엔아이세움,2026년 04월,16800,15120,,9791175487598,https://www.yes24.com/product/goods/187026394
18,자몽살구클럽,한로로,어센틱,2025년 07월,12000,10800,9.2,9791199305304,https://www.yes24.com/product/goods/149385533
19,부처님 말씀대로 살아보니,"토니 페르난도, 강정선",윌마,2026년 02월,18900,17010,9.6,9791199496651,https://www.yes24.com/product/goods/176913274
20,2026 심우철 실전 동형 모의고사 Season 3,심우철,에스티유니타스,2026년 04월,15000,13500,10.0,9791169666039,https://www.yes24.com/product/goods/184394428
21,나의 완벽한 장례식,조현선,북로망스,2026년 01월,19000,17100,9.3,9791124038192,https://www.yes24.com/product/goods/173082175
22,어른의 감정을 돌보는 100일 필사 노트,김종원,청림Life,2026년 04월,20000,18000,9.9,9791193842669,https://www.yes24.com/product/goods/183546734
23,주식 투자를 잘한다는 것,육과장,노티스,2026년 04월,22000,19800,9.2,9791199747319,https://www.yes24.com/product/goods/184337755
24,스스로 공부하는 아이는 이렇게 키웁니다,이은경,서교책방,2026년 03월,18900,17010,10.0,9791199555181,https://www.yes24.com/product/goods/183758577
