rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,2026 선재국어 최우선 봉투 모의고사,이선재,수비니겨,,22500,22500,9.2,9791190302449,https://www.yes24.com/product/goods/185676025
2,향기로운 꽃은 늠름하게 핀다 19 더블특전판,미카미 사카,대원,,5400,5400,,9791142349621,https://www.yes24.com/product/goods/187026200
3,기획된 내란,이희천,대추나무,,15300,15300,,9791197802386,https://www.yes24.com/product/goods/186451693
4,처음 읽는 삼국지 4,"이문열, 한현동, 윤종문",미래엔아이세움,,15120,15120,10.0,9791175487635,https://www.yes24.com/product/goods/186638310
5,파리 스케치 (큰글자도서),"어네스트 밀러 헤밍웨이, 송은주",반니,2026년 03월,30000,30000,,9791124280553,https://www.yes24.com/product/goods/187821562
6,돼지구이를 논함 (큰글자도서),"찰스 램, 송은주",반니,2026년 03월,23000,23000,,9791124280546,https://www.yes24.com/product/goods/187821069
7,겨울 산책 (큰글자도서),"헨리 데이비드 소로우, 유정화",반니,2026년 03월,26000,26000,,9791124280560,https://www.yes24.com/product/goods/187820791
8,달콤한 그믐 (큰글자도서),"아쿠타가와 류노스케, 이토 사치오, 나쓰메 소세키, 나오키 산주고, 민경욱",반니,2026년 03월,26000,26000,,9791124280577,https://www.yes24.com/product/goods/187820287
9,긴 봄날의 짧은 글 (큰글자도서),"나쓰메 소세키, 손정임",반니,2026년 03월,26000,26000,,9791124280522,https://www.yes24.com/product/goods/187819695
10,아버지의 뒷모습 (큰글자도서),"주쯔칭, 문현선",반니,2026년 03월,26000,26000,,9791124280607,https://www.yes24.com/product/goods/187819292
11,자기만의 방 (큰글자도서),"버지니아 울프, 임영빈",반니,2026년 03월,26000,26000,,9791124280614,https://www.yes24.com/product/goods/187818380
12,코끼리를 쏘다 (큰글자도서),"조지 오웰, 이재경",반니,2026년 03월,23000,23000,,9791124280591,https://www.yes24.com/product/goods/187817862
13,밤의 사색 (큰글자도서),"헤르만 헤세, 배명자",반니,2026년 03월,23000,23000,,9791124280584,https://www.yes24.com/product/goods/187816848
14,정원 가꾸기의 즐거움 (큰글자도서),"헤르만 헤세, 배명자",반니,2026년 03월,23000,23000,,9791124280539,https://www.yes24.com/product/goods/187816346
15,오 헨리 단편선 (큰글자도서),"오 헨리, 유정화",반니,2026년 03월,26000,26000,,9791124280621,https://www.yes24.com/product/goods/187813122
16,"말씀과 함께 색칠하기 : 숫자 1, 2, 3","이지숙, 김은정",생명의말씀사,2026년 04월,6000,5700,,9788904163908,https://www.yes24.com/product/goods/187810481
17,"말씀과 함께 색칠하기 : 동물 ㄱ, ㄴ, ㄷ","이지숙, 김은정",생명의말씀사,2026년 04월,6000,5700,,9788904163915,https://www.yes24.com/product/goods/187809370
18,늑구의 꿈,오로라,문학세계사,2026년 04월,14500,13050,,9791193001950,https://www.yes24.com/product/goods/187809269
19,2027 변호사시험 민사소송법 진도별 10개년 기출문제집(선택형),대한법률연구소,기문사,2026년 04월,19000,17100,,9791194568469,https://www.yes24.com/product/goods/187804688
20,오늘은 국악,한명희,따비밭,2026년 04월,19000,17100,,9791199530720,https://www.yes24.com/product/goods/187799747
21,일본 문구 대백과,"다쓰미출판 편집부, 김소영",모두의도감,2026년 05월,19000,17100,,9791194793649,https://www.yes24.com/product/goods/187799237
22,프랑켄슈타인,"메리 셸리, 윤영",올리버,2026년 04월,14000,12600,,9791194381907,https://www.yes24.com/product/goods/187799134
23,모르는 것 연구회 1~2권 세트,"시라누이 건설, 츠무미, 박경용",디앤씨미디어(D&C미디어),2026년 04월,13000,11700,,,https://www.yes24.com/product/goods/187798494
24,문화와 사회로 발칸유럽 들여다보기,김철민,한국외국어대학교출판부,2026년 04월,25000,25000,,9791171993413,https://www.yes24.com/product/goods/187796057
25,쉬운 베스트 재즈 소곡집,일신음악연구회,일신서적출판사,2026년 06월,7000,6300,,9788936629212,https://www.yes24.com/product/goods/187796048
26,오버로드 5,"마루야마 쿠가네, 김완",영상출판미디어,2026년 04월,12000,10800,,9791138068079,https://www.yes24.com/product/goods/187796047
27,쉬운 베스트 계이름 8,일신음악연구회,일신서적출판사,2026년 06월,5000,4500,,9788936629007,https://www.yes24.com/product/goods/187795435
28,『경성백경』 김은주 저자와 답사,김은주,동녘,2026년 04월,34700,34700,,,https://www.yes24.com/product/goods/187794894
