rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,클로드 코드 마스터,"이남희, 백승현",한빛미디어,2026년 04월,36000,32400,10.0,	9791175790513,https://www.yes24.com/product/goods/186846424
2,2026 에듀윌 건설안전기사 필기 기출문제집,"김충민, 최석훈",에듀윌,2025년 10월,31000,27900,9.9,	9791136039873,https://www.yes24.com/product/goods/161409178
3,로스쿨 민법의 정석,정연석,정독,2026년 04월,43000,43000,,	9791168584945,https://www.yes24.com/product/goods/187041114
4,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 서원진, 박권",한빛미디어,2026년 04월,24000,21600,9.9,	9791175790261,https://www.yes24.com/product/goods/183538633
5,2026 에듀윌 소방설비기사 전기 기출문제집 필기,"손익희, 김윤수",에듀윌,2025년 05월,29000,26100,8.9,	9791136037466,https://www.yes24.com/product/goods/146854932
6,세컨드 브레인은 옵시디언 with 클로드 코드,시안,골든래빗,2026년 04월,25000,23750,9.7,	9791194383970,https://www.yes24.com/product/goods/184275427
7,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,불혹코딩,골든래빗,2026년 05월,26000,23400,,	9791124516010,https://www.yes24.com/product/goods/187024885
8,"위포트 기계의 진리 : 4대 역학+열전달, 공기업 전공 기계직 기출 580제",공기업 기계직 전공필기 연구소,위포트,2026년 04월,29800,26820,9.7,	9791161981475,https://www.yes24.com/product/goods/141230632
9,처음 만나는 AI 에이전트 with 랭체인 & MCP,"김재엽, 이민준",제이펍,2026년 05월,30000,27000,,	9791124205457,https://www.yes24.com/product/goods/187043724
10,2026 오직 간호대생을 위한 간호사 자소서,태원준,홍지문,2026년 03월,24000,21600,10.0,	9791163612865,https://www.yes24.com/product/goods/184278786
11,맨큐의 경제학,"N. Gregory Mankiw, 이병락",센게이지러닝(Cengage Learning),2025년 02월,49000,47530,10.0,	9788962185638,https://www.yes24.com/product/goods/142691383
