rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,조훈,길벗,,21600,21600,,	9791140719174,https://www.yes24.com/product/goods/191693950
2,차곡차곡 25일 글쓰기,이진경,모듀efe,,9000,9000,,	9791193819333,https://www.yes24.com/product/goods/191628458
3,AI 시대의 교양 : 인공지능과 우리의 역할,이대령,한빛아카데미,,18000,18000,10.0,	9791173400599,https://www.yes24.com/product/goods/191485572
4,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이,"김태훈, 손민지, 김한나",한빛미디어,,19800,19800,10.0,	9791175790612,https://www.yes24.com/product/goods/191321747
5,따라하며 익히는 Revit MEP,"이진천, 오종열",NEW WAVE(뉴 웨이브),2026년 06월,39000,39000,,	9791188462070,https://www.yes24.com/product/goods/191944766
6,2차전지 및 에너지프로슈머,"최용성, 고재철",위즈덤플,2026년 06월,34000,34000,,	9791189342975,https://www.yes24.com/product/goods/191942300
7,나누고 싶은 세 가지 수학 수업 이야기,이기돈,교우,2026년 06월,25000,25000,,	9791125104933,https://www.yes24.com/product/goods/191942092
8,2026 (법률과 최신판례를 같이 보는) 민법 지식사전,대한법률콘텐츠연구회,법문북스,2026년 05월,24000,22800,,	9791194820697,https://www.yes24.com/product/goods/191937551
9,미국과 캐나다 톺아보기,신영헌,한성대학교출판부,2026년 03월,22000,22000,,	9788968200601,https://www.yes24.com/product/goods/191921076
10,글로벌 부동산시장론,"방진원, 백성준",한성대학교출판부,2026년 05월,35000,35000,,	9788968200632,https://www.yes24.com/product/goods/191916189
11,만화로 즐기는 미적분학,이재원,북스힐,2026년 06월,16000,15200,,	9791159717383,https://www.yes24.com/product/goods/191920567
12,국립묘지의 설치 및 운영에 관한 법률 (약칭 : 국립묘지법),편집부,해광,2026년 06월,15000,15000,,	9791176670265,https://www.yes24.com/product/goods/191890130
13,외국인투자 촉진법 (약칭 : 외국인투자법),,해광,2026년 06월,20000,20000,,	9791176670333,https://www.yes24.com/product/goods/191890118
14,출판문화산업 진흥법 (약칭 : 출판법),편집부,해광,2026년 06월,11000,11000,,	9791176670418,https://www.yes24.com/product/goods/191890106
15,농어촌정비법,,해광,2026년 06월,25000,25000,,	9791176670272,https://www.yes24.com/product/goods/191890084
16,유통산업발전법,,해광,2026년 06월,19000,19000,,	9791176670340,https://www.yes24.com/product/goods/191890068
17,원자력안전법,,해광,2026년 06월,33000,33000,,	9791176670197,https://www.yes24.com/product/goods/191890039
18,전통주 등의 산업진흥에 관한 법률 (약칭 : 전통주산업법),,해광,2026년 06월,11000,11000,,	9791176670395,https://www.yes24.com/product/goods/191890021
19,대리점거래의 공정화에 관한 법률 (약칭 : 대리점법),,해광,2026년 06월,10000,10000,,	9791176670289,https://www.yes24.com/product/goods/191889950
20,보호소년 등의 처우에 관한 법률 (약칭 : 보호소년법),편집부,해광,2026년 06월,18000,18000,,	9791176670319,https://www.yes24.com/product/goods/191889911
21,지방자치단체를 당사자로 하는 계약에 관한 법률 (약칭 : 지방계약법),,해광,2026년 06월,27000,27000,,	9791176670203,https://www.yes24.com/product/goods/191889904
22,항공안전법,,해광,2026년 06월,42000,42000,,	9791176670425,https://www.yes24.com/product/goods/191889626
23,아동복지법,,해광,2026년 06월,22000,22000,,	9791176670326,https://www.yes24.com/product/goods/191889588
24,민사소송법,,해광,2026년 06월,18000,18000,,	9791176670302,https://www.yes24.com/product/goods/191889564
25,형사소송법,,해광,2026년 03월,22000,22000,,	9791176670432,https://www.yes24.com/product/goods/191889547
26,공무원 재해보상법,,해광,2026년 06월,20000,20000,,	9791176670227,https://www.yes24.com/product/goods/191889527
27,총포·도검·화약류 등의 안전관리에 관한 법률 (약칭 : 총포화약법),,해광,2026년 06월,22000,22000,,	9791176670401,https://www.yes24.com/product/goods/191889493
28,환경행정학,한국행정학회 환경행정연구회,윤성사,2026년 06월,40000,40000,,	9791124447109,https://www.yes24.com/product/goods/191889386
29,예과생을 위한 의대생물학 & 의대화학,"권양, 김인섭",군자출판사,2026년 06월,60000,60000,,	9791170684770,https://www.yes24.com/product/goods/191888752
30,예과생을 위한 의대화학,김인섭,군자출판사,2026년 06월,30000,30000,,	9791170684794,https://www.yes24.com/product/goods/191888753
31,예과생을 위한 의대생물학,권양,군자출판사,2026년 06월,30000,30000,,	9791170684787,https://www.yes24.com/product/goods/191888754
32,교량 인문학,이원철,구미서관,2026년 06월,42000,42000,,	9791162574270,https://www.yes24.com/product/goods/191856955
33,포렌식 구조공학 핸드북,"Robert T. Ratay, 이규환, 구영성, 김홍연",에이퍼브프레스,2026년 06월,53000,53000,,	9791194599197,https://www.yes24.com/product/goods/191855468
34,메디컬 프로파일러,심재용,연세대학교 대학출판문화원,2026년 06월,18000,18000,,	9788968509322,https://www.yes24.com/product/goods/191853479
