rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,타몬 군 지금 어느 쪽?! 12,시와스 유키,학산문화사,,5400,5400,,	9791141182960,https://www.yes24.com/product/goods/189186704
2,아름다운 초저녁달 10,야마모리 미카,학산문화사,,5400,5400,10.0,	9791141182700,https://www.yes24.com/product/goods/189182784
3,봄의 폭풍과 몬스터 8,미츠바치 미유키,학산문화사,,5400,5400,,	9791141181765,https://www.yes24.com/product/goods/189186587
4,체인소 맨 23,후지모토 타츠키,학산문화사,,5400,5400,10.0,,https://www.yes24.com/product/goods/189186646
5,"나에게 트라우마를 준 여자들이 힐끔힐끔 보고 있는데, 유감이지만 이미 늦었습니다 6","미도 유라기, 와타, 권미량",AK(에이케이 커뮤니케이션즈),2026년 05월,8000,7200,,	9791127483418,https://www.yes24.com/product/goods/189410940
6,토리빵 15,"토리노 난코, 최신영",AK(에이케이 커뮤니케이션즈),2026년 05월,9000,8100,,	9791127483432,https://www.yes24.com/product/goods/189410922
7,연인 이상 친구 미만 8,"yatoyato, 최신영",AK(에이케이 커뮤니케이션즈),2026년 05월,6500,5850,,	9791127483579,https://www.yes24.com/product/goods/189410905
8,댐피어의 맛있는 모험 6,"토마토수프, 정혜원",AK(에이케이 커뮤니케이션즈),2026년 05월,6000,5400,,	9791127486808,https://www.yes24.com/product/goods/189410770
9,31세 BL만화가가 결혼하려고 하면 이렇게 된다,"미타라이 나오코, 조아라",AK(에이케이 커뮤니케이션즈),2026년 05월,9000,8100,,	9791127491062,https://www.yes24.com/product/goods/189410647
10,귀여워는 때때로 괴롭다. 2,"Sho Asahina, 신혜선",서울미디어코믹스(서울문화사),2026년 05월,6500,5850,,	9791142819599,https://www.yes24.com/product/goods/189406941
11,이 세상은 싸울 가치가 있다 5,"코다마 하츠미, 김수연",서울미디어코믹스(서울문화사),2026년 05월,6500,5850,,	9791142819704,https://www.yes24.com/product/goods/189406935
12,지옥선생 누베 신장판 13,"마쿠라 쇼, 오카노 타케시, 김서은",서울미디어코믹스(서울문화사),2026년 05월,12000,10800,,,https://www.yes24.com/product/goods/189406927
13,여장 남자는 스커트를 벗고 싶어! 4,시나기레,서울미디어코믹스(서울문화사),2026년 05월,6500,5850,,	9791142819612,https://www.yes24.com/product/goods/189406916
14,사토리×콤플렉스,"유히, 김산",리크,2026년 05월,7000,6300,,	9791175772588,https://www.yes24.com/product/goods/189405891
15,키미가시네 ─다수결 데스게임─ SIDE 죠,"테시가와라 아네모, 난키다이, NIHAN",미스터블루,2026년 05월,10000,9000,,	9791138068192,https://www.yes24.com/product/goods/189405635
16,리빌드 월드 8 (하),"나후세, 긴, JYH",미스터블루,2026년 05월,12000,10800,,	9791138068185,https://www.yes24.com/product/goods/189405608
17,사일런트 위치 9 extra,"이소라 마츠리, 후지미 난나, 이경인",미스터블루,2026년 05월,11000,9900,,	9791138068178,https://www.yes24.com/product/goods/189405542
18,만화 겨울성의 아기 죄수님 5,"류희온, heeya",디앤씨미디어(D&C미디어),2026년 05월,16000,14400,,	9791173820885,https://www.yes24.com/product/goods/189404381
19,이기적 연애론 1,교교박,다산코믹스,2026년 05월,17800,16020,,	9791130671727,https://www.yes24.com/product/goods/189404268
20,은하철도 999 이터널편 애장판 1~5권 세트,마츠모토 레이지,미우(대원),2026년 01월,110000,99000,9.8,,https://www.yes24.com/product/goods/189376272
21,열강전선 4,우르마 나츠코,학산문화사,2026년 05월,7000,6300,,	9791141182823,https://www.yes24.com/product/goods/189336246
22,솔로페셔널 3,야마코토리,학산문화사,2026년 05월,7000,6300,,	9791141182687,https://www.yes24.com/product/goods/189336239
23,반상의 오리온 6,아라카와 나오시,학산문화사,2026년 05월,6000,5400,,	9791141182588,https://www.yes24.com/product/goods/189336224
24,에메와 히메,오가와 야요이,학산문화사(단행본),2026년 05월,9000,8100,,	9791141182762,https://www.yes24.com/product/goods/189336221
25,빙핵의 메테오리아 1,토도 마코토,학산문화사(단행본),2026년 05월,7000,6300,,	9791141182601,https://www.yes24.com/product/goods/189336215
26,루루의 망령 저택 1,타지마 이쿠노,학산문화사(단행본),2026년 05월,7000,6300,,	9791141183660,https://www.yes24.com/product/goods/189336211
27,THE BAND 더 밴드 3,해롤드 사쿠이시,학산문화사(단행본),2026년 05월,7000,6300,,	9791141182410,https://www.yes24.com/product/goods/189336204
28,괴물사변 24,아이모토 쇼,학산문화사,2026년 05월,6000,5400,,	9791141182434,https://www.yes24.com/product/goods/189336199
29,더 화이팅 145,모리카와 죠지,학산문화사,2026년 05월,6000,5400,,	9791141182519,https://www.yes24.com/product/goods/189336197
30,다이아몬드 에이스 ACT2 외전 : 테이토 VS 우구모리,테라지마 유지,학산문화사,2026년 05월,7000,6300,,	9791141182496,https://www.yes24.com/product/goods/189336191
31,너를 너무너무너무너무 좋아하는 100명의 그녀 23,나카무라 리키토,학산문화사,2026년 05월,6000,5400,,	9791141178703,https://www.yes24.com/product/goods/189336177
32,BECK 신장판 5,해롤드 사쿠이시,학산문화사(단행본),2026년 05월,12000,10800,,	9791141186388,https://www.yes24.com/product/goods/189336167
33,시든 꽃에 눈물을 5~6 스페셜 세트,개,네이버웹툰유한회사,2026년 05월,79000,71100,,,https://www.yes24.com/product/goods/189335934
34,만화 꿀 발린 S급 가이드 2,"카닙스, Dalpi",디앤씨미디어(D&C미디어),2026년 05월,17000,15300,,	9791173820908,https://www.yes24.com/product/goods/189218291
35,문스트럭 1~3 세트,"젤리피쉬, 영모",네이버웹툰유한회사,2026년 07월,38000,34200,,,https://www.yes24.com/product/goods/189210219
36,문스트럭 3,"젤리피쉬, 영모",네이버웹툰유한회사,2026년 07월,12000,10800,,,https://www.yes24.com/product/goods/189210012
37,문스트럭 2,"젤리피쉬, 영모",네이버웹툰유한회사,2026년 07월,13000,11700,,,https://www.yes24.com/product/goods/189210008
38,문스트럭 1,"젤리피쉬, 영모",네이버웹툰유한회사,2026년 07월,13000,11700,,,https://www.yes24.com/product/goods/189209807
39,영모단편선 한정판,영모,에이템포미디어,2026년 06월,30000,27000,,	9791175564244,https://www.yes24.com/product/goods/189189251
40,발광하는 현대사 1~2권 세트,강도하,팬덤북스,2026년 05월,40000,36000,,,https://www.yes24.com/product/goods/189188796
41,코믹 어둠의 실력자가 되고 싶어서! 14,"아이자와 다이스케, 사카노 안리",서울미디어코믹스(서울문화사),2026년 05월,5000,4500,10.0,	9791142819544,https://www.yes24.com/product/goods/189188155
42,악마에 입문했습니다! 이루마 군 46,"니시 오사무, 이승원",서울미디어코믹스(서울문화사),2026년 05월,6500,5850,,	9791142819469,https://www.yes24.com/product/goods/189188089
43,악마처럼 달콤한 내 여자친구 4,"야토사키 하루, 심이슬",서울미디어코믹스(서울문화사),2026년 05월,6500,5850,,	9791142819353,https://www.yes24.com/product/goods/189188060
44,오늘부터 시작하는 소꿉친구 8,"오비야 미도리, 도영명",서울미디어코믹스(서울문화사),2026년 05월,6000,5400,,	9791142819551,https://www.yes24.com/product/goods/189187998
45,블랙 라군 청소부 소여 해체! 고어고어 무스메 3,"히로에 레이, 이다 타츠히코, 도영명",서울미디어코믹스(서울문화사),2026년 05월,6500,5850,,	9791142819414,https://www.yes24.com/product/goods/189187916
46,아름다운 초저녁달 1~10권 세트,야마모리 미카,학산문화사,2026년 05월,60000,54000,9.8,,https://www.yes24.com/product/goods/189187485
47,만화 헌터는 조용히 살고 싶다 1~2권 세트,"백삼, MAGMA, 리공",북극여우,2026년 04월,34000,30600,,,https://www.yes24.com/product/goods/189187285
48,백수세끼 1~11 세트,치즈,므큐,2026년 05월,183000,164700,,	9791168012646,https://www.yes24.com/product/goods/189188257
49,푸른 상자 23,코우지 미우라,학산문화사,2026년 05월,6000,5400,,	9791141185435,https://www.yes24.com/product/goods/189186750
50,테라피 게임 리스타트 6,히노하라 메구루,학산문화사,2026년 05월,7000,6300,,,https://www.yes24.com/product/goods/189186729
52,켄투리아 5,쿠라모리 토오루,학산문화사,2026년 05월,6000,5400,,	9791141179366,https://www.yes24.com/product/goods/189186677
54,오가미 츠미키와 기일상 6,모리시타 미유,학산문화사,2026년 05월,6000,5400,,	9791141173364,https://www.yes24.com/product/goods/189186630
55,코믹 블루록 35,"카네시로 무네유키, 노무라 유스케",학산문화사,2026년 05월,6000,5400,,	9791141178888,https://www.yes24.com/product/goods/189186609
57,매리지 톡신 14,"쥬 먀쿠, 요다 미즈키",학산문화사,2026년 05월,6000,5400,,	9791141178789,https://www.yes24.com/product/goods/189186568
58,디그 잇 2 더블특전판,요시다마루,학산문화사,2026년 05월,7000,6300,,	9791141184810,https://www.yes24.com/product/goods/189186553
59,길고양이와 늑대 6,미츠바치 미유키,학산문화사,2026년 05월,6000,5400,,	9791141181642,https://www.yes24.com/product/goods/189186530
60,별정직 공무원 4 특별판,"권소라, 서재원, ch",학산문화사,2026년 05월,40000,36000,,	9791141186623,https://www.yes24.com/product/goods/189186444
61,별정직 공무원 4,"권소라, 서재원, ch",학산문화사,2026년 05월,16800,15120,,	9791141185541,https://www.yes24.com/product/goods/189186424
62,카가리 가의 8형제 1 더블특전판,소라 다이치,학산문화사,2026년 05월,7000,6300,,	9791141182038,https://www.yes24.com/product/goods/189186377
63,GACHIAKUTA 17,우라나 케이,학산문화사,2026년 05월,6000,5400,,	9791141182403,https://www.yes24.com/product/goods/189186334
64,코믹 전생했더니 슬라임이었던 건에 대하여 1~30권 세트,"후세, 카와카미 타이키, 도영명, 김민재, 이소정",소미미디어,2026년 05월,175500,157950,9.9,,https://www.yes24.com/product/goods/189184826
65,코믹 전생했더니 슬라임이었던 건에 대하여 21~30권 세트,"후세, 카와카미 타이키, 도영명, 김민재, 이소정",소미미디어,2026년 05월,61000,54900,10.0,,https://www.yes24.com/product/goods/189184812
66,발광하는 현대사 2,강도하,팬덤북스,2026년 05월,20000,18000,,,https://www.yes24.com/product/goods/189184519
67,발광하는 현대사 1,강도하,팬덤북스,2026년 05월,20000,18000,,,https://www.yes24.com/product/goods/189184478
68,민용MIGNON 세트 & 애니메이션 패키지,뿡빵뀨,에이비제이컴퍼니,2026년 05월,65000,58500,,,https://www.yes24.com/product/goods/189184243
69,흑이냐 백이냐 9,사치모,학산문화사,2026년 05월,6000,5400,,,https://www.yes24.com/product/goods/189182880
70,최강의 시 6,미야타 다이스케,학산문화사,2026년 05월,6000,5400,,	9791141182939,https://www.yes24.com/product/goods/189182876
71,이세계 미소녀가 되어 버린 아저씨와 14,"이케자와 신, 츠루사키 유",학산문화사,2026년 05월,6000,5400,,	9791141182885,https://www.yes24.com/product/goods/189182871
72,만난 지 5초 만에 배틀 28,"하라와타 사이조, 미야코 카시와",학산문화사,2026년 05월,6000,5400,,	9791141182564,https://www.yes24.com/product/goods/189182844
73,당신의 성에 사는 꼬마 요정 3,"미나기 카즈히토, 쿠리하라 카즈미",학산문화사,2026년 05월,7000,6300,,	9791141182502,https://www.yes24.com/product/goods/189182840
74,나 혼자 호텔 7,마키 히로치,학산문화사,2026년 05월,8000,7200,,	9791141183578,https://www.yes24.com/product/goods/189182837
75,공주님 고문의 시간입니다 18,"하루하라 로빈슨, 히라케이",학산문화사,2026년 05월,6000,5400,,	9791141181611,https://www.yes24.com/product/goods/189182830
76,구박하지 않는 계모와 언니들 8,오츠지,학산문화사,2026년 05월,8000,7200,,	9791141182441,https://www.yes24.com/product/goods/189182827
77,우리들의 사랑은 알 수가 없어 7,노기리 요코,학산문화사,2026년 05월,6000,5400,,	9791141184070,https://www.yes24.com/product/goods/189182820
78,카난 님은 초보 악마 11,논코,학산문화사,2026년 05월,6000,5400,10.0,	9791141182946,https://www.yes24.com/product/goods/189182815
79,누나의 친구 3,타카세 와카,학산문화사,2026년 05월,6000,5400,10.0,	9791141181666,https://www.yes24.com/product/goods/189182810
80,야노 군의 평범한 나날 11,타무라 유이,학산문화사,2026년 05월,6000,5400,,	9791141179069,https://www.yes24.com/product/goods/189182791
