rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,[그래제본소] 이기적 양육자,김성곤,더디퍼런스,,19800,19800,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=276381
2,NEXT 에듀테크 수업에 바로 쓰는 선생님 바이브 코딩,"최보윤, 이대형, 이원용, 김민정, 김은지",골든래빗,,19800,19800,10.0,	9791124516713,https://www.yes24.com/product/goods/196106714
3,오늘도 배우러 교실에 출근합니다,"서수연, 고은정, 김해린, 이지윤, 정다운",미다스북스(리틀미다스),,17550,17550,10.0,	9791176821681,https://www.yes24.com/product/goods/196017180
4,그림책으로 만나는 불안 심리 예방 가이드북,"윤주은, 최수진, 김유진, 김세진",문예춘추사,,17820,17820,,	9788976048363,https://www.yes24.com/product/goods/196020434
5,인공지능 시대 경찰과 사이버범죄 대응전략,박정인,지식과감성#,2026년 09월,20000,18000,,	9791139234732,https://www.yes24.com/product/goods/196358967
6,"청년정책, 다시 쓰는 해답의 시대",박진완,레드닷컴퍼니,2026년 09월,18500,17570,,	9791122098600,https://www.yes24.com/product/goods/196357268
7,「노동조합및노동관계조정법」개정이보험산업에미칠영향,윤기열,보험연구원,2026년 08월,10000,10000,,	9791124709054,https://www.yes24.com/product/goods/196356287
8,문학과 혁명,천정환,서해문집,2026년 09월,24800,22320,,	9791124638200,https://www.yes24.com/product/goods/196356150
9,AI 시대의 미래 예언서,심재우,진한엠앤비,2026년 09월,25000,23750,,	9791129065414,https://www.yes24.com/product/goods/196353628
10,패치 인류세,"애나 로웬하웁트 칭, 제니퍼 데거, 올더 켈러먼 색세나, 페이페이 저우, 김희정",해나무,2026년 09월,24000,21600,,	9791164053759,https://www.yes24.com/product/goods/196353375
11,성적 계약,"캐럴 페이트먼, 안숙영, 이충훈",후마니타스,2026년 08월,23000,20700,,	9788964375235,https://www.yes24.com/product/goods/196352396
12,국군사랑 (계간) : Vol.1 [2026] 여름호,,사단법인 국군사랑,2026년 09월,13000,12350,,	9773140519008,https://www.yes24.com/product/goods/196349111
13,동성애 유전이 아니라면,민성길,문지사,2026년 09월,24000,21600,,	9788983086266,https://www.yes24.com/product/goods/196346303
14,Interdisciplinary Perspectives on Korea’s Sovereignty over Dokdo,"도시환, 김영수, 홍성근, 서진웅, 장정수, 정보 더 보기/감추기, 도시환, 김영수, 홍성근, 서진웅, 장정수, 김종근, 정영미, 석주희",동북아역사재단,2026년 08월,23000,20700,,	9791171613281,https://www.yes24.com/product/goods/196346269
15,21세기 지정학과 글로벌정세,"Jayson J. Funke, Waquar Ahmed, Ipsita Chatterjee, Stephen M. McCauley, 김계동",명인문화사,2026년 09월,25000,22500,,	9791161931807,https://www.yes24.com/product/goods/196340888
16,지역이 학교다,"한민정, 이유림",박영스토리,2026년 09월,21000,21000,10.0,	9791172792961,https://www.yes24.com/product/goods/196340012
17,아픈 피부는 어디로 갔는가,알렉스 신,마음연결,2026년 09월,18000,16200,,	9791124194324,https://www.yes24.com/product/goods/196325584
18,New Politics and Economy in the Digital Age,Sung Chul YANG,고려대학교출판부,2026년 08월,55000,55000,,	9791169561518,https://www.yes24.com/product/goods/196321078
20,리엔지니어링 차이나,"이승주, 김용신, 이용재, 정해인, 조은교, 정보 더 보기/감추기, 이승주, 김용신, 이용재, 정해인, 조은교, 증명, 차정미, 최필수, 이치훈, 우아정, 신지선",경사연북스,2026년 08월,18000,16200,,	9791199833616,https://www.yes24.com/product/goods/196314136
21,인간행동과 사회환경,문영희,신아사,2026년 09월,16000,16000,,	9791173421822,https://www.yes24.com/product/goods/196308646
22,액상형 전자담배 관리를 위한 법률 해설,김태민,위메이크미디어,2026년 08월,30000,27000,,	9791198790569,https://www.yes24.com/product/goods/196308645
23,재난안전관리론,"김형근, 임묵",좋은땅,2026년 09월,25000,22500,,	9791138864015,https://www.yes24.com/product/goods/196308644
24,기관행정학,김환식,바른북스,2026년 09월,25000,22500,,	9791176215015,https://www.yes24.com/product/goods/196298262
25,선배의 직장,단대신문편집실,단국대학교출판부,2026년 09월,18000,18000,,	9788970928593,https://www.yes24.com/product/goods/196295246
26,한국 불평등 보고서,"김윤태, 홍민기, 윤홍식, 윤자영, 전하람, 정보 더 보기/감추기, 김윤태, 홍민기, 윤홍식, 윤자영, 전하람, 김윤정",사회평론아카데미,2026년 09월,25000,25000,,	9791167072641,https://www.yes24.com/product/goods/196291141
27,"평화 일직선, 키나 쇼키치를 만나다 (큰글자책)","키나 쇼키치, 김창규",생각비행,2026년 09월,32000,32000,,	9791124843055,https://www.yes24.com/product/goods/196291031
28,누구나 흔들리며 페미니스트가 된다 (큰글자책),이유주,생각비행,2026년 09월,35000,35000,,	9791124843062,https://www.yes24.com/product/goods/196290847
29,문장이 술술 25,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026313,https://www.yes24.com/product/goods/196285143
30,문장이 술술 24,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026306,https://www.yes24.com/product/goods/196285137
31,문장이 술술 23,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026290,https://www.yes24.com/product/goods/196285134
32,문장이 술술 22,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026283,https://www.yes24.com/product/goods/196285033
33,문장이 술술 21,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026276,https://www.yes24.com/product/goods/196285028
34,문장이 술술 20,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026269,https://www.yes24.com/product/goods/196285024
35,문장이 술술 19,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026252,https://www.yes24.com/product/goods/196284926
36,문장이 술술 18,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026245,https://www.yes24.com/product/goods/196284919
37,문장이 술술 17,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026238,https://www.yes24.com/product/goods/196284815
38,문장이 술술 16,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026221,https://www.yes24.com/product/goods/196284811
39,디지털 인문학과 국어교육,"박준형, 송주호, 박정기",한국문화사,2026년 08월,25000,25000,,	9791176310185,https://www.yes24.com/product/goods/196285518
40,문장이 술술 15,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026214,https://www.yes24.com/product/goods/196284794
41,문장이 술술 14,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026207,https://www.yes24.com/product/goods/196284688
42,문장이 술술 13,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026191,https://www.yes24.com/product/goods/196284682
43,문장이 술술 12,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026184,https://www.yes24.com/product/goods/196284680
44,문장이 술술 11,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026177,https://www.yes24.com/product/goods/196284580
45,문장이 술술 10,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026160,https://www.yes24.com/product/goods/196283035
46,문장이 술술 9,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026153,https://www.yes24.com/product/goods/196282936
47,문장이 술술 8,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026146,https://www.yes24.com/product/goods/196282931
48,문장이 술술 7,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026139,https://www.yes24.com/product/goods/196282829
49,문장이 술술 6,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026481,https://www.yes24.com/product/goods/196282743
50,문장이 술술 5,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026474,https://www.yes24.com/product/goods/196282718
51,문장이 술술 3,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026450,https://www.yes24.com/product/goods/196282604
52,문장이 술술 2,김희영 아동발달센터,와이즈박스(Wise Box),2026년 09월,17000,17000,,	8809507026443,https://www.yes24.com/product/goods/196282501
53,정희正熙,김용삼,플로우북스,2026년 09월,19800,17820,,	9791122047103,https://www.yes24.com/product/goods/196282065
54,남북 혁명가의 대화,"도희윤, 김성일",리베르타스,2026년 09월,18000,16200,,	9791197903090,https://www.yes24.com/product/goods/196281624
55,시장과 정부가 만드는 공간,이시철,경북대학교출판부,2026년 09월,17000,17000,,	9788971806876,https://www.yes24.com/product/goods/196280980
56,미친 여자들의 집,"케일라 재니스, 이승연",현실문화,2026년 08월,69000,62100,,	9788965643227,https://www.yes24.com/product/goods/196272853
57,2026 전국 지방자치단체 민관협업사무 운영현황 Ⅰ,배성기,큰날개,2026년 09월,27000,25650,,	9791175100831,https://www.yes24.com/product/goods/196272850
58,사회복지역사,박미희,양성원(강철원),2026년 09월,23000,23000,,	9791161267081,https://www.yes24.com/product/goods/196272849
59,전국 지방자치단체 민관협업사무 운영현황 2(2026),배성기,큰날개,2026년 09월,27000,25650,,	9791175100848,https://www.yes24.com/product/goods/196272848
60,전국 지방자치단체 민관협업사무 운영현황 3(2026),배성기,한국민간위탁경영연구소,2026년 09월,27000,25650,,	9791175100855,https://www.yes24.com/product/goods/196272847
61,문화와 도시 그리고 회복력,이광재,공공의제연구소 오름,2026년 09월,18000,16200,,	9791199560321,https://www.yes24.com/product/goods/196272846
62,사회문제의 90%는 비즈니스로 해결할 수 있다,"다구치 가즈나리, 김혜원",엠와이소셜컴퍼니,2026년 08월,22000,19800,,	9791196788896,https://www.yes24.com/product/goods/196272845
63,디지털 교육론,한승연,학지사,2026년 08월,20000,20000,,	9788999738241,https://www.yes24.com/product/goods/196272837
64,아름살이 진로상담,주은선,학지사,2026년 09월,23000,23000,,	9788999738487,https://www.yes24.com/product/goods/196272836
65,학습 동기와 교실 수업,"장유진, 김명섭, 원성준, 이유정, 황혜영",학지사,2026년 08월,26000,26000,,	9788999737183,https://www.yes24.com/product/goods/196272833
66,강점 기반 청소년 자해·자살 위기 개입,박예진,학지사,2026년 09월,16000,16000,,	9788999738333,https://www.yes24.com/product/goods/196272831
67,웃고 놀고 뒤집은 나의 페미니즘,유숙열,이프북스(IFBOOKS),2026년 09월,22000,19800,,	9791190390385,https://www.yes24.com/product/goods/196269148
68,수업에 바로 쓰는 바이브 코딩,"김나영, 김세빈, 김우일, 박세현",학교도서관저널,2026년 09월,16000,14400,,	9788969152749,https://www.yes24.com/product/goods/196269027
69,소희의 세계,김소희,메디치미디어,2026년 09월,20000,18000,,	9791157068739,https://www.yes24.com/product/goods/196266451
70,인도 금융 포용 강화를 위한 AI 파이낸스 활용 전략: AFINIT의 플랫폼 확장을 통한 발전 및 사회 기여 전략 모색,"아디티 싱, 방준형, 이승민",지식과감성#,2026년 09월,16800,15120,,	9791139234657,https://www.yes24.com/product/goods/196266089
71,중남미의 개발함정과 SDGs,정상희,명인문화사,2026년 06월,25000,22500,,	9791161931784,https://www.yes24.com/product/goods/196263599
