rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,오디세이아,"호메로스, 페테르 파울 루벤스, 박문재",현대지성,2025년 04월,27000,24300,9.7,	9791139721973,https://www.yes24.com/product/goods/145242086
2,싯다르타,"헤르만 헤세, 박병덕",민음사,2002년 01월,8000,7200,9.5,	9788937460586,https://www.yes24.com/product/goods/257435
3,서리꽃 세트,조정래,해냄,2026년 08월,40000,36000,9.4,	9791167141637,https://www.yes24.com/product/goods/195252787
4,모순,양귀자,쓰다,2013년 04월,13000,11700,9.6,	9788998441012,https://www.yes24.com/product/goods/8759796
5,수족관,유래혁,포스터샵,2023년 12월,17700,15930,9.0,	9791198547514,https://www.yes24.com/product/goods/124235834
6,찌니주의보,정지아,창비,2026년 08월,16800,15120,9.9,	9788936439996,https://www.yes24.com/product/goods/195026262
7,절창 切創 (화이트 에디션),구병모,문학동네,2025년 09월,18000,16200,9.0,	9791141602451,https://www.yes24.com/product/goods/153497469
8,한국사 이상현상 연구원,최인서,다이브,2026년 08월,22000,19800,9.3,	9791124137635,https://www.yes24.com/product/goods/195265894
9,투명한 나선,"히가시노 게이고, 김선영",북다,2026년 07월,22000,19800,9.7,	9791170614043,https://www.yes24.com/product/goods/193807963
10,데미안,"헤르만 헤세, 전영애",민음사,2000년 12월,8000,7200,9.3,	9788937460449,https://www.yes24.com/product/goods/176787
11,테오,"앨런 레비, 노지양",오팬하우스,2026년 07월,21000,18900,9.7,	9791175772892,https://www.yes24.com/product/goods/192469071
12,안녕이라 그랬어 (집 에디션),김애란,문학동네,2025년 06월,16800,15120,9.6,	9791141602376,https://www.yes24.com/product/goods/147560984
13,프로젝트 헤일메리,"앤디 위어, 강동혁",알에이치코리아(RHK),2026년 02월,22000,19800,9.7,	9788925588735,https://www.yes24.com/product/goods/101375755
14,브람스를 좋아하세요...,"프랑수아즈 사강, 김남주",민음사,2008년 05월,10000,9000,9.1,	9788937461798,https://www.yes24.com/product/goods/2950700
15,급류,정대건,민음사,2022년 12월,14000,12600,8.7,	9788937473401,https://www.yes24.com/product/goods/116586303
16,이방인,"알베르 까뮈, 김화영",민음사,2011년 03월,10000,9000,9.3,	9788937443848,https://www.yes24.com/product/goods/4827613
17,빵충 사육 준수 사항,김혜영,안전가옥,2026년 07월,16800,15120,9.3,	9791194891178,https://www.yes24.com/product/goods/193459475
18,일리아스&오디세이아 세트,"호메로스, 페테르 파울 루벤스, 박문재",현대지성,2025년 04월,55000,49500,9.9,	9791139721942,https://www.yes24.com/product/goods/145279346
19,데뷔 못 하면 죽는 병 걸림 5부 초판 한정 굿즈박스 세트,백덕수,위시북스,2026년 12월,144000,129600,10.0,	9791141548612,https://www.yes24.com/product/goods/195475634
20,인간 실격,"다자이 오사무, 김춘미",민음사,2004년 05월,9000,8100,9.1,	9788937461033,https://www.yes24.com/product/goods/1387488
21,그리스인 조르바,"니코스 카잔차키스, 이윤기",열린책들,2009년 12월,14800,13320,9.2,	9788932909349,https://www.yes24.com/product/goods/3647046
22,백야,"표도르 도스토예프스키, 박은정",문학동네,2026년 09월,14500,13050,,,https://www.yes24.com/product/goods/195254819
23,소년이 온다,한강,창비,2014년 05월,15000,13500,9.7,	9788936434120,https://www.yes24.com/product/goods/13137546
24,괴테는 모든 것을 말했다 (여름 에디션),"스즈키 유이, 이지수",리프,2025년 11월,17000,15300,8.7,	9791194530701,https://www.yes24.com/product/goods/164510819
25,시간의 감촉,은희경,문학동네,2026년 06월,18800,16920,9.4,	9791141617226,https://www.yes24.com/product/goods/191550933
26,윗집 부부,황보름,클레이하우스,2026년 06월,18000,16200,9.6,	9791193235966,https://www.yes24.com/product/goods/191535504
27,용의자 X의 헌신,"히가시노 게이고, 양억관",재인,2017년 08월,18800,16920,9.6,	9788990982704,https://www.yes24.com/product/goods/45353675
28,자몽살구클럽,한로로,어센틱,2025년 07월,12000,10800,9.1,	9791199305304,https://www.yes24.com/product/goods/149385533
29,우리는 가장 밝은 밤에 헤어졌다,"표도르 도스토예프스키, 김희숙",윌마,2026년 06월,17800,16020,9.9,	9791199757684,https://www.yes24.com/product/goods/192030311
30,혼모노,성해나,창비,2025년 03월,18000,16200,9.1,	9788936439743,https://www.yes24.com/product/goods/143911524
31,달러구트 꿈 백화점 0,이미예,팩토리나인,2026년 07월,17800,16020,9.7,	9791124575178,https://www.yes24.com/product/goods/192468942
32,노르웨이의 숲,"무라카미 하루키, 양억관",민음사,2017년 08월,17000,15300,9.2,	9788937434488,https://www.yes24.com/product/goods/44499829
33,1984,"조지 오웰, 정회성",민음사,2003년 06월,11000,9900,9.6,	9788937460777,https://www.yes24.com/product/goods/372300
34,동물농장,"조지 오웰, 도정일",민음사,2001년 02월,8000,7200,9.6,	9788937460050,https://www.yes24.com/product/goods/17352
35,초조한 마음,"슈테판 츠바이크, 이유정",문학과지성사,2013년 04월,17000,15300,9.7,	9788932023977,https://www.yes24.com/product/goods/8764398
36,무진기행,김승옥,민음사,2007년 08월,11000,9900,9.2,	9788937461491,https://www.yes24.com/product/goods/2661477
37,주와 연,청예,래빗홀,2026년 06월,17500,15750,9.2,	9791168343887,https://www.yes24.com/product/goods/192879211
38,지푸라기 왕관을 쓴 여자,박상영,래빗홀,2026년 07월,18800,16920,9.2,	9791168344044,https://www.yes24.com/product/goods/193851551
39,오만과 편견,제인 오스틴,민음사,2003년 09월,13000,11700,9.3,	9788937460883,https://www.yes24.com/product/goods/402246
40,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019년 04월,15000,13500,9.6,	9788998441074,https://www.yes24.com/product/goods/72127217
41,홍학의 자리,정해연,엘릭시르,2026년 03월,14000,12600,9.2,	9788954681155,https://www.yes24.com/product/goods/102791425
42,기억의 무늬,백희성,북로망스,2026년 08월,19800,17820,9.7,	9791124038604,https://www.yes24.com/product/goods/194332794
43,새의 선물,은희경,문학동네,2022년 06월,16000,14400,9.8,	9788954687041,https://www.yes24.com/product/goods/109785026
44,순례 주택,유은실,비룡소,2021년 03월,15000,13500,9.6,	9788949123493,https://www.yes24.com/product/goods/97963475
45,뒤틀린 사랑,"아나 황, 윤선미",모모,2026년 07월,23000,20700,9.7,	9791175773721,https://www.yes24.com/product/goods/194478702
46,나미야 잡화점의 기적,"히가시노 게이고, 양윤옥",현대문학,2022년 12월,18800,16920,9.4,	9791167901484,https://www.yes24.com/product/goods/116586056
47,초판본 하늘과 바람과 별과 시,윤동주,더스토리,2024년 12월,2990,2700,9.9,	9791194280958,https://www.yes24.com/product/goods/140042426
48,태양 아래 올리브,김초엽,자이언트북스,2026년 08월,19800,17820,9.8,	9791191824582,https://www.yes24.com/product/goods/194315610
49,초판본 어린왕자,"앙투안 드 생텍쥐페리, 김미정",더스토리,2021년 10월,2990,2700,9.9,	9791164455300,https://www.yes24.com/product/goods/103952369
50,녹색 절벽의 신자들,조예은,오리지널스,2026년 09월,19000,17100,10.0,	9791169087520,https://www.yes24.com/product/goods/195804454
51,일리아스,"호메로스, 페테르 파울 루벤스, 박문재",현대지성,2025년 04월,30000,27000,9.9,	9791139721966,https://www.yes24.com/product/goods/145242085
52,오뒷세이아,"호메로스, 천병희",숲,2015년 09월,33000,29700,9.5,	9788991290150,https://www.yes24.com/product/goods/2148271
53,노인과 바다,"어네스트 밀러 헤밍웨이, 김욱동",민음사,2012년 01월,8000,7200,9.5,	9788937462788,https://www.yes24.com/product/goods/6157159
54,구의 증명,최진영,은행나무,2023년 04월,12000,10800,8.9,	9791167372864,https://www.yes24.com/product/goods/118578901
55,채식주의자,한강,창비,2022년 03월,17000,15300,9.1,	9788936434595,https://www.yes24.com/product/goods/108422348
56,아가미 (애니메이션 더블 커버),구병모,위즈덤하우스,2018년 03월,16800,15120,9.6,	9791162203392,https://www.yes24.com/product/goods/125761510
57,악의,"히가시노 게이고, 양윤옥",현대문학,2019년 07월,16800,15120,9.6,	9788972750031,https://www.yes24.com/product/goods/76108857
58,달과 6펜스,윌리엄 서머싯 몸,민음사,2000년 06월,10000,9000,9.4,	9788937460388,https://www.yes24.com/product/goods/135880
59,세종의 나라 2,김진명,이타북스,2026년 02월,22000,19800,9.7,	9791167764126,https://www.yes24.com/product/goods/178054322
60,이상한 지도,"우케쓰, 김은모",리드비(READbie),2026년 08월,18800,16920,9.9,	9791192738888,https://www.yes24.com/product/goods/195254690
61,세종의 나라 1,김진명,이타북스,2026년 02월,22000,19800,9.2,	9791167764119,https://www.yes24.com/product/goods/178054374
62,위대한 개츠비,"F. 스콧 피츠제럴드, 김욱동",민음사,2003년 05월,9000,8100,9.0,	9788937460753,https://www.yes24.com/product/goods/370331
63,천 개의 파랑,천선란,허블,2020년 08월,17000,15300,9.5,	9791190090261,https://www.yes24.com/product/goods/91766653
64,인비인,성해나,한겨레출판,2026년 06월,18000,16200,9.5,	9791172134297,https://www.yes24.com/product/goods/192028900
65,참을 수 없는 존재의 가벼움,"밀란 쿤데라, 이재룡",민음사,2009년 12월,13000,11700,9.3,	9788937462344,https://www.yes24.com/product/goods/3657268
66,체호프 단편선,안톤 파블로비치 체호프,민음사,2002년 11월,9000,8100,9.5,	9788937460708,https://www.yes24.com/product/goods/318392
67,아르고스,이승형,한겨레출판,2026년 08월,16800,15120,10.0,	9791172134617,https://www.yes24.com/product/goods/195411694
68,초판본 데미안,"헤르만 헤세, 이순학",더스토리,2020년 08월,2980,2690,9.6,	9791164453115,https://www.yes24.com/product/goods/91909794
69,멋진 신세계,"올더스 헉슬리, 안정효",소담출판사,2015년 06월,13800,12420,9.2,	9788973814725,https://www.yes24.com/product/goods/18360997
70,서성이다,장강명,현대문학,2026년 08월,15000,13500,9.9,	9791167903792,https://www.yes24.com/product/goods/194755366
71,바깥은 여름,김애란,문학동네,2017년 06월,16000,14400,9.2,	9788954646079,https://www.yes24.com/product/goods/42798224
72,아버지의 해방일지,정지아,창비,2022년 09월,17000,15300,9.6,	9788936438838,https://www.yes24.com/product/goods/112253263
73,너무 시끄러운 고독,"보후밀 흐라발, 이창실",문학동네,2016년 07월,15000,13500,9.3,	9788954641548,https://www.yes24.com/product/goods/29375048
74,영원의 겨울,연하지,BOOKK(부크크),2026년 01월,16200,16200,10.0,	9791112134028,https://www.yes24.com/product/goods/177863867
75,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키, 권영주",모모,2021년 06월,14000,12600,9.3,	9791191043297,https://www.yes24.com/product/goods/102360203
76,"필사, 어른이 되는 시간","나태주, 보담",북로그컴퍼니,2025년 07월,18500,16650,9.9,	9791168031234,https://www.yes24.com/product/goods/148702080
77,호밀밭의 파수꾼,"제롬 데이비드 샐린저, 정영목",민음사,2023년 01월,12000,10800,8.7,	9788937460470,https://www.yes24.com/product/goods/204300
78,아코디언,천명관,창비,2026년 06월,18000,16200,9.4,	9788936439965,https://www.yes24.com/product/goods/191838559
79,꽃을 보듯 너를 본다,나태주,지혜,2015년 06월,13000,11700,9.5,	9791157280292,https://www.yes24.com/product/goods/24259730
80,작별하지 않는다,한강,문학동네,2021년 09월,16800,15120,9.6,	9788954682152,https://www.yes24.com/product/goods/103495056
81,수레바퀴 아래서,"헤르만 헤세, 김이섭",민음사,2001년 08월,8000,7200,9.3,	9788937460500,https://www.yes24.com/product/goods/221158
82,죄와 벌 1,"표도르 도스토예프스키, 김연경",민음사,2012년 03월,11000,9900,9.5,	9788937462849,https://www.yes24.com/product/goods/6712992
83,죽은 왕녀를 위한 파반느 (양장 특별판),박민규,위즈덤하우스,2025년 11월,20000,18000,9.3,	9791171715503,https://www.yes24.com/product/goods/166577463
84,시한부,백은별,바른북스,2024년 01월,16800,15120,8.9,	9791193647646,https://www.yes24.com/product/goods/124622440
85,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019년 06월,17000,15300,9.4,	9791190090018,https://www.yes24.com/product/goods/74261416
86,참을 수 없는 존재의 가벼움,"밀란 쿤데라, 이재룡",민음사,2018년 06월,17000,15300,9.5,	9788937437564,https://www.yes24.com/product/goods/61933303
87,초판본 싯다르타,"헤르만 헤세, 박진권",더스토리,2025년 02월,2980,2690,9.6,,https://www.yes24.com/product/goods/142685984
88,마션,"앤디 위어, 박아람",알에이치코리아(RHK),2021년 05월,19800,17820,9.7,,https://www.yes24.com/product/goods/101375809
89,내 심장을 쏴라,정유정,은행나무,2026년 02월,18000,16200,9.1,,https://www.yes24.com/product/goods/176521109
90,죄와 벌 2,"표도르 도스토예프스키, 김연경",민음사,2012년 03월,11000,9900,9.7,,https://www.yes24.com/product/goods/6713010
91,왜 나는 너를 사랑하는가,"알랭 드 보통, 정영목",청미래,2022년 11월,14000,12600,9.4,,https://www.yes24.com/product/goods/115275383
92,면도날,"윌리엄 서머싯 몸, 안진환",민음사,2009년 06월,15000,13500,9.7,,https://www.yes24.com/product/goods/3452430
93,설국,가와바타 야스나리,민음사,2002년 01월,8000,7200,8.8,,https://www.yes24.com/product/goods/252513
94,악수도 없이 헤어졌다,피천득,민음사,2025년 12월,15000,13500,9.9,,https://www.yes24.com/product/goods/170370451
95,사랑에 대하여,"안톤 파블로비치 체호프, 이항재",민음사,2025년 01월,15000,13500,9.8,,https://www.yes24.com/product/goods/141735776
96,불편한 편의점,김호연,나무옆의자,2021년 04월,16800,15120,9.5,,https://www.yes24.com/product/goods/99308021
97,희망,양귀자,쓰다,2020년 06월,19800,17820,9.8,,https://www.yes24.com/product/goods/90977017
98,스토너,"존 윌리엄스, 김승욱",알에이치코리아(RHK),2015년 01월,16800,15120,9.4,,https://www.yes24.com/product/goods/15718330
99,안나 카레니나 세트,레프 톨스토이,민음사,2012년 11월,30800,27720,9.6,,https://www.yes24.com/product/goods/7979860
100,가시고기,조창인,산지,2024년 02월,17000,15300,9.7,,https://www.yes24.com/product/goods/125448039
