rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,리치먼드힐의 이층 버스,이경진,북플레저,,17100,17100,10.0,	9791124038499,https://www.yes24.com/product/goods/190215128
2,푸른 바람꽃,"김원식, 강모아, 김형국, 류유정, 염승민",불과글,,11700,11700,,	9791199867918,https://www.yes24.com/product/goods/189834733
3,당신을 기다리고 있어,김보영,래빗홀,,17100,17100,,	9791168343870,https://www.yes24.com/product/goods/189760960
4,톨스토이 단편집,"레프 톨스토이, 안진환, 서진",스노우폭스북스,,17820,17820,,	9791194966449,https://www.yes24.com/product/goods/190215004
5,나무늘보에게 말을 걸다,정석호,북퍼브,2026년 05월,20000,18000,,	9791174821140,https://www.yes24.com/product/goods/190404771
6,함께한 걸음들,여문숙,드베(DBE),2026년 05월,15000,13500,,	9791193115244,https://www.yes24.com/product/goods/190403945
7,"망각이란, 잊어버리는 것",박명호,문학광장,2025년 10월,15000,13500,,	9791186521816,https://www.yes24.com/product/goods/190401746
8,고난을 해석하는 시,황보 경,신아사,2026년 05월,17000,17000,,	9791173421617,https://www.yes24.com/product/goods/190399069
9,시간과 상실의 시학,황보 경,신아사,2026년 05월,15000,15000,,	9791173421624,https://www.yes24.com/product/goods/190399068
10,어머니의 눈부신 바다,하엘라,시와에세이,2026년 05월,13000,12350,,	9791124212103,https://www.yes24.com/product/goods/190399053
11,태양 공포,"이종산, 정보라, 허진희",스프링,2026년 06월,16800,15120,,	9791199653047,https://www.yes24.com/product/goods/190399051
12,커피 볶는 부엌,이호준,에이프릴,2026년 05월,17000,15300,,	9791186275078,https://www.yes24.com/product/goods/190398425
13,끌림 떨림 울림 드림,김관호,북퍼브,2026년 05월,10000,9000,,	9791174821164,https://www.yes24.com/product/goods/190394449
14,은빛 현,"슈테판 츠바이크, 육혜원",이화북스,2026년 06월,12000,10800,,	9791190626392,https://www.yes24.com/product/goods/190394033
15,행선지,안재현,은하태양,2026년 05월,13000,11700,,	9791199121843,https://www.yes24.com/product/goods/190392165
16,레인보우 초콜릿 도넛,백수연,그늘,2026년 05월,15000,13500,,	9791174575722,https://www.yes24.com/product/goods/190374220
17,두근거리는 신전,조국래,시산맥사,2026년 06월,12000,11400,,	9791162437063,https://www.yes24.com/product/goods/190373276
18,단 한 번의 사계절,"하세가와 마리루, 이소담",다산책방,2026년 05월,16000,14400,,	9791130677026,https://www.yes24.com/product/goods/190371823
19,어린왕자 미니북,"앙투안 드 생텍쥐페리, 김미정",더클래식,2026년 06월,5500,4950,,	9791175244658,https://www.yes24.com/product/goods/190369174
