rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,2025년 12월,19000,17100,9.8,	9791138934428,https://www.yes24.com/product/goods/167466420
2,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,2025년 12월,18500,16650,9.9,	9791138934442,https://www.yes24.com/product/goods/167466432
3,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2025년 12월,22000,19800,9.9,	9791138934459,https://www.yes24.com/product/goods/168393009
4,2026 써니 행정법총론 봉투모의고사,박준철,제이씨에듀,2026년 04월,12000,10800,9.8,	9791199386228,https://www.yes24.com/product/goods/184402021
5,2026 심우철 실전 동형 모의고사 Season 4,심우철,공단기(에스티유니타스),2026년 05월,15000,13500,10.0,	9791169666145,https://www.yes24.com/product/goods/189115175
6,2026 국가직 경향을 반영한 진짜 공무원 모의고사 시즌 4,유대종 국어 연구소,공단기(에스티유니타스),2026년 06월,9000,8100,8.0,	9791169666411,https://www.yes24.com/product/goods/191547926
7,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기 (컴퓨터활용능력 2급),길벗알앤디,길벗,2025년 10월,27000,24300,9.8,	9791140715886,https://www.yes24.com/product/goods/155514750
8,2026 선재국어 최우선 봉투 모의고사,이선재,수비니겨,2026년 04월,25000,22500,9.7,	9791190302449,https://www.yes24.com/product/goods/185676025
9,2027 심슨 보카,심우철,공단기(에스티유니타스),2026년 05월,26000,23400,,	9791169666152,https://www.yes24.com/product/goods/189856942
10,2026 한 권으로 끝내는 시나공 컴활 1급 필기+실기(컴퓨터활용능력 1급),길벗알앤디,길벗,2025년 10월,40000,36000,9.7,	9791140715879,https://www.yes24.com/product/goods/155513709
11,2027 소방직 시험대비 SO NICE 백소나 소방학개론 기본서,백소나,더나은,2026년 04월,43000,38700,8.5,	9791194158547,https://www.yes24.com/product/goods/187927189
12,11일에 완성하는 서경석의 다이어트 한국사능력검정시험 심화(1·2·3급),"서경석, 김유선",다락원,2026년 01월,20000,18000,9.8,	9788927775683,https://www.yes24.com/product/goods/169651351
13,"2027 심승아 Simple, Detail 심테일 소방학개론 2",심승아,모두공북스,2026년 06월,36000,32400,,	9791173603563,https://www.yes24.com/product/goods/191224586
14,2026 위포트 공기업 NCS 통합기본서 (PSAT형+모듈형+피듈형+실전 모의고사),위포트 연구소,위포트,2026년 02월,27000,24300,9.9,	9791161982083,https://www.yes24.com/product/goods/167502878
15,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2025년 06월,19700,17730,9.8,	9791138932943,https://www.yes24.com/product/goods/147561000
16,"2025·2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 기본(4,5,6급)",최태성,이투스북,2024년 12월,19500,17550,9.9,	9791138928137,https://www.yes24.com/product/goods/140231496
17,2026 단기 합격 해커스공기업 NCS 통합 기본서(모듈형+피듈형+PSAT형+모의고사 6회분),"윤종혁, 김소원, 김태형, 복지훈, 최수지, 정보 더 보기/감추기, 윤종혁, 김소원, 김태형, 복지훈, 최수지, 김동민, 해커스 취업교육연구소",해커스잡,2026년 01월,27000,24300,10.0,	9788969656872,https://www.yes24.com/product/goods/170525823
18,2026 황철곤 행정학 파이널 봉투 모의고사,황철곤,넥스트스터디,2026년 04월,13000,11700,10.0,	9791173603310,https://www.yes24.com/product/goods/184309716
