rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,2027 유휘운 행정법총론 요약노트+기출문제 (요.플.),유휘운,모두공북스,,33300,33300,10.0,	9791173603914,https://www.yes24.com/product/goods/193701241
2,2027 공단기 소방단기 써니 행정법총론 기본서,박준철,공단기(에스티유니타스),,39600,39600,10.0,	9791169666480,https://www.yes24.com/product/goods/193686487
3,2027 유휘운 행정법총론 기출문제 풀어주는 기본서 (기.풀.기.),유휘운,모두공북스,,45000,45000,,	9791173603938,https://www.yes24.com/product/goods/193701299
4,2027 심승아 Simple·Detail 심테일 소방관계법규 1,심승아,모두공북스,,29700,29700,10.0,	9791173603761,https://www.yes24.com/product/goods/193386401
5,2027 기합 운전직·시설관리직·조리직 사회 기출문제집,김현철,서울고시각,2026년 09월,20000,18000,,	9788952653604,https://www.yes24.com/product/goods/193991284
6,강성민 공법기록 모의시험 기출문제 해설 4,강성민,필통북스,2026년 07월,13000,11700,,	9791167923264,https://www.yes24.com/product/goods/193991218
7,High-End 상법 최신판례,박지훈,필통북스,2026년 07월,10000,9000,,	9791167923257,https://www.yes24.com/product/goods/193991175
8,High-End 형법 사례형,박지훈,필통북스,2026년 07월,45000,40500,,	9791167923196,https://www.yes24.com/product/goods/193991125
9,2026 김형준 청소년지도사 면접가이드 1·2·3급,김형준,나눔book,2026년 07월,28000,25200,,	9791174911490,https://www.yes24.com/product/goods/193990955
10,2027 작은 어음·수표법,장원석,나눔에듀,2026년 07월,14000,14000,,	9791194099710,https://www.yes24.com/product/goods/193990788
11,박문각 공무원 김세현 영어 VOCA All In One,김세현,박문각,2026년 07월,16000,14400,,	9791176492713,https://www.yes24.com/product/goods/193990667
12,2027 박문각 공무원 최욱진 행정학 30일 완성 기본서,최욱진,박문각,2026년 08월,39000,35100,,	9791176492836,https://www.yes24.com/product/goods/193990429
13,행정사 행정법 기출문제집,서창교,경연,2026년 07월,20000,19000,,	9791124153604,https://www.yes24.com/product/goods/193989280
14,Hi-Pass 용접기술사,김순채,성안당,2026년 07월,85000,76500,,	9788931512786,https://www.yes24.com/product/goods/193989257
15,2026 최적합 공공조달관리사 필기,"케이비즈글로벌교육원, 홍순후",성안당,2026년 07월,29000,26100,,	9788931584929,https://www.yes24.com/product/goods/193988813
16,2027 윤주국어 개념서 추론 독해와 문법,이윤주,배움,2026년 07월,18000,16200,,	9791124262740,https://www.yes24.com/product/goods/193987715
17,100% 무료특강 자력 유통관리사 2급 초단기 4주 완전정복,"이지은, 김경민, 허소람",(주)박영사,2026년 08월,30000,27000,,	9791144200111,https://www.yes24.com/product/goods/193987097
18,2027 김중규 선행정학 세트 (이론+기출),김중규,카스파,2026년 07월,96000,86400,10.0,,https://www.yes24.com/product/goods/193987060
19,100% 무료특강 자력 3D프린터운용기능사 필기+실기 한권쏙,이우홍,(주)박영사,2026년 08월,33000,29700,,	9791144200142,https://www.yes24.com/product/goods/193987055
20,2027 강해준 OX문제집,강해준,혜강,2026년 07월,27000,24300,,	9791199958357,https://www.yes24.com/product/goods/193986897
21,2026 최영희행정학 지방자치론 세트 : 기본개념서+기출문제집,최영희,에이치북스,2026년 07월,62000,55800,10.0,,https://www.yes24.com/product/goods/193986869
22,알기쉽게 풀어쓴 토양환경기사 실기,전나훈,에듀피디(EDUPD),2026년 08월,28000,25200,,	9791155866368,https://www.yes24.com/product/goods/193986635
23,박문각 공무원 9급 매일·주간 합격모의고사 [26년 8월],박문각 합격전략연구소,박문각,2026년 07월,35000,31500,,	9791176492812,https://www.yes24.com/product/goods/193986064
24,박지원 스파르타 문제풀이 1,박지원,배움,2026년 07월,26000,24700,,	9791124262696,https://www.yes24.com/product/goods/193985994
25,최신 경찰학,"임창호, 정세종, 라광현, 김승현",자운,2026년 09월,50000,50000,,	9791193321386,https://www.yes24.com/product/goods/193985947
26,이영민 민사소송법,이영민,미래가치,2026년 07월,45000,40500,,	9791167737250,https://www.yes24.com/product/goods/193985856
27,객관식 외부감사법과 공인회계사법,노준화,sam&books(샘앤북스),2026년 07월,17000,17000,,	9791156266204,https://www.yes24.com/product/goods/193985162
28,2027 해커스변호사 행정법 3개년 최신판례,박도원,해커스변호사,2026년 07월,27000,27000,,	9791176446037,https://www.yes24.com/product/goods/193984680
29,2027 해커스변호사 상법 핵심 지문의 맥,공태용,해커스변호사,2026년 07월,26000,26000,,	9791176446280,https://www.yes24.com/product/goods/193984491
30,2026 해커스변호사 헌법 상반기 최신판례,김유향,해커스변호사,2026년 07월,9000,9000,,	9791176446068,https://www.yes24.com/product/goods/193984263
31,2027 EASY TECH 이지테크 전기직 전기이론,"김영복, 김지호",서울고시각,2026년 09월,36000,32400,,	9788952653598,https://www.yes24.com/product/goods/193984230
32,2027 EASY TECH 이지테크 전기직 전기기기,"김지호, 김영복",서울고시각,2026년 09월,33000,29700,,	9788952653581,https://www.yes24.com/product/goods/193984217
33,2027 공무원 강서연 교육학 기본서,강서연,미래가치,2026년 07월,40000,36000,,	9791167737243,https://www.yes24.com/product/goods/193925662
34,2027 에듀윌 고졸 검정고시 기본서+무료특강 세트,"신형철, 김지상, 최주연, 양준성, 이재은, 정보 더 보기/감추기, 신형철, 김지상, 최주연, 양준성, 이재은, 김샛별, 나하율",에듀윌,2026년 08월,146500,131850,,,https://www.yes24.com/product/goods/193925240
35,2027 에듀윌 중졸 검정고시 기본서+무료특강 세트,"김지상, 최주연, 홍희진, 이재은, 나하율, 정보 더 보기/감추기, 김지상, 최주연, 홍희진, 이재은, 나하율, 유란",에듀윌,2026년 08월,131500,118350,,,https://www.yes24.com/product/goods/193925230
36,2026 NCS 주택도시보증공사 필기전형,취업적성연구소,서원각,2026년 07월,20000,18000,,	9791125748786,https://www.yes24.com/product/goods/193924080
37,2027 9급 공무원 축산직 기출문제 정복하기,공무원시험연구소,서원각,2027년 01월,16000,14400,,	9791125748755,https://www.yes24.com/product/goods/193923805
38,모아 위험물기능장 실기(핵심이론 + 과년도 12개년),MCC,모아교육그룹,2026년 08월,38000,34200,,	9791168046276,https://www.yes24.com/product/goods/193922919
39,2027 박문각 행정사 1차 이준희 행정법 문제집,이준희,박문각,2026년 08월,24000,21600,,	9791176492485,https://www.yes24.com/product/goods/193922448
40,경찰헌법도약 동형모의고사,이국령,윌비스,2026년 07월,24000,21600,,	9791175611511,https://www.yes24.com/product/goods/193915460
41,항공기상 문제집,이강희,비행연구원,2026년 07월,25000,25000,,	9791194153269,https://www.yes24.com/product/goods/193914808
42,2027 박문각 공무원 이명훈 하이패스 행정학 기본 이론서,이명훈,박문각,2026년 07월,54000,48600,,	9791176492683,https://www.yes24.com/product/goods/193902702
43,세무사 민법,김춘환,윌비스,2025년 08월,24000,22800,,	9791175611528,https://www.yes24.com/product/goods/193899785
44,2027 박문각 감정평가사 2차 S+감정평가이론 각론 기본서,"이충길, 이동현",박문각,2026년 08월,28000,25200,,	9791176492362,https://www.yes24.com/product/goods/193896606
45,2027 시대에듀 Win-Q 에너지관리기능사 필기 단기합격,허판효,시대고시기획 시대교육,2027년 01월,27000,24300,,	9791143417749,https://www.yes24.com/product/goods/193917254
46,시대에듀 경상남도 공공기관 통합채용 NCS 실전모의고사 6회분,SDC,시대고시기획 시대교육,2026년 08월,18000,16200,,	9791143418265,https://www.yes24.com/product/goods/193917255
47,2027 시대에듀 A+ 독학사 1단계 교양과정 심리학개론 한권합격+무료특강,독학학위연구소,시대고시기획 시대교육,2027년 01월,24000,21600,,	9791143417794,https://www.yes24.com/product/goods/193917257
48,2027 공단기 김건호 헌법 위헌 기출 끝내기,김건호,(주)박영사,2026년 07월,16000,16000,,	9791144225053,https://www.yes24.com/product/goods/193894147
49,2026 시대에듀 All-New 한국수자원공사 NCS&전공 실전모의고사 3+3회분,SDC,시대고시기획 시대교육,2026년 08월,18000,16200,,	9791143418005,https://www.yes24.com/product/goods/193917258
50,2026 하반기 시대에듀 All-New KB국민은행 필기전형 봉투모의고사 5회분,SDC,시대고시기획 시대교육,2026년 08월,20000,18000,,	9791143418067,https://www.yes24.com/product/goods/193917259
51,2027 시대에듀 버스운전자격시험 문제지,버스운전자격시험편찬위원회,시대고시기획 시대교육,2026년 09월,13000,11700,,	9791143418098,https://www.yes24.com/product/goods/193917260
52,2027 교정승진 전과목 최근 1년간 기출총정리,함승한,양지에듀,2026년 07월,29000,29000,,	9791194825494,https://www.yes24.com/product/goods/193892654
53,2027 시대에듀 합격자 관세사 1차 3개년 기출문제집 한권으로 끝내기,관세사시험연구소,시대고시기획 시대교육,2026년 09월,27000,24300,,	9791143416711,https://www.yes24.com/product/goods/193917261
54,2027 기분좋은 #초초초 지게차운전기능사 필기,정형빈,시대고시기획 시대교육,2026년 09월,13900,12510,,	9791143418357,https://www.yes24.com/product/goods/193917263
55,2027 시대에듀 소방시설관리사 1차 한권으로 끝내기,이덕수,시대고시기획 시대교육,2026년 08월,56000,50400,,	9791143413628,https://www.yes24.com/product/goods/193917264
56,해커스 IFRS 김원종 객관식 재무회계 1 중급회계,김원종,해커스경영아카데미,2026년 07월,39000,39000,,	9791176446174,https://www.yes24.com/product/goods/193882074
