rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,처음 읽는 삼국지 4,"이문열, 한현동, 윤종문",미래엔아이세움,,0,0,,9791175487635,https://www.yes24.com/product/goods/186638310
2,에그박사 18,"에그박사, 박송이, 홍종현, 김보숙",미래엔아이세움,,0,0,,9791175487598,https://www.yes24.com/product/goods/187026394
3,물리박사 김상욱의 수상한 연구실 10,"김하연, 정순규, 강신철, 김상욱",아울북,,0,0,,9791171174843,https://www.yes24.com/product/goods/186686170
4,어린이를 위한 사피엔스 이야기,"타마르 바이스 가바이, 시라즈 푸만, 김모",다른어린이,,0,0,,9791156337713,https://www.yes24.com/product/goods/185498678
5,프린세스 캐치! 티니핑 시크릿 자석 옷장,,아이누리,2026년 04월,0,0,,8800282159159,https://www.yes24.com/product/goods/187574043
6,"반가사유상, 우리 얘기 좀 해요",이봉직,이든북,2026년 04월,0,0,,9791167014078,https://www.yes24.com/product/goods/187572789
7,모두 한 가족이에요,"서보현, 우연이",누리,2026년 01월,0,0,,9788963437842,https://www.yes24.com/product/goods/187571505
8,다른집 아이가 될래,"최수복, 최수영",누리,2026년 01월,0,0,,9788963437835,https://www.yes24.com/product/goods/187571496
9,출발! 마라카스 조사단,"김현주, 박우희",누리,2026년 01월,0,0,,9788963437828,https://www.yes24.com/product/goods/187571490
10,별난세상 왈가닥 진이,"김용란, 송향란",누리,2026년 01월,0,0,,9788963437811,https://www.yes24.com/product/goods/187571485
11,찌그락 빠그락 지구탐험대,"김영란, 최현묵",누리,2026년 01월,0,0,,9788963437804,https://www.yes24.com/product/goods/187571479
12,대한민국에 살아요,"최미리, 김윤정",누리,2026년 01월,0,0,,9788963437798,https://www.yes24.com/product/goods/187571476
13,심술대마왕정민수,"최미리, 홍정선",누리,2026년 01월,0,0,,9788963437781,https://www.yes24.com/product/goods/187571471
14,제멋대로 나라는 법대로,"이희은, 김민영",누리,2026년 01월,0,0,,9788963437774,https://www.yes24.com/product/goods/187571469
15,수학도둑 16,"송도수, 서정은",서울문화사,2019년 12월,0,0,,9791173716058,https://www.yes24.com/product/goods/187571448
16,수학도둑 18,"송도수, 서정은",서울문화사,2019년 12월,0,0,,9791173716072,https://www.yes24.com/product/goods/187571446
17,수학도둑 19,"송도수, 서정은",서울문화사,2019년 12월,0,0,,9791173716089,https://www.yes24.com/product/goods/187571445
18,수학도둑 20,"송도수, 서정은",서울문화사,2026년 04월,0,0,,9791173716096,https://www.yes24.com/product/goods/187571444
