rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,처음 읽는 삼국지 4,"이문열, 한현동, 윤종문",미래엔아이세움,,15120,15120,10.0,9791175487635,https://www.yes24.com/product/goods/186638310
2,에그박사 18,"에그박사, 박송이, 홍종현, 김보숙",미래엔아이세움,,15120,15120,,9791175487598,https://www.yes24.com/product/goods/187026394
3,물리박사 김상욱의 수상한 연구실 10,"김하연, 정순규, 강신철, 김상욱",아울북,,15210,15210,9.7,9791171174843,https://www.yes24.com/product/goods/186686170
4,흔한남매 과학 탐험대 17 뇌와 호르몬,"흔한남매, 김언정, 송은경, 김덕영, 권경아",주니어김영사,,15120,15120,,9791173325953,https://www.yes24.com/product/goods/187507612
5,늑구의 꿈,오로라,문학세계사,2026년 04월,14500,13050,,9791193001950,https://www.yes24.com/product/goods/187809269
6,간장 종지 아난감?,"신미경, 박묘광",누리,2026년 01월,13000,11700,,9788963438061,https://www.yes24.com/product/goods/187782879
7,암행어사 출두야,"서보현, 전진경",누리,2026년 01월,13000,11700,,9788963438054,https://www.yes24.com/product/goods/187782875
8,가 봐야 알지,"류혜인, 허현경",누리,2026년 01월,13000,11700,,9788963438047,https://www.yes24.com/product/goods/187782841
9,부기콩과 나잘난 2세의 대결,"이유정, 정은영",누리,2026년 01월,13000,11700,,9788963438030,https://www.yes24.com/product/goods/187782741
10,사이좋게 지내면 안돼겠니?,"김수경, 박진아",누리,2026년 01월,13000,11700,,9788963438023,https://www.yes24.com/product/goods/187782489
11,가난은 네 탓이 아니야,"오수민, 우연이",누리,2026년 01월,13000,11700,,9788963438016,https://www.yes24.com/product/goods/187782347
12,태평양 한가운데 쓰레기섬,"최승필, 곽재연",누리,2026년 01월,13000,11700,,9788963438009,https://www.yes24.com/product/goods/187782260
13,두더지 나라의 고민,"오수민, 박재현",누리,2026년 01월,13000,11700,,9788963437996,https://www.yes24.com/product/goods/187782258
14,늑대 아저씨가 화났어,"주순교, 황인순",누리,2026년 01월,13000,11700,,9788963437989,https://www.yes24.com/product/goods/187782257
15,쓰레기 산이 와르르,"황인순, 김수현",누리,2026년 01월,13000,11700,,9788963437972,https://www.yes24.com/product/goods/187782255
16,많아도 걱정 적어도 걱정,"최형미, 강나래",누리,2026년 01월,13000,11700,,9788963437965,https://www.yes24.com/product/goods/187782254
17,창시는 번창번창,"손주현, 오승만",누리,2026년 01월,13000,11700,,9788963437958,https://www.yes24.com/product/goods/187782252
18,울트라 별로 오세요,"최승필, 박재현",누리,2026년 01월,13000,11700,,9788963437941,https://www.yes24.com/product/goods/187782246
19,할아버지 유령이 심심해,"서보현, 조에스더",누리,2026년 01월,13000,11700,,9788963437934,https://www.yes24.com/product/goods/187782243
20,둥두르 식당으로 오세요,"최미리, 이소민",누리,2026년 01월,13000,11700,,9788963437927,https://www.yes24.com/product/goods/187782236
21,도전! 내가 최고 남반구,"최미리, 김주리",누리,2026년 01월,13000,11700,,9788963437910,https://www.yes24.com/product/goods/187782231
22,도전! 내가 최고 북반구,"최미리, 김주리",누리,2026년 01월,13000,11700,,9788963437903,https://www.yes24.com/product/goods/187782227
23,산타가 가장 바쁜 날,"손주현, 우연이",누리,2026년 01월,13000,11700,,9788963437897,https://www.yes24.com/product/goods/187782218
24,땅 모양이 울퉁불퉁 매끈매끈 뾰족뾰족,"최혜경, 이형진",누리,2026년 01월,13000,11700,,9788963437880,https://www.yes24.com/product/goods/187782205
25,방귀쟁이 며느리 명절 나기,"최형미, 신은경",누리,2026년 01월,13000,11700,,9788963437873,https://www.yes24.com/product/goods/187782202
26,정보 도둑을 잡아라,"윤정심, 김령언",누리,2026년 01월,13000,11700,,9788963437866,https://www.yes24.com/product/goods/187782199
27,"텔레비전 버릴까, 말까?","류혜인, 이혜란",누리,2026년 01월,13000,11700,,9788963437859,https://www.yes24.com/product/goods/187782197
28,AI 시대 질문 잘하는 어린이 프로젝트,"짱량쥔, 푸야오싱 일러스트 스튜디오, 고상희",지경사,2026년 04월,14000,12600,,9788931934793,https://www.yes24.com/product/goods/187782082
29,얄라리의 어휘 콕콕! 한 컷 초등 사자성어,"재능많은국어연구소, 에렘",휴먼어린이,2026년 04월,14000,12600,,9788965916604,https://www.yes24.com/product/goods/187781317
30,읽다 보면 저절로 알게 되는 신비한 AI 사전,양작가,파란정원,2026년 04월,13000,11700,,9791158683160,https://www.yes24.com/product/goods/187780455
31,긍정적인 개구리 / 사자굴에서도 긍정적으로,"이영숙, 신예진, 김희종",LYS좋은나무성품학교,2018년 02월,15000,13500,,9791188242795,https://www.yes24.com/product/goods/187779961
32,긍정을 선택해요 / 긍정의 용사,"이영숙, 김희종",LYS좋은나무성품학교,2018년 02월,15000,13500,,9791188242801,https://www.yes24.com/product/goods/187779967
33,미켈란젤로의 긍정 / 긍정적인 정탐꾼,"이영숙, 김희종",LYS좋은나무성품학교,2018년 02월,15000,13500,,9791188242818,https://www.yes24.com/product/goods/187779971
34,아하!디디 2,알루,리틀리들,2026년 04월,14000,12600,,9791199404229,https://www.yes24.com/product/goods/187766986
35,구름마을,최윤찬,창조와지식,2026년 05월,18500,16650,,9791176270243,https://www.yes24.com/product/goods/187762326
36,노는 것도 좋은데 공부도 좋아!,박시아,창조와지식,2026년 05월,18500,16650,,9791176270281,https://www.yes24.com/product/goods/187758190
37,소맥거핀 찰칵! 세계여행 5 : 벨기에·노르웨이,"소맥거핀, 샌드박스네트워크 애니메이션 프로덕션",샌드박스스토리 키즈,2026년 04월,16800,15120,,9791192504100,https://www.yes24.com/product/goods/187753118
38,전사들 6부 그림자의 환영 6,"에린 헌터, 서현정",가람어린이,2026년 04월,17500,15750,,9791165184650,https://www.yes24.com/product/goods/187739232
39,포켓 베어,"캐서린 애플게이트, 찰스 산토소, 이원경",가람어린이,2026년 04월,17500,15750,,9791165184599,https://www.yes24.com/product/goods/187739234
40,고스트 콜 Vol. 3,강경수,올리,2026년 04월,16000,14400,,9791124070864,https://www.yes24.com/product/goods/187706302
41,한국 대표동시선집,"신현득, 김종상, 박종현, 문삼석, 엄기원",묵향인,2026년 04월,30000,27000,,9791199796751,https://www.yes24.com/product/goods/187700736
42,미지와 무지,"김다노, 인디고",다산어린이,2026년 04월,14000,12600,,9791130676173,https://www.yes24.com/product/goods/187690240
43,호랑이 빵집 6,"서지원, 홍그림",아르볼,2026년 05월,14000,12600,,9791162042168,https://www.yes24.com/product/goods/187670583
44,"어느 날, 좀비가 되었다 3","박보영, 지은지, 유영근",아르볼,2026년 04월,14500,13050,,9791162042151,https://www.yes24.com/product/goods/187669010
