rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,사춘기 엄마의 오장육부,나민애,서교책방,2026년 04월,17800,16020,9.9,	9791124497029,https://www.yes24.com/product/goods/186676818
2,백지 앞에서,최은영,문학동네,2026년 04월,17500,15750,9.8,	9791141603373,https://www.yes24.com/product/goods/188010439
3,오늘부터 300일,"김신지, 서평화",휴머니스트,2021년 03월,16500,14850,9.7,	9791160806076,https://www.yes24.com/product/goods/97978751
4,너를 아끼며 살아라,나태주,더블북,2025년 06월,18500,16650,9.8,	9791193153710,https://www.yes24.com/product/goods/147276346
5,다정한 사람이 이긴다 (스페셜 리커버),이해인,필름,2026년 04월,19000,17100,9.2,	9791124468050,https://www.yes24.com/product/goods/185705970
6,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,2024년 07월,18000,16200,9.8,	9791162145043,https://www.yes24.com/product/goods/129775130
7,어른의 행복은 조용하다,태수,페이지2북스,2024년 11월,17800,16020,9.5,	9791169851053,https://www.yes24.com/product/goods/136298166
8,빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클, 이시형",청아출판사,2026년 01월,12000,10800,9.5,	9788936812621,https://www.yes24.com/product/goods/170736476
9,도스토옙스키 번역 일기,김정아,샘터,2026년 05월,28000,25200,,	9788946423305,https://www.yes24.com/product/goods/188833063
10,얼마나 발칙해도 될까,알레프,브로북스,2026년 05월,17000,15300,10.0,	9791199254862,https://www.yes24.com/product/goods/189335876
11,네가 어떤 삶을 살든 나는 너를 응원할 것이다 2,공지영,해냄,2026년 05월,19000,17100,9.9,	9791167141552,https://www.yes24.com/product/goods/189018193
12,명상록,"마르쿠스 아우렐리우스, 박문재",현대지성,2018년 04월,12000,10800,9.6,	9791187142379,https://www.yes24.com/product/goods/59463540
13,제철 행복,김신지,인플루엔셜,2024년 04월,17800,16020,9.9,	9791168341890,https://www.yes24.com/product/goods/126120766
14,불안,"알랭 드 보통, 정영목",은행나무,2011년 12월,18000,16200,9.0,	9788956605593,https://www.yes24.com/product/goods/6111280
15,사랑이 있으니 살아집디다,"유시민, 김세라, 4.9통일평화재단",도서출판은빛,2026년 03월,18000,16200,8.8,	9791187232629,https://www.yes24.com/product/goods/183023638
16,아픔의 문장들,조기준,아토북,2026년 05월,17000,15300,10.0,	9791190194259,https://www.yes24.com/product/goods/188867648
17,사랑의 기술,"에리히 프롬, 황문수",문예출판사,2019년 09월,17000,15300,9.4,	9788931011623,https://www.yes24.com/product/goods/77728036
18,행복,법륜,정토출판,2026년 05월,20000,18000,,	9791124502020,https://www.yes24.com/product/goods/189413175
19,연민에 관하여,"프랭크 카프리오, 이혜진",포레스트북스,2026년 03월,20000,18000,9.9,	9791194530916,https://www.yes24.com/product/goods/182623975
20,모든 날들이 행복했으면 좋겠어,갱여운,하이스트,2026년 03월,18800,16920,10.0,	9791193282649,https://www.yes24.com/product/goods/182300211
21,단 한 번의 삶,김영하,복복서가,2025년 04월,16800,15120,9.1,	9791191114768,https://www.yes24.com/product/goods/144021119
22,달리기를 말할 때 내가 하고 싶은 이야기,"무라카미 하루키, 임홍빈",문학사상,2009년 01월,14500,13050,9.3,	9788970128337,https://www.yes24.com/product/goods/3239082
23,물고기는 존재하지 않는다,"룰루 밀러, 정지인",곰출판,2021년 12월,17000,15300,9.0,	9791189327156,https://www.yes24.com/product/goods/105526047
24,정답은 있다,이정효,다산북스,2026년 02월,18000,16200,9.9,	9791130675275,https://www.yes24.com/product/goods/179599727
25,구원에게,정영욱,부크럼,2026년 02월,18000,16200,9.7,	9791162145418,https://www.yes24.com/product/goods/176993217
26,소년과 두더지와 여우와 말,"찰리 맥커시, 이진경",상상의힘,2020년 04월,22000,19800,9.7,	9788997381678,https://www.yes24.com/product/goods/89898969
27,처음부터 끝까지 고백,주또,시선과단상,2025년 10월,16800,15120,9.8,	9791198210852,https://www.yes24.com/product/goods/159313159
28,잘했고 잘하고 있고 잘 될 것이다 (아마존 베스트셀러 기념 전면 개정판),정영욱,부크럼,2022년 10월,18000,16200,9.6,	9791162143605,https://www.yes24.com/product/goods/101682634
29,기분이 태도가 되지 않게 (헬로키티 에디션),"레몬심리, 박영란",갤리온,2025년 11월,18000,16200,9.4,	9788901297842,https://www.yes24.com/product/goods/161341258
30,꾸준함을 기르는 일,수풀림,다산북스,2026년 04월,18000,16200,10.0,	9791130676630,https://www.yes24.com/product/goods/188155297
31,감정에 이름 붙이기,윤주은,문예춘추사,2026년 04월,18000,16200,10.0,	9788976047977,https://www.yes24.com/product/goods/183545578
32,숨결이 바람 될 때,"폴 칼라니티, 이종인",흐름출판,2016년 08월,16800,15120,9.4,	9788965961956,https://www.yes24.com/product/goods/30555650
33,오늘도 불안한 엄마들에게,양소영,담담사무소,2025년 09월,22000,19800,9.8,	9791197120060,https://www.yes24.com/product/goods/153752448
34,나는 나답게 죽기로 했습니다,"나이토 이즈미, 위지영",마음의숲,2026년 04월,17800,16020,9.9,	9791162851876,https://www.yes24.com/product/goods/187522543
35,당신은 결국 무엇이든 해내는 사람,김상현,필름,2022년 04월,17000,15300,9.1,	9791188469994,https://www.yes24.com/product/goods/108743692
36,아빠의 도시락 편지,"크리스 얀들, 최지영",이야기장수,2026년 05월,18500,16650,,	9791194184584,https://www.yes24.com/product/goods/188691822
37,『각자의 우주』 정영한 저자 북토크,정영한,교보문고,2026년 05월,5000,5000,,,https://www.yes24.com/product/goods/189335942
38,호의에 대하여,문형배,김영사,2025년 08월,18800,16920,9.3,	9791173323027,https://www.yes24.com/product/goods/152298374
39,조용한 회복,박재연,한빛라이프,2025년 09월,22000,19800,9.7,	9791194725206,https://www.yes24.com/product/goods/153259638
40,일본 광고 카피 도감,오하림,서교책방,2026년 01월,18800,16920,9.6,	9791199555112,https://www.yes24.com/product/goods/173654407
41,탁! 깨달음의 대화,법륜,정토출판,2025년 11월,17000,15300,9.9,	9791187297925,https://www.yes24.com/product/goods/167132030
42,나는 나로 살기로 했다 (영미권 출간기념 특별판),김수현,클레이하우스,2022년 02월,17500,15750,9.3,	9791197377150,https://www.yes24.com/product/goods/106540460
43,태도에 관하여 (20만 부 기념 완결판),임경선,토스트,2024년 09월,18000,16200,9.2,	9791198886101,https://www.yes24.com/product/goods/133809259
44,여행의 이유,김영하,복복서가,2024년 04월,16800,15120,9.1,	9791191114591,https://www.yes24.com/product/goods/125905365
45,오독의 발견,김민철,김영사,2026년 04월,18800,16920,9.1,	9791173326134,https://www.yes24.com/product/goods/188811001
46,네가 어떤 삶을 살든 나는 너를 응원할 것이다 1,공지영,해냄,2026년 05월,19000,17100,10.0,	9791167141569,https://www.yes24.com/product/goods/189017885
47,나의 티아라 플라워,이정아,스토리닷,2026년 06월,28000,25200,10.0,	9791188613649,https://www.yes24.com/product/goods/189524405
48,너라는 우주,그림에다,길벗,2026년 04월,19800,17820,10.0,	9791140718160,https://www.yes24.com/product/goods/185197843
49,이렇게 작지만 확실한 행복,"무라카미 하루키, 안자이 미즈마루, 김진욱",문학사상,2024년 06월,16000,14400,9.3,	9788970125930,https://www.yes24.com/product/goods/126980649
50,어른의 품위,최서영,북로망스,2025년 10월,19500,17550,9.4,	9791193937693,https://www.yes24.com/product/goods/154354904
51,미세 행복 도감,썩어라 수시생,포레스트북스,2026년 05월,18000,16200,,	9791124591000,https://www.yes24.com/product/goods/189336083
52,숨은 어린이 찾기,김소영,창비,2026년 04월,16800,15120,10.0,	9788936429645,https://www.yes24.com/product/goods/187027184
53,제5공화국 전두환 시대 1,김용삼,자작나무숲,2026년 04월,35000,31500,,	9791188656141,https://www.yes24.com/product/goods/187026005
54,언제나 기억해,"찰리 맥커시, 이진경",상상의힘,2025년 10월,22000,19800,9.8,	9788997381005,https://www.yes24.com/product/goods/155303212
55,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,2024년 01월,19800,17820,9.3,	9791189352745,https://www.yes24.com/product/goods/124127709
56,중년에 지친 밤에는,"마스다 미리, 이소담",북포레스트,2026년 03월,18000,16200,9.8,	9791192025285,https://www.yes24.com/product/goods/183705944
57,나는 메트로폴리탄 미술관의 경비원입니다 (25만 부 기념 전면 개정판),"패트릭 브링리, 김희정, 조현주",웅진지식하우스,2025년 09월,18500,16650,9.6,	9788901297453,https://www.yes24.com/product/goods/154168402
58,내가 생각한 인생이 아니야,류시화,수오서재,2023년 12월,18000,16200,9.8,	9791193238172,https://www.yes24.com/product/goods/124157362
59,내사랑 케이크,이선경,별빛들,2026년 05월,16000,14400,,	9791189885809,https://www.yes24.com/product/goods/189519994
60,반복의 쓸모,억만장자 메신저,동양북스(동양books),2026년 02월,19800,17820,9.2,	9791172101671,https://www.yes24.com/product/goods/174932734
61,강남은 거대한 정신 병동이다,김정일,지식공작소,2023년 09월,15000,15000,7.3,	9791128892547,https://www.yes24.com/product/goods/122279897
62,언어의 온도,이기주,말글터,2016년 08월,13800,12420,8.6,	9791195522125,https://www.yes24.com/product/goods/30387696
63,모든 이야기는 숲에서 시작되었다,"베른트 하인리히, 강유리",윌북(willbook),2026년 05월,22000,19800,10.0,	9791155819289,https://www.yes24.com/product/goods/188927399
64,생각이 쉬는 사이,혜민,불광출판사,2026년 04월,19800,17820,9.2,	9791172612603,https://www.yes24.com/product/goods/184517119
65,사는 동안 틈틈이 행복합시다,박근호,히읏,2025년 05월,17800,16020,10.0,	9791192559070,https://www.yes24.com/product/goods/146518136
66,프로이트의 감정수업,"강이안, 지그문트 프로이트",필로틱,2025년 11월,18000,16200,9.4,	9791199383012,https://www.yes24.com/product/goods/162027774
67,타샤의 기쁨,"타샤 튜더, 공경희",윌북(willbook),2026년 05월,18000,16200,10.0,	9791155819265,https://www.yes24.com/product/goods/188865375
68,제5공화국 전두환 시대 2,김용삼,자작나무숲,2026년 04월,35000,31500,,	9791188656158,https://www.yes24.com/product/goods/187026672
69,호의에 대하여 (15만 부 기념 양장 특별판),문형배,김영사,2026년 04월,22000,19800,,	9791173325717,https://www.yes24.com/product/goods/183235019
70,살아갈 날들을 위한 괴테의 시,김종원,퍼스트펭귄,2025년 01월,19000,17100,9.7,	9791199040311,https://www.yes24.com/product/goods/141253984
71,모리와 함께한 화요일,"미치 앨봄, 모리 슈워츠, 공경희",살림출판사,2017년 06월,15000,13500,9.6,	9788952236753,https://www.yes24.com/product/goods/43868967
72,공감에 관하여 (가족 에디션),이금희,다산책방,2025년 11월,18000,16200,9.8,	9791130672779,https://www.yes24.com/product/goods/164883497
73,좋은 일이 오려고 그러나 보다 (리커버판),박여름,히읏,2023년 07월,16800,15120,9.3,	9791192559742,https://www.yes24.com/product/goods/120785860
74,감정은 사라져도 결과는 남는다,이해인,필름,2023년 06월,17000,15300,8.6,	9791198249340,https://www.yes24.com/product/goods/119609405
75,월든,"헨리 데이비드 소로우, 정회성",민음사,2021년 11월,14000,12600,9.1,	9788937463952,https://www.yes24.com/product/goods/105164060
76,외롭다면 잘 살고 있는 것이다,부아c,페이지2북스,2025년 11월,18000,16200,9.6,	9791169851688,https://www.yes24.com/product/goods/164505956
77,거인을 읽다,"신영준, 고영성",상상스퀘어,2025년 10월,25000,22500,9.0,	9791194368748,https://www.yes24.com/product/goods/155115043
78,[예스리커버] 길 위의 뇌,정세희,한스미디어,2024년 10월,19500,17550,9.7,	9791193712559,https://www.yes24.com/product/goods/134878586
79,기록하기로 했습니다,김신지,휴머니스트,2021년 02월,17000,15300,9.5,	9791160805390,https://www.yes24.com/product/goods/97032664
80,그저 달리기인 줄 알았는데 삶이었다,강주원,비로소,2026년 04월,18800,16920,10.0,	9791198404435,https://www.yes24.com/product/goods/187501524
81,빛과 실,한강,문학과지성사,2025년 04월,15000,13500,9.6,	9788932043562,https://www.yes24.com/product/goods/145569016
82,어린이라는 세계,김소영,사계절,2020년 11월,15000,13500,9.7,	9791160946918,https://www.yes24.com/product/goods/94978691
83,100 인생 그림책,"하이케 팔러, 발레리오 비달리, 김서정",사계절,2019년 02월,22000,19800,9.6,	9791160944426,https://www.yes24.com/product/goods/69747499
84,수련의 말들,요가소년,위즈덤하우스,2026년 05월,19500,17550,10.0,	9791175910751,https://www.yes24.com/product/goods/189404542
85,초록쪽으로 이사했습니다,"반유미, 최유아, 박미란, 김현진, 손영, 정보 더 보기/감추기, 반유미, 최유아, 박미란, 김현진, 손영, 이미라, 이지윤",달빛북스,2026년 05월,12000,10800,10.0,	9791199515000,https://www.yes24.com/product/goods/189116870
86,다크 심리학 : 연애의 법칙,다크 마인드,다크마인드북스,2026년 01월,19800,17820,8.6,	9791193282601,https://www.yes24.com/product/goods/175476997
87,지금 이대로 좋다,"법륜, 박정은",정토출판,2019년 10월,14800,13320,9.6,	9791187297239,https://www.yes24.com/product/goods/80739168
88,인생의 오후에도 축제는 벌어진다,"와카타케 치사코, 권남희",부키,2026년 04월,17000,15300,9.9,	9791175780071,https://www.yes24.com/product/goods/183678227
89,매일 행복할 일만 가득할 당신에게,김태환,새벽녘,2025년 03월,17600,15840,9.8,	9791199136632,https://www.yes24.com/product/goods/143503946
90,이 지랄맞음이 쌓여 축제가 되겠지,조승리,달,2024년 03월,16800,15120,9.7,	9791158161767,https://www.yes24.com/product/goods/125676599
91,죽고 싶지만 떡볶이는 먹고 싶어,"백세희, 댄싱스네일",흔,2018년 06월,13800,12420,7.9,	9791196394509,https://www.yes24.com/product/goods/61779464
