rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,휴대폰과 독화살,장준호,시월,,18000,18000,10.0,	9791191975376,https://www.yes24.com/product/goods/193580746
2,"[그래제본소] 동물의 향기, 인간의 풍경",최태영,돌베개,,23400,23400,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=273680
3,우울은 초록의 마음,반혜린(뿍이),북라이프,,15750,15750,10.0,	9791124002155,https://www.yes24.com/product/goods/193584027
4,제법 쓸 만한 인생,윤혜연,달먹는토끼,,17100,17100,10.0,	9791199848009,https://www.yes24.com/product/goods/193467501
5,이야기가 있는 집,김해연,작가,2026년 07월,15000,13500,,	9791124095553,https://www.yes24.com/product/goods/194189868
6,눈동자로 쓰는 나의 일기,김창민,생각나눔,2026년 07월,10000,9000,,	9791176430333,https://www.yes24.com/product/goods/194189267
7,초록을 보듬다,김순양,바른북스,2026년 07월,15000,13500,,	9791176213653,https://www.yes24.com/product/goods/194186818
8,나는 항공 엔지니어입니다,김진혁,루아크,2026년 08월,19500,17550,,	9791194391401,https://www.yes24.com/product/goods/194185076
9,"교회, 나의 눈물 나의 노래 2",김경호,좋은땅,2026년 07월,18000,16200,,	9791138862622,https://www.yes24.com/product/goods/194183927
10,달마다 알딸딸,김혜경,샘터,2026년 07월,18000,16200,,	9788946475694,https://www.yes24.com/product/goods/194183247
11,낭만적으로 산다,강화길,문학동네,2026년 07월,17500,15750,,	9791141617783,https://www.yes24.com/product/goods/194179713
12,빗자루 타는 삐삐 할머니,조영숙,에피쿠로스의정원,2026년 07월,18100,16290,,	9791199450639,https://www.yes24.com/product/goods/194175064
13,슬픔을 긍정하기까지 (큰글자책),김점용,새움,2026년 08월,43000,43000,,	9791170801870,https://www.yes24.com/product/goods/194174019
14,친절한 엄마가 아니어도 괜찮아 (큰글자책),최다희,뜻밖,2026년 08월,30000,30000,,	9791170801894,https://www.yes24.com/product/goods/194173826
15,시선의 철학,함돈균,난다,2026년 07월,18000,16200,10.0,	9791124065587,https://www.yes24.com/product/goods/194173452
16,나는 왜 네 말이 힘들까 + 조용한 회복 세트,박재연,한빛라이프,2026년 07월,44000,39600,9.7,,https://www.yes24.com/product/goods/194172743
17,하루 하루 하루키,황영,라의눈,2026년 07월,16800,15120,,	9791194835363,https://www.yes24.com/product/goods/194172324
18,내가 그 바다에 두고 온 것들,김민식,퓝,2026년 08월,19000,17100,,	9791199309326,https://www.yes24.com/product/goods/194172197
19,평화로운 가난 속에서 단정하게,최광희,자크드앙,2026년 07월,18000,16200,,	9791124241066,https://www.yes24.com/product/goods/194164155
20,나는 아직 되고 싶은 사람이 있다,이은강,북오션,2026년 08월,20000,18000,,	9788967999582,https://www.yes24.com/product/goods/193994546
21,[블라인드북] 여름의 문장들 : 개떡 같은 날씨 100번에 끝내주는 순간 한 번으로 대낮의 더위가 용서되었던 날도 있다.,,예스24(블라인드북),2026년 07월,18000,16200,,,https://www.yes24.com/product/goods/193994411
22,더 이상 달빛 아래서 시를 쓰지 않을지도 모르지만,"제롬 K. 제롬, 정혜엽",우리네꿈,2026년 07월,17000,15300,,	9791185455433,https://www.yes24.com/product/goods/193992455
23,[블라인드북] 여름의 문장들 : 치앙마이는 곳곳이 초록입니다.,,예스24(블라인드북),2026년 07월,15000,13500,,,https://www.yes24.com/product/goods/193991167
24,홀로 서는 법을 배우다,조선희,보민출판사,2026년 07월,14000,12600,,	9791169575270,https://www.yes24.com/product/goods/193991109
25,나는 결국 나로 돌아왔다,무카,하움출판사,2026년 07월,17000,15300,,	9791173744617,https://www.yes24.com/product/goods/193990958
26,죽음이 처음인 당신에게,이삼,대원앤북(대원씨아이),2026년 07월,18000,16200,10.0,	9791142357527,https://www.yes24.com/product/goods/193990793
27,매일 떠나는 사람,태원준,김영사,2026년 07월,17800,16020,,	9791173326981,https://www.yes24.com/product/goods/193989706
28,사람을 그리며 세상을 묻다,신건호,아이허브,2026년 07월,25000,22500,,	9791198295484,https://www.yes24.com/product/goods/193989312
29,우당탕탕 이집트 여행기,손지호,우주스토리,2026년 07월,18000,16200,,	9791198521750,https://www.yes24.com/product/goods/193989258
30,"늘 푸르게, 더 푸르게",최대천,행복에너지,2026년 07월,22000,20900,,	9791124134320,https://www.yes24.com/product/goods/193988148
31,나를 만나다,김종숙,북나비,2026년 06월,16000,14400,,	9791160111798,https://www.yes24.com/product/goods/193987731
32,우리의 노래가,노회찬재단,후마니타스,2026년 07월,22000,19800,,	9788964375136,https://www.yes24.com/product/goods/193987169
33,시간에 기대어,김태숙,소소담담,2026년 07월,15000,14250,,	9791194141334,https://www.yes24.com/product/goods/193987104
34,망한 사랑 이야기,도나초,모티브,2026년 07월,19800,17820,,	9791124649268,https://www.yes24.com/product/goods/193985176
35,너로 피어 꽃이 되다,온유경,마음세상,2026년 08월,17600,15840,,	9791156366713,https://www.yes24.com/product/goods/193984699
36,팔순일기,안동윤,북랩,2026년 07월,18000,16200,,	9791175983977,https://www.yes24.com/product/goods/193984486
37,"[블라인드북] 여름의 문장들 : 우리는 지금 보내고 있는 이 시간에 ‘여름방학’이라는 이름을 붙여줬다. 즐거운 고민을 하고, 마음 가는 일을 시도하고, 헷갈릴 땐 잠시 쉬어가는 시간의 연속.",,예스24(블라인드북),2026년 07월,20000,18000,,,https://www.yes24.com/product/goods/193961460
38,"[블라인드북] 여름의 문장들 : 여름에는 새로운 단어를 껴안을 수 있는 몸을 갖게 된다. 여름이 나를 통과했으면 좋겠다는 마음으로, 계절의 모든 흔적을 남기고 갔으면 좋겠다는 마음으로, 어떤 것이든...",,예스24(블라인드북),2026년 07월,17000,15300,,,https://www.yes24.com/product/goods/193940299
39,[블라인드북] 여름의 문장들 : 생동하는 여름/은빛 풀/저편의 풀/깜깜한 데서 먹는 딸기/나는 이제 어떤 사랑이 나은지 모르겠어요,,예스24(블라인드북),2026년 07월,14000,12600,,,https://www.yes24.com/product/goods/193929383
40,눈물 닦고 보니 인생 코미디더라,배영우,육일문화사,2026년 07월,15000,14250,,	9791124582039,https://www.yes24.com/product/goods/193928905
41,그래도 행복했다,최상훈,상상인,2026년 07월,17000,16150,,	9791174900722,https://www.yes24.com/product/goods/193928903
42,"[블라인드북] 여름의 문장들 : 해 질 녘의 여름밤, 가장 마음 편히 걷고 자유로웠기에, 이미 많이 아팠기에,",,예스24(블라인드북),2026년 07월,15000,13500,,,https://www.yes24.com/product/goods/193928627
43,10권 독서법,"하토야마 레히토, 원선미",마인드빌딩,2026년 07월,18800,16920,,	9791124086285,https://www.yes24.com/product/goods/193925637
44,봄은 고양이로다,하은,렛츠북(book),2026년 07월,15000,13500,,	9791160548235,https://www.yes24.com/product/goods/193924618
45,"같이 읽어요, 오늘도 (큰글자도서)",책여사,현대지성,2026년 07월,28000,28000,,	9791139733723,https://www.yes24.com/product/goods/193918492
46,"60, 다시 쓰는 청춘 일기 (큰글자도서)",권부귀,미다스북스(리틀미다스),2026년 07월,30000,30000,,	9791173559860,https://www.yes24.com/product/goods/193918273
47,새롭게 ‘나’라는 정원을 가꿉니다 (큰글자도서),김영이,미다스북스(리틀미다스),2026년 07월,30000,30000,,	9791173559853,https://www.yes24.com/product/goods/193918267
48,나는 오늘도 반짝이는 중입니다 (큰글자도서),이윤성,미다스북스(리틀미다스),2026년 07월,30000,30000,,	9791173559846,https://www.yes24.com/product/goods/193918155
49,은정 씨의 수상한 독서모임 (큰글자도서),안은정,미다스북스(리틀미다스),2026년 07월,32000,32000,,	9791173559839,https://www.yes24.com/product/goods/193917856
