rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,리얼 상하이,"이창환, 조현숙",한빛라이프,,18000,18000,,	9791124656044,https://www.yes24.com/product/goods/194526900
2,별방진에서 산티아고까지,이성관,한그루,,23400,23400,,	9791168672789,https://www.yes24.com/product/goods/194403413
3,동남아의 길거리를 맛보다,이기중,따비,,22500,22500,,	9791192169651,https://www.yes24.com/product/goods/194493661
4,실전 인도 생활,"윤수경, 최은영, 박정우",BOOKK(부크크),,24000,24000,,	9791112249333,https://www.yes24.com/product/goods/194852775
5,슬로베니아를 같이 걸어볼까요,김예현,노마드 아틀리에,2026년 07월,22000,19800,,	9791199998506,https://www.yes24.com/product/goods/194895144
6,국보 따라 인문 여행,박춘구,지식과감성#,2026년 08월,19000,17100,,	9791139233841,https://www.yes24.com/product/goods/194894743
8,아무나 못하는 누구나 다하는 산티아고 순례,원광우,BOOKK(부크크),2026년 07월,39100,39100,,	9791112246059,https://www.yes24.com/product/goods/194852763
9,"42일, 산티아고를 걷다",신동혁,생각나눔,2026년 08월,28000,25200,,	9791176430449,https://www.yes24.com/product/goods/194844180
10,"일본은 있다, 일본은 없다",김재철,열아홉,2026년 08월,19800,17820,,	9791198284587,https://www.yes24.com/product/goods/194650825
11,천주교 성지를 찾아서,정태성,코스모스,2026년 07월,12000,10800,,	9791193778258,https://www.yes24.com/product/goods/194619308
13,알프스 3대 미봉 트레킹을 가다,조기선,다큐북스,2026년 07월,20000,18000,,	9791187468394,https://www.yes24.com/product/goods/194525111
14,숙소의 정석,놀윰,BOOKK(부크크),2026년 07월,13900,13900,,	9791112244574,https://www.yes24.com/product/goods/194522483
15,"인도, 질문의 땅을 걷다",이성기,파란하늘,2026년 07월,16000,14400,,	9791194737629,https://www.yes24.com/product/goods/194490348
18,언제 또 떠날 수 있을까,허택기,바른북스,2026년 07월,15000,13500,,	9791176213769,https://www.yes24.com/product/goods/194396027
19,별서정원,김종화,송도국제북스,2026년 07월,22000,19800,,	9791199761704,https://www.yes24.com/product/goods/194338003
20,인생이 꼬일 때 섬으로 가세요,정경아,행복우물,2026년 07월,18500,16650,9.9,	9791194192893,https://www.yes24.com/product/goods/194331745
21,산사에서 만나는 이야기,김광현,해드림출판사,2026년 07월,18000,16200,,	9791156346968,https://www.yes24.com/product/goods/194320444
22,"나마스테, 인도 와인 (큰글자책)",김성현,호밀밭,2026년 08월,39000,39000,,	9791168262775,https://www.yes24.com/product/goods/194315742
23,베스트 프렌즈 삿포로,"정꽃나래, 정꽃보라",중앙북스(books),2026년 08월,13500,12150,,	9788927881797,https://www.yes24.com/product/goods/194315521
24,고향은 가장 오래된 여행지다,이승도,루멘하우스,2026년 07월,20000,18000,,	9791199665729,https://www.yes24.com/product/goods/194314364
