rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,동해 탐독,"김형호, 히크메트 카디르 보조크",틈새책방,,18000,18000,10.0,	9791188949915,https://www.yes24.com/product/goods/191888884
2,500명의 인물로 읽는 세계사,"찰스 필립스, 임지연, 김봉중",현대지성,,22500,22500,,	9791139732245,https://www.yes24.com/product/goods/192042259
3,DK 지도로 보는 제2차 세계대전,"DK 제2차 세계대전 편집위원회, 장용원, 신효승",지식의날개(방송대출판문화원),,47700,47700,,	9788920054747,https://www.yes24.com/product/goods/192126208
4,허균의 편지,"허균, 노경희",교유서가,,19800,19800,,	9791124128862,https://www.yes24.com/product/goods/191700841
5,좋은 전쟁,"래너 미터, 유강은",언더스탠드,2026년 06월,25000,22500,,	9791199220515,https://www.yes24.com/product/goods/192594469
6,"고고학의 기초, 상대편년 연구법",안재호,진인진,2026년 06월,20000,19000,,	9788963477039,https://www.yes24.com/product/goods/192586121
7,충청북도 문화유산 이야기,나곽주,보민출판사,2026년 02월,16000,14400,,	9791169575041,https://www.yes24.com/product/goods/192565236
8,해관에서 바라본 근대,"김성수, 인천문화재단",선인,2026년 06월,15000,15000,,	9791176060998,https://www.yes24.com/product/goods/192565065
9,호적으로 읽는 옛 인천,임학성,선인,2026년 06월,18000,18000,,	9791176060042,https://www.yes24.com/product/goods/192564975
10,모자이크,한성훈,진실의힘,2026년 06월,37000,33300,,	9791199880511,https://www.yes24.com/product/goods/192563790
11,다시 찾는 밀양의 사찰,"김상한, 이준설",공동체,2026년 06월,17000,17000,,	9791175541849,https://www.yes24.com/product/goods/192528299
12,"밀양의 고승, 하늘의 별인가요",김상한,공동체,2026년 06월,17000,17000,,	9791175541856,https://www.yes24.com/product/goods/192527932
13,리멤버 6·25,김재동,다음세대에듀,2026년 06월,20000,18000,2.0,	9791199753310,https://www.yes24.com/product/goods/192505694
14,시를 통해 본 중국 와인의 역사 诗中流淌的葡萄酒史,류 인 柳仁,BOOKK(부크크),2026년 06월,15100,15100,,	9791112218131,https://www.yes24.com/product/goods/192498963
15,다산 정약용의 인생 수업,"정약용, 김창준, 정영훈",메이트북스,2026년 06월,14000,12600,,	9791160024876,https://www.yes24.com/product/goods/192497662
16,로마 전통 종교와 그리스도교,최혜영,성균관대학교출판부(SKKUP),2026년 06월,32000,32000,,	9791155507148,https://www.yes24.com/product/goods/192474536
17,읽는 여성의 역사,최현미,어크로스,2026년 06월,19800,17820,,	9791167743039,https://www.yes24.com/product/goods/192474511
18,왕과 책사,김준태,믹스커피,2026년 06월,22000,19800,,	9791170437604,https://www.yes24.com/product/goods/192469113
19,아궁이도 고치지 못하는 사람이 천국에 어찌 가나,홍경택,툇마루,2026년 05월,13900,12510,10.0,	9791187424444,https://www.yes24.com/product/goods/192468335
20,거의 모든 물건의 역사,"칩 콜웰, 김병화",부키,2026년 06월,27000,24300,,	9791175780293,https://www.yes24.com/product/goods/192466128
21,아랍어사,윤용수,한국학술정보,2026년 06월,24000,22800,,	9791174576729,https://www.yes24.com/product/goods/192464987
22,아직도 끝나지 않은 나의 6·25,김형석,스타북스,2026년 06월,20000,18000,2.0,	9791199385214,https://www.yes24.com/product/goods/192336144
23,춘원 이광수,박인영,기파랑,2026년 07월,20000,18000,,	9788965234531,https://www.yes24.com/product/goods/192307750
24,동아시아 설화의 서사구조와 여성관,황소령,민속원,2026년 04월,22000,22000,,	9788928522293,https://www.yes24.com/product/goods/192307737
25,인사이트 6·25,이광수,길찾기,2026년 06월,22000,19800,,	9791167695345,https://www.yes24.com/product/goods/192302540
26,서한태 평전,박남일,호미,2026년 06월,23000,20700,,	9791199032651,https://www.yes24.com/product/goods/192289299
27,신헌실기,"손석규, 김병인, 김만호, 박미선",전남대학교출판문화원,2026년 03월,14000,12600,,	9791194716587,https://www.yes24.com/product/goods/192207260
28,황금,이한상,종이와나무,2025년 02월,15000,13500,,	9791188293285,https://www.yes24.com/product/goods/192273461
29,후추,"왕쯔, 이승호",종이와나무,2025년 02월,13000,11700,,	9791188293292,https://www.yes24.com/product/goods/192273462
30,담배,신경미,종이와나무,2025년 02월,15500,13950,,	9791188293278,https://www.yes24.com/product/goods/192273463
31,16세기 에스파냐어 사료로 본 물품의 역사,남민구,경인문화사(단행),2025년 04월,21000,21000,,	9788949968766,https://www.yes24.com/product/goods/192273464
32,중국과 동부 유라시아의 역사,"사가와 에이지, 스기야마 기요히코, 오노데라 시로, 임경준",경인문화사(단행),2025년 04월,28500,28500,,	9788949968681,https://www.yes24.com/product/goods/192273465
33,분단의 시간,강응천,그린비,2026년 06월,29800,28310,,	9791194513759,https://www.yes24.com/product/goods/192181425
34,"이순신, 옛 그림으로 읽다 (큰글자책)",이상,가갸날,2026년 07월,39000,39000,,	9791194205227,https://www.yes24.com/product/goods/192173449
35,최소한의 세계사 (큰글자도서),이다지,프런트페이지,2026년 06월,48000,48000,,	9791193401712,https://www.yes24.com/product/goods/192173354
36,본토 결전의 흔적들,이완희,선인,2026년 06월,25000,25000,,	9791176061056,https://www.yes24.com/product/goods/192168870
37,극우의 신화 일본,호사카 유지,책이라는신화,2026년 06월,22000,19800,,	9791199580985,https://www.yes24.com/product/goods/192182525
38,필름과 전쟁,"앨리스 러브조이, 윤종은",소소의책,2026년 06월,22000,19800,10.0,	9791171650408,https://www.yes24.com/product/goods/192130792
39,한국형 정보기관,정주진,역사공간,2026년 06월,35000,33250,,	9791157076673,https://www.yes24.com/product/goods/192130791
40,이 말만은 남기고 싶었다오,이혜민,깊은바다돌고래,2026년 06월,18000,16200,,	9791198331861,https://www.yes24.com/product/goods/192139610
41,조계의 달 무학,황인규,혜안,2026년 06월,28000,28000,,	9788984947702,https://www.yes24.com/product/goods/192126226
43,노래로 읽는 미국 근현대사 + 음표 위 경제사 세트,"임상훈, 이두걸",루아크,2026년 04월,61000,54900,10.0,,https://www.yes24.com/product/goods/192107383
44,유럽 1914- 1949 + 유럽 1950- 2017 + 유럽 1815- 1914 세트,"이언 커쇼, 리처드 J. 에번스, 류한수, 김남섭",이데아,2026년 06월,183000,164700,9.2,,https://www.yes24.com/product/goods/192107380
45,"역사학과 역사교육, 복수전공 교수의 연구 여정",차미희,선인,2026년 06월,44000,44000,,	9791176061025,https://www.yes24.com/product/goods/192092585
46,별이 된 일곱 선비,김정희,BOOKK(부크크),2026년 06월,13000,13000,,	9791112209078,https://www.yes24.com/product/goods/192090507
47,우리는 대한민국을 만들지 않았다. 7,김정은,BOOKK(부크크),2026년 06월,19300,19300,,	9791112212689,https://www.yes24.com/product/goods/192090501
48,"당신이 보지 못한 한국전쟁, 초토화 폭격","전갑생, 김용진, 최윤원",뉴스타파,2026년 06월,20000,18000,6.0,	9791198933270,https://www.yes24.com/product/goods/192062956
50,발트3국의 역사·문화·언어,"이상금, 박영미, 윤기현, 이현진, 허남영",산지니,2026년 06월,25000,22500,,	9791168617155,https://www.yes24.com/product/goods/192035851
51,일제 말 조선인 국방헌납,김인호,역사공간,2026년 05월,36000,34200,,	9791157076659,https://www.yes24.com/product/goods/192033447
52,식민지를 진맥하다,황융위안,역사공간,2026년 05월,27000,25650,,	9791157072743,https://www.yes24.com/product/goods/192032439
53,청백리실록 조선 (상),이은식,타오름,2026년 05월,26000,23400,,	9788994125916,https://www.yes24.com/product/goods/191949153
54,청백리실록 조선 (하),이은식,타오름,2026년 05월,26000,23400,,	9788994125923,https://www.yes24.com/product/goods/191949152
55,한국 근대 변호사제도와 조선인 변호사들,조영윤,국학자료원,2026년 05월,26000,26000,,	9791167976406,https://www.yes24.com/product/goods/192021268
56,퇴계 아들에게 보낸 편지 3,"이장우, 전일주, 권미정, 손규희",영남대학교출판부(知YU智),2025년 04월,35000,35000,,	9788975819339,https://www.yes24.com/product/goods/191943422
57,퇴계 아들에게 보낸 편지 2,"이장우, 전일주, 남옥주",영남대학교출판부(知YU智),2025년 04월,35000,35000,,	9788975819322,https://www.yes24.com/product/goods/191943418
58,퇴계 아들에게 보낸 편지 1,"이장우, 전일주",영남대학교출판부(知YU智),2025년 04월,35000,35000,,	9788975819254,https://www.yes24.com/product/goods/191943410
59,겸재 정선 (큰글자도서),유홍준,창비,2026년 06월,48000,48000,,	9788936481421,https://www.yes24.com/product/goods/191890242
60,살면서 딱 한 번 읽는 인물 한국사,박윤서,온더페이지,2026년 06월,21000,18900,10.0,	9791124637012,https://www.yes24.com/product/goods/191890181
62,종횡무진 세계사,송영흡,오르가논,2026년 06월,18000,16200,,	9791198979063,https://www.yes24.com/product/goods/191854883
63,한국 개신교우파,강인철,성균관대학교출판부(SKKUP),2026년 06월,33000,33000,,	9791155507124,https://www.yes24.com/product/goods/191828758
64,"긴 매혹, 칠레",전주람,알렙,2026년 04월,15000,13500,,	9791124300138,https://www.yes24.com/product/goods/191818557
65,중남미 기후금융,"곽재성, 조정현",알렙,2026년 04월,17000,15300,,	9791124300114,https://www.yes24.com/product/goods/191818559
66,이병한의 테크노-차이나 탐문 (큰글자도서),이병한,서해문집,2026년 03월,30000,30000,,	9791194413929,https://www.yes24.com/product/goods/191817207
67,통일 독일제국 건국의 비결,황수현,한국학술정보,2026년 06월,24000,22800,,	9791174576842,https://www.yes24.com/product/goods/191817177
68,시찰·여행·침탈,최혜주,민속원,2026년 05월,43000,43000,,	9788928522491,https://www.yes24.com/product/goods/191707904
69,글로벌 시대의 미국,"후루야 준, 이용빈",한울아카데미,2024년 10월,26000,26000,,	9788946083318,https://www.yes24.com/product/goods/191700973
71,역사는 미래다,조순,지성인,2026년 06월,25000,23750,,	9791189766702,https://www.yes24.com/product/goods/191699659
72,조선의 상인과 기술공들의 직업 세계,박영규,옥당북스,2026년 06월,22000,19800,,	9791189936600,https://www.yes24.com/product/goods/191695133
