rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,아름다운 것들은 비밀을 품고 있다,파묘,모티브,,16020,16020,,	9791176881456,https://www.yes24.com/product/goods/196487518
2,[그래제본소] 향기 박물관,"맨디 아프텔, 박선주",아멜리에북스,,23400,23400,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=276456
3,지속 가능한 일러스트레이터,정은지,제이펍,,19800,19800,,	9791124205907,https://www.yes24.com/product/goods/196353339
4,"화가의 눈, 손, 마음","마틴 게이퍼드, 조주연",에포크,,44100,44100,,	9791199126695,https://www.yes24.com/product/goods/196279327
5,공연마케팅 101,최상윤,생각의다리,2026년 09월,14800,14800,,	9791197309229,https://www.yes24.com/product/goods/196720539
6,기초부터 장용남 쓴 한글판본체,장용남,명문당,2026년 09월,18000,16200,,	9791194314790,https://www.yes24.com/product/goods/196712489
7,기초부터 장용남 쓴 한글궁체(흘림),장용남,명문당,2026년 09월,18000,16200,,	9791194314783,https://www.yes24.com/product/goods/196712484
8,기초부터 장용남 쓴 한글궁체(정자),장용남,명문당,2026년 09월,18000,16200,,	9791194314776,https://www.yes24.com/product/goods/196712483
9,함경남도 검무,"양승미, 함경남도검무보존회",스토리하우스,2026년 08월,16800,15120,,	9791185006635,https://www.yes24.com/product/goods/196709040
10,참교육 대본집 세트,"이남규, 김다희, 문종호",BIRDBOX(버드박스),2026년 10월,50000,45000,,	9791194830740,https://www.yes24.com/product/goods/196699178
11,나의 첫 번째 액션 1~2권 세트,"주성철, 이화정, 성찬얼, 김지연, 추아영, 정보 더 보기/감추기, 주성철, 이화정, 성찬얼, 김지연, 추아영, 이진주, 한국영화감독조합(DGK), 씨네플레이",한겨레출판,2026년 09월,36000,32400,,,https://www.yes24.com/product/goods/196680485
12,1989년 이후의 현대미술,켈리 그로비에,시공사,2026년 09월,24000,21600,,	9791171259946,https://www.yes24.com/product/goods/196679984
13,역대서법논문선,배경석,이화문화출판사,2026년 09월,120000,114000,,	9791155470107,https://www.yes24.com/product/goods/196679983
14,늙은 베르테르의 슬픔,이재진,엠애드,2026년 09월,30000,30000,,	9788965751939,https://www.yes24.com/product/goods/196679982
15,서예 법첩 해석,이종민,이화문화출판사,2026년 09월,18000,17100,,	9791155476307,https://www.yes24.com/product/goods/196679981
16,코스메틱 아티스트와 브랜드,임승희,도서출판청람,2026년 09월,32000,32000,,	9791124448304,https://www.yes24.com/product/goods/196679177
17,"감정의 힘, 감정치유 미술관",백소향,좋은땅,2026년 10월,22000,19800,,	9791138867535,https://www.yes24.com/product/goods/196677087
18,음식의 파란 문화의 동력,김남석,다산서림,2026년 09월,25000,22500,,	9791124671085,https://www.yes24.com/product/goods/196671305
19,자존감을 높여주는 가사 필사집,,(주)태림스코어,2026년 10월,20000,18000,,	9791157804191,https://www.yes24.com/product/goods/196670905
20,나의 첫 번째 액션 2,"주성철, 이화정, 성찬얼, 김지연, 추아영, 정보 더 보기/감추기, 주성철, 이화정, 성찬얼, 김지연, 추아영, 이진주, 한국영화감독조합(DGK), 씨네플레이",한겨레출판,2026년 09월,18000,16200,,	9791172134761,https://www.yes24.com/product/goods/196670925
21,나의 첫 번째 액션 1,"주성철, 이화정, 성찬얼, 김지연, 추아영, 정보 더 보기/감추기, 주성철, 이화정, 성찬얼, 김지연, 추아영, 이진주, 한국영화감독조합(DGK), 씨네플레이",한겨레출판,2026년 09월,18000,16200,,	9791172134754,https://www.yes24.com/product/goods/196670924
22,슬로 루킹,"피터 클로디어, 한주연, 조성규",퍼블리터,2026년 09월,18800,16920,,	9791199396050,https://www.yes24.com/product/goods/196670733
23,리 첼로 연주의 첫시작 첼로50연습곡 Op 101,"SEBASTIAN LEE, NASH PAGANG",한국음악사,2026년 09월,12000,12000,,	9788972262718,https://www.yes24.com/product/goods/196670650
24,"버려진 아이들의 집, 피렌체의 인노첸티","조지프 루치, 박희원",아고라,2026년 10월,22000,19800,,	9788992055840,https://www.yes24.com/product/goods/196670649
25,인상주의를 넘어 컬러링북,,한국경제신문,2026년 05월,15500,13950,,	9788947502740,https://www.yes24.com/product/goods/196600772
26,인간등급 C,오광욱,다산서림,2026년 09월,13000,11700,,	9791124671047,https://www.yes24.com/product/goods/196577088
27,천광우의 화성실습 직풀직해,천광우,노래알,2026년 09월,23000,23000,,	9791185873046,https://www.yes24.com/product/goods/196577099
28,채율하다,이정은,미디어샘,2026년 09월,29000,26100,,	9788968572746,https://www.yes24.com/product/goods/196575234
29,스페인 미술 500년,한경arte 특별취재팀,한국경제신문,2026년 09월,15000,13500,,	9788947503242,https://www.yes24.com/product/goods/196575080
30,"안녕하세요, 머큐리 씨",김정욱,상상의순,2026년 09월,17000,15300,,	9791199150126,https://www.yes24.com/product/goods/196574210
31,패션도식화 AI 룩북,김소라,일진사,2027년 01월,22000,20900,,	9788942921140,https://www.yes24.com/product/goods/196566125
32,김백봉- 신무용의 르네상스를 이루다,김백봉춤보전회,디프넷,2026년 09월,10000,9000,,	9788994574721,https://www.yes24.com/product/goods/196566118
33,마흔의 스케치북,김태연,BOOKK(부크크),2026년 09월,10600,10600,,	9791112284167,https://www.yes24.com/product/goods/196555824
34,시니어 인지프로그램 2,이기은,BOOKK(부크크),2026년 09월,15500,15500,,	9791112285072,https://www.yes24.com/product/goods/196555794
35,아파트 로그아웃,고수혁,BOOKK(부크크),2026년 09월,18400,18400,,	9791112288943,https://www.yes24.com/product/goods/196555747
36,헤어 스케치 드로잉 Hair Sketch Drawing,이기은,BOOKK(부크크),2026년 09월,30000,30000,,	9791112280060,https://www.yes24.com/product/goods/196555736
37,"도시의 숨은 힘, 공간 시너지","윤윤정, 장영호",한국학술정보,2026년 09월,25000,23750,,	9791174577009,https://www.yes24.com/product/goods/196559263
38,노래로 배우는 통기타교본,기타캠프,기타북,2026년 09월,20000,18000,,	9791194527510,https://www.yes24.com/product/goods/196550033
40,단편극집 II,"사무엘 베케트, 이예원",워크룸프레스,2026년 09월,22000,19800,,	9791194232445,https://www.yes24.com/product/goods/196520717
42,명화 클래식 큐레이션,클래식 읽어주는 남자,삼호ETM,2026년 09월,22000,19800,,	9788967216023,https://www.yes24.com/product/goods/196509390
43,명화로 시작하는 유럽 장식 드로잉,박민지,블랙잉크,2026년 09월,16800,15120,,	9791199487284,https://www.yes24.com/product/goods/196508278
44,플로리스트의 꽃도감 컬러링북 : 봄꽃·가을꽃,배철호,수풀미디어,2027년 02월,22000,22000,,	9788994177724,https://www.yes24.com/product/goods/196494039
45,더 컴업펀스 The Comeuppance,"브랜든 제이콥스-젠킨스, 이은진",희곡탐미소,2026년 08월,19000,19000,,	9791199941229,https://www.yes24.com/product/goods/196490038
47,그림책 출판하기 매뉴얼 A to Z,"이영주, 박혜지",곰곰출판,2026년 09월,14000,12600,,	9791197614484,https://www.yes24.com/product/goods/196485228
48,뉴욕의 일곱 시선,현수정,헥사곤,2026년 09월,22000,19800,,	9791124694015,https://www.yes24.com/product/goods/196473075
49,10일 만에 완성하는 LIVE2D 캐릭터 모델링 기초 강의,"후미, 송지연",AK(에이케이 커뮤니케이션즈),2026년 09월,30000,27000,,	9791144101333,https://www.yes24.com/product/goods/196360641
50,"한 컷의 순간, 영원을 담다",백맹기,느티나무가있는풍경,2026년 09월,23000,20700,,	9791199504523,https://www.yes24.com/product/goods/196356115
51,취소 (월간옥키60),"에그그, 하동수, Bluemoon, 이동혁, 김기봉, 정보 더 보기/감추기, 에그그, 하동수, Bluemoon, 이동혁, 김기봉, 장인주, 김태휘, 김선우, 허진",레시픽,2026년 08월,13000,11700,,	9791190753340,https://www.yes24.com/product/goods/196354312
