rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,"끝까지 해 보자, 때밀이 장갑!",유설화,책읽는곰,2026년 04월,15000,13500,10.0,9791158366179,https://www.yes24.com/product/goods/185891630
2,엄마가 유령이 되었어!,"노부미, 이기웅",길벗어린이,2016년 05월,12000,10800,9.0,9788955823509,https://www.yes24.com/product/goods/27582352
3,나쁜 일이 있어도 나쁜 날은 아니야,"정문정, 피도크, 천근아",서교책방,2026년 01월,16800,15120,9.8,9791199555136,https://www.yes24.com/product/goods/174965461
4,1학년 한글 떼기,"하유정, 김희선",한빛에듀,2024년 03월,14000,12600,9.9,9791169212014,https://www.yes24.com/product/goods/125313386
5,우리는 언제나 다시 만나,"윤여림, 안녕달",위즈덤하우스,2017년 07월,12000,10800,9.8,9788962478518,https://www.yes24.com/product/goods/43862350
6,행복한 꿀벌 콜레트,"장프랑수아 세네샬, 파스칼 보낭팡, 김보희",FIKAJUNIOR(피카주니어),2026년 04월,16800,15120,10.0,9791192869506,https://www.yes24.com/product/goods/185482852
7,다 모여 편의점,김영진,책읽는곰,2026년 03월,15000,13500,10.0,9791158366049,https://www.yes24.com/product/goods/182816842
8,브로콜리지만 사랑받고 싶어,"별다름, 달다름, 서영",키다리,2021년 12월,14000,12600,9.8,9791157855506,https://www.yes24.com/product/goods/105643501
9,오늘은 나의 생일이야,"진은영, 이수지",초록귤(우리학교),2026년 04월,18000,16200,9.6,9791167553713,https://www.yes24.com/product/goods/183527579
10,어디 있을까? 숨은그림찾기 1000,레이크 프레스,길벗스쿨,2022년 05월,8800,7920,9.8,9791164064397,https://www.yes24.com/product/goods/109368485
11,사과는 이렇게 하는 거야,"데이비드 라로셀, 마이크 우누트카, 이다랑",블루밍제이,2023년 07월,16800,15120,9.9,9791197525377,https://www.yes24.com/product/goods/120813157
12,벚꽃 팝콘,백유연,웅진주니어,2020년 03월,13000,11700,9.9,9788901241371,https://www.yes24.com/product/goods/89761750
