rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,"끝까지 해 보자, 때밀이 장갑!",유설화,책읽는곰,,13500,13500,10.0,9791158366179,https://www.yes24.com/product/goods/185891630
2,우산도 우산이 필요해,보람,길벗어린이,,13500,13500,10.0,9788955828382,https://www.yes24.com/product/goods/185714834
3,"[그래제본소] 우리의 계절이 달라도, 봄을 줄게","김모리, 마담규",달리,,16200,16200,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=269200
4,프린세스 캐치! 티니핑 마음을 가꾸는 동화 6 : 이슬의 힘을 믿어요!,SAMG,아이휴먼,,14400,14400,,9791165384906,https://www.yes24.com/product/goods/186144346
5,방귀 탐정 키키,도토리별,도토리별,2026년 03월,15000,13500,,9791198720580,https://www.yes24.com/product/goods/187782017
6,긍정적인 개구리 / 사자굴에서도 긍정적으로,"이영숙, 신예진, 김희종",LYS좋은나무성품학교,2018년 02월,15000,13500,,9791188242795,https://www.yes24.com/product/goods/187779961
7,긍정을 선택해요 / 긍정의 용사,"이영숙, 김희종",LYS좋은나무성품학교,2018년 02월,15000,13500,,9791188242801,https://www.yes24.com/product/goods/187779967
8,미켈란젤로의 긍정 / 긍정적인 정탐꾼,"이영숙, 김희종",LYS좋은나무성품학교,2018년 02월,15000,13500,,9791188242818,https://www.yes24.com/product/goods/187779971
9,위시캣 매직카드 엽서물감색칠,,아이누리,2026년 04월,7000,5950,,8800366711945,https://www.yes24.com/product/goods/187765366
10,세상에서 제일 예의 바른 괴물 봉바르봉의 심부름,"큐라이스, 봉봉",미운오리새끼,2026년 04월,16500,14850,,9791165184575,https://www.yes24.com/product/goods/187745388
12,분홍색을 좋아하는 아저씨,"다케무라 다케시, obak, 이홍희",아울북,2026년 04월,16900,15210,,9791173579493,https://www.yes24.com/product/goods/187672278
13,사랑은 손끝이 닿아가는 것,나승현,다정다감,2026년 04월,16000,14400,,9791193140307,https://www.yes24.com/product/goods/187593519
