rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,오뒷세이아,"호메로스, 김헌",을유문화사,,22500,22500,9.0,	9788932476469,https://www.yes24.com/product/goods/194511329
2,깨달은 들짐승처럼 살기로 했다,한그루,더퀘스트,,16200,16200,10.0,	9791140719785,https://www.yes24.com/product/goods/194752642
3,"번아웃 직전, 맹자를 만났다","판덩, 유연지",이든서재,,17820,17820,,	9791194812296,https://www.yes24.com/product/goods/194751929
4,[그래제본소] 당신의 집중력은 잘못이 없다,반건호,라이프앤페이지,,19800,19800,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=275197
5,사회정서학습 100가지 상황별 행동하기,(주)한국콘텐츠미디어 (부설)한국진로교육센터,한국콘텐츠미디어,2026년 07월,159000,151050,,	8809496291631,https://www.yes24.com/product/goods/194924102
6,투자하는 뇌,"가미오카 마사아키, 류두진",오픈도어북스,2026년 08월,16800,15120,,	9791173744877,https://www.yes24.com/product/goods/194922654
7,오뒷세이아 + 김헌의 그리스 로마 신화 세트,"김헌, 호메로스",을유문화사,2026년 08월,45000,40500,9.4,,https://www.yes24.com/product/goods/194920655
8,스토리로 배우는 인문학 수업,김금선,세종서적,2026년 08월,19500,17550,,	9791124255292,https://www.yes24.com/product/goods/194920208
9,심리상담 핸드북,이상오,지식터,2026년 08월,55000,55000,,	9791124326596,https://www.yes24.com/product/goods/194908390
10,신지학,루돌프 슈타이너,한국인지학출판사,2026년 08월,28000,25200,,	9791192887081,https://www.yes24.com/product/goods/194907694
11,100년의 질문,"엘버트 허바드, 충희",여린풀,2026년 08월,16800,15120,,	9791199885028,https://www.yes24.com/product/goods/194907036
12,"화역畫易, 주역을 그리다",사공홍주,예문서원,2026년 07월,25000,25000,,	9788976465078,https://www.yes24.com/product/goods/194906605
13,이게 프랑스어라고?,박재연,이응,2026년 09월,17000,15300,,	9791198057860,https://www.yes24.com/product/goods/194906191
14,일리아스 + 오뒷세이아 세트,"호메로스, 이준석",아카넷,2023년 10월,67000,60300,9.4,,https://www.yes24.com/product/goods/194905640
15,"동아시아 관문도시의 에스닉 공간, 그리고 공존의 조건",전지영,한국학술정보,2026년 07월,22000,20900,,	9791174577511,https://www.yes24.com/product/goods/194904779
16,"성인 ADHD, 삶을 다시 조율하다",정선미,학지사,2026년 07월,16000,16000,10.0,	9788999737879,https://www.yes24.com/product/goods/194904771
17,"막스 슈티르너, 유일자와 그의 소유",박종성,커뮤니케이션북스,2026년 08월,12000,12000,,	9791143031488,https://www.yes24.com/product/goods/194904485
