rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,2026년 02월,0,0,,9791124248171,https://www.yes24.com/product/goods/177044720
2,니체의 초월자,"프리드리히 니체, 김철",히읏,2025년 10월,0,0,,9791192559100,https://www.yes24.com/product/goods/161401496
3,완벽한 원시인,자청,필로틱,2026년 03월,0,0,,9791199383074,https://www.yes24.com/product/goods/180137091
4,부처님 말씀대로 살아보니,"토니 페르난도, 강정선",윌마,2026년 02월,0,0,,9791199496651,https://www.yes24.com/product/goods/176913274
5,최소한의 삼국지 (10만 부 기념 도원결의 에디션),"최태성, 이성원",프런트페이지,2025년 11월,0,0,,9791193401583,https://www.yes24.com/product/goods/166390503
6,이향인,"라미 카민스키, 최지숙",21세기북스,2026년 03월,0,0,,9791173578601,https://www.yes24.com/product/goods/182009922
7,위버멘쉬,프리드리히 니체,떠오름,2025년 03월,0,0,,9791192372730,https://www.yes24.com/product/goods/142972546
8,보이지 않는 질서를 읽다,이강호,인문학향기충전소,2026년 03월,0,0,,9791199551930,https://www.yes24.com/product/goods/182125075
9,삶으로 다시 날아오르기,"빌헬름 슈미트, 강민경",피카(FIKA),2026년 03월,0,0,,9791193866498,https://www.yes24.com/product/goods/182040139
10,쇼펜하우어 인생수업 (30만 부 기념 개정증보판),"아르투어 쇼펜하우어, 김지민",하이스트,2024년 02월,0,0,,9791193282045,https://www.yes24.com/product/goods/125085536
11,내 언어의 한계는 내 세계의 한계이다,김종원,마인드셋(Mindset),2024년 05월,0,0,,9791194072003,https://www.yes24.com/product/goods/126670771
12,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024년 10월,0,0,,9791171711673,https://www.yes24.com/product/goods/125557465
13,빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클, 이시형",청아출판사,2026년 01월,0,0,,9788936812621,https://www.yes24.com/product/goods/170736476
14,다크 심리학,다크 사이드 프로젝트,어센딩,2025년 07월,0,0,,9791198754080,https://www.yes24.com/product/goods/149658696
15,총 균 쇠,"재레드 다이아몬드, 강주헌",김영사,2023년 05월,0,0,,9788934942467,https://www.yes24.com/product/goods/118755085
16,명상록,"마르쿠스 아우렐리우스, 박문재",현대지성,2018년 04월,0,0,,9791187142379,https://www.yes24.com/product/goods/59463540
17,아비투스,"도리스 메르틴, 배명자",다산초당,2023년 03월,0,0,,9791130698366,https://www.yes24.com/product/goods/118146744
18,사피엔스,"유발 하라리, 조현욱, 이태수",김영사,2015년 11월,0,0,,9788934972464,https://www.yes24.com/product/goods/23030284
19,초역 부처의 말,"코이케 류노스케, 박재현",포레스트북스,2024년 05월,0,0,,9791193506516,https://www.yes24.com/product/goods/126590468
20,편안함의 습격,"마이클 이스터, 김원진",수오서재,2025년 06월,0,0,,9791193238691,https://www.yes24.com/product/goods/147570099
21,여덟 단어,박웅현,인티앤,2023년 06월,0,0,,9791197977046,https://www.yes24.com/product/goods/119410542
22,오십에 읽는 주역,강기진,유노북스,2023년 10월,0,0,,9791192300917,https://www.yes24.com/product/goods/123126171
23,이병한의 테크노-차이나 탐문,이병한,서해문집,2025년 11월,0,0,,9791194413707,https://www.yes24.com/product/goods/162000217
24,캐릭터 심리 사전,"린다 N. 에델스타인, 지여울",부키,2026년 04월,0,0,,9791175780170,https://www.yes24.com/product/goods/185306232
25,사랑의 기술,"에리히 프롬, 황문수",문예출판사,2019년 09월,0,0,,9788931011623,https://www.yes24.com/product/goods/77728036
26,"하루 한 줄, 나를 지키는 필사책","구병모, 김려령, 김민서, 김중미, 백온유, 정보 더 보기/감추기, 구병모, 김려령, 김민서, 김중미, 백온유, 이희영, 천선란, 이현",창비,2025년 06월,0,0,,9788936431600,https://www.yes24.com/product/goods/148122910
27,먼저 온 미래,장강명,동아시아,2025년 06월,0,0,,9788962626605,https://www.yes24.com/product/goods/148032297
28,연민에 관하여,"프랭크 카프리오, 이혜진",포레스트북스,2026년 03월,0,0,,9791194530916,https://www.yes24.com/product/goods/182623975
