rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,[그래제본소] 단단하고 쉬운 대상관계이론 상담 수업,권경인,라이프앤페이지,,0,0,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=268826
2,아는 것으로부터의 자유,"지두 크리슈나무르티, 안진환, 서진",스노우폭스북스,,0,0,,9791194966395,https://www.yes24.com/product/goods/185521950
3,손절사회,이승연,어크로스,,0,0,,9791167742827,https://www.yes24.com/product/goods/186511806
4,우리말 표현 수업,홍성호,인플루엔셜,,0,0,,9791168343733,https://www.yes24.com/product/goods/185478288
5,초한지 인생 공부,"김태현, 사마천",PASCAL,2026년 05월,0,0,,9791186151839,https://www.yes24.com/product/goods/187572688
6,래퍼와 공원,송재홍,민음사,2026년 04월,0,0,,9788937492556,https://www.yes24.com/product/goods/187571450
7,러셀의 인생 수업,성기철,을유문화사,2026년 04월,0,0,,9788932476117,https://www.yes24.com/product/goods/187571398
8,낭독필사 비움의 힘,마음결연구소,열린문학,2026년 04월,0,0,,9791171421084,https://www.yes24.com/product/goods/187571397
9,다음 리카에게,김이향,민음사,2026년 04월,0,0,,9788937492532,https://www.yes24.com/product/goods/187571244
10,날로 노는 홍대,홍성훈,민음사,2026년 04월,0,0,,9788937492518,https://www.yes24.com/product/goods/187571177
11,단어-문장 조음마켓,이은솔,와이즈박스(Wise Box),2026년 04월,0,0,,8809507026092,https://www.yes24.com/product/goods/187570835
12,글을 쓰기로 마음먹은 당신을 위한 책,"벡 에번스 · 크리스 스미스, 방수연",사이드웨이,2026년 04월,0,0,,9791191998726,https://www.yes24.com/product/goods/187553708
13,인생의 오후에는 잃어야 얻는다,"카를 구스타프 융, 변지영",더퀘스트,2026년 04월,0,0,,9791140718542,https://www.yes24.com/product/goods/187544260
14,뇌과학을 알면 교실이 바뀐다,"키어런 오마호니, 정지영",내하출판사,2026년 04월,0,0,,9788957176221,https://www.yes24.com/product/goods/187541407
15,몸을 추정하기,"게일 샐러먼, 전혜은",오월의봄,2026년 04월,0,0,,9791168731776,https://www.yes24.com/product/goods/187544261
16,나와 당신은 왜 분노하는가,"커트 그레이, 제효영",김영사,2026년 04월,0,0,,9791173325861,https://www.yes24.com/product/goods/187535012
17,브레인 아웃소싱,김해용,바른북스,2026년 04월,0,0,,9791176211819,https://www.yes24.com/product/goods/187531635
18,유대인 생각 수업,임유진,미래문화사,2026년 05월,0,0,,9788972995951,https://www.yes24.com/product/goods/187516143
19,미로에서 출구 찾기,"프란체스카 페란도, 송은주",동녘,2026년 04월,0,0,,9788972972068,https://www.yes24.com/product/goods/187510082
20,경성백경,김은주,동녘,2026년 04월,0,0,,9788972972051,https://www.yes24.com/product/goods/187504196
