rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,독서의 기술,고명환,라곰,2026년 07월,19800,17820,9.8,	9791193939666,https://www.yes24.com/product/goods/192555379
2,브레인 악셀,이진우,바른뇌연구소,2026년 09월,22000,19800,10.0,	9791122075106,https://www.yes24.com/product/goods/195250585
3,독성 인간,"리앤 텐 브링크, 김효정",웅진지식하우스,2026년 07월,21000,18900,10.0,	9788901300283,https://www.yes24.com/product/goods/194300887
4,아주 작은 습관의 힘 (50만 부 기념 스페셜 에디션),"제임스 클리어, 이한이",비즈니스북스,2019년 02월,18000,16200,9.4,	9791162540640,https://www.yes24.com/product/goods/69655504
5,내면 근력,"짐 머피, 지여울",윌북(willbook),2026년 04월,22000,19800,9.3,	9791155819227,https://www.yes24.com/product/goods/183809488
6,어떻게 살아낼 것인가,"짐 콜린스, 고영훈, 윤영호",필름,2026년 07월,29800,26820,9.6,	9791124468272,https://www.yes24.com/product/goods/193453141
7,더 시스템 THE SYSTEM,"스콧 애덤스, 김인수",베리북,2024년 01월,18000,16200,9.0,	9791188102259,https://www.yes24.com/product/goods/124129609
8,무례한 세상에서 나를 지키는 법,"발타자르 그라시안, 하와이 대저택",논픽션,2026년 03월,19800,17820,8.9,	9791199489530,https://www.yes24.com/product/goods/182422429
9,"경계인 : AI 시대, 새로운 인재의 조건",백영재,세상을바꾸는시간15분,2026년 07월,20000,18000,9.8,	9791124746011,https://www.yes24.com/product/goods/194761987
10,명상록,"마르쿠스 아우렐리우스, 박문재",현대지성,2018년 04월,12000,10800,9.6,	9791187142379,https://www.yes24.com/product/goods/59463540
11,대한민국 부의 감각,터보832,체인지업,2026년 09월,22000,19800,8.0,	9791124863015,https://www.yes24.com/product/goods/194892341
12,세이노의 가르침,세이노(SayNo),데이원,2023년 03월,7200,6480,9.0,	9791168473690,https://www.yes24.com/product/goods/117014613
13,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),"데일 카네기, 임상훈",현대지성,2019년 10월,11500,10350,9.6,	9791187142560,https://www.yes24.com/product/goods/79297023
14,김미경의 플러스 휴먼,김미경,어웨이크(AWAKE),2026년 05월,19500,17550,9.2,	9791199624993,https://www.yes24.com/product/goods/189589723
15,어른의 감정을 돌보는 100일 필사 노트,김종원,청림Life,2026년 04월,20000,18000,9.8,	9791193842669,https://www.yes24.com/product/goods/183546734
16,운명을 보는 기술,박성준,페이지2북스,2025년 10월,18800,16920,9.4,	9791169851626,https://www.yes24.com/product/goods/160067656
17,어른의 품격을 채우는 100일 필사 노트,김종원,청림Life,2025년 03월,20000,18000,9.8,	9791193842287,https://www.yes24.com/product/goods/142687238
18,렛뎀 이론,"멜 로빈스, 윤효원",비즈니스북스,2025년 08월,20000,18000,9.4,	9791162544327,https://www.yes24.com/product/goods/149739762
19,질문의 격,유선경,앤의서재,2025년 05월,17800,16020,9.4,	9791194877004,https://www.yes24.com/product/goods/146603660
20,부처님 말씀대로 살아보니,"토니 페르난도, 강정선",윌마,2026년 02월,18900,17010,9.4,	9791199496651,https://www.yes24.com/product/goods/176913274
21,너를 미워할 시간에 나를 사랑하기로 했다,윤서진,스몰빅라이프,2024년 11월,18800,16920,9.3,	9791191731712,https://www.yes24.com/product/goods/136269105
22,삶은 그대에게 잘해줄 의무가 없다,"페마 쵸드론, 신동숙",윌마,2026년 07월,18000,16200,9.7,	9791124754009,https://www.yes24.com/product/goods/194485796
23,소곤소곤 심리학 토크,"황양밍, 이영주",더페이지,2026년 08월,18800,16920,10.0,	9791194156451,https://www.yes24.com/product/goods/194645979
24,말은 운명을 데려온다,이하영,토네이도,2026년 06월,19800,17820,9.9,	9791158513580,https://www.yes24.com/product/goods/190998248
25,기브 앤 테이크,"애덤 그랜트, 윤태준",생각연구소,2013년 06월,17500,15750,9.1,	9788962605815,https://www.yes24.com/product/goods/8949343
26,딱 1년만 미쳐라,리치파카(강연주),모티브,2026년 03월,19800,17820,9.8,	9791124370056,https://www.yes24.com/product/goods/181003172
27,데일 카네기 자기관리론,"데일 카네기, 임상훈",현대지성,2021년 01월,11500,10350,9.7,	9791191280333,https://www.yes24.com/product/goods/96794060
28,체력을 바꿔야 재력이 바뀐다,정주영,메가믹스스튜디오,2026년 05월,21000,18900,9.9,	9791198393425,https://www.yes24.com/product/goods/189231979
29,부처의 감정 수업,자현,오아시스,2026년 08월,20000,18000,9.9,	9791168274846,https://www.yes24.com/product/goods/194328504
30,명료함,탁민 오,탁희재,2026년 02월,19800,17820,9.5,	9791199649415,https://www.yes24.com/product/goods/169680977
