rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,ESQUIRE 에스콰이어 B형 (월간) : 9월 [2026],,허스트중앙,,13300,13300,,,https://www.yes24.com/product/goods/194919110
2,ESQUIRE 에스콰이어 A형 (월간) : 9월 [2026],,허스트중앙,,13300,13300,10.0,,https://www.yes24.com/product/goods/194919109
3,ESQUIRE 에스콰이어 C형 (월간) : 9월 [2026],,허스트중앙,,13300,13300,,,https://www.yes24.com/product/goods/194919111
4,COSMOPOLITAN 코스모폴리탄 글로벌에디션 (여성월간) : 9월 [2026],,HEARST JOONGANG,,6650,6650,,,https://www.yes24.com/product/goods/194824365
5,Littor 릿터 (격월간) : 8/9월 [2026],민음사 편집부,민음사,2026년 08월,15000,14250,,	9772508333003,https://www.yes24.com/product/goods/194921920
6,WWD 코리아 B형 : 9월 [2026],,더블유더블유디,2026년 08월,14900,14150,,	9772799510008,https://www.yes24.com/product/goods/194921901
7,WWD 코리아 A형 : 9월 [2026],,더블유더블유디,2026년 08월,14900,14150,,	9772799510008,https://www.yes24.com/product/goods/194921895
8,리뷰 MUSIC REVIEW (월간) : 8월 [2026],,에듀뮤직,2026년 08월,10000,9500,,	9772508181000,https://www.yes24.com/product/goods/194920478
9,마케팅 Marketing (월간) : 8월 [2026],,한국마케팅연구원,2026년 08월,9000,8550,,	9771227520008,https://www.yes24.com/product/goods/194920480
10,기계기술 (월간) : 8월 [2026],,백미터,2026년 08월,10000,9500,,	9772234621009,https://www.yes24.com/product/goods/194920481
11,기계&자동화 (월간) : 8월 [2026],,백미터,2026년 08월,8000,7600,,	9771975096008,https://www.yes24.com/product/goods/194920482
12,친환경 (월간) : 8월 [2026],,(주)친환경넷,2026년 08월,12000,11400,,	9771739926206,https://www.yes24.com/product/goods/194920483
13,주간조선 (주간) : 2921호 [2026],,조선일보사,2026년 08월,5000,4750,,	9771228223007,https://www.yes24.com/product/goods/194920484
14,ESQUIRE 에스콰이어 A~C형 세트 (월간) : 9월 [2026],,허스트중앙,2026년 09월,42000,39900,10.0,,https://www.yes24.com/product/goods/194919552
15,글로 보는 이슈 픽 글픽 (주간) : 33주차 [2026],,동아이지에듀,2026년 08월,3500,3320,,	9772799932008,https://www.yes24.com/product/goods/194919517
16,시사IN (주간) : 8월 18일 제987호 [2026],,참언론,2026년 08월,5000,4750,,	9771976394806,https://www.yes24.com/product/goods/194919459
