rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,베스트 차일드애플 1 / 전10권 /세이펜호환,,스마일북스(전집),2020년 08월,64000,57600,10.0,,https://www.yes24.com/product/goods/91786433
2,반갑다 논리야+논리야 놀자+고맙다 논리야 전3권 세트,,사계절(전집),2023년 03월,30000,27000,10.0,,https://www.yes24.com/product/goods/128081277
3,"제29회 책과함께, KBS한국어능력시험 4급 선정도서 전12권",,찰리북(전집),2017년 02월,160500,144450,,,https://www.yes24.com/product/goods/182738314
4,올리버의 어마어마하게 시리즈 전3권 세트,,미래엔아이세움(전집),2025년 10월,43000,38700,,,https://www.yes24.com/product/goods/172858256
5,2026 제29회 책과함께 KBS 한국어 능력시험 5급 12권 세트,,책이랑(기획),2026년 02월,184100,163890,,,https://www.yes24.com/product/goods/187030715
6,"제29회 책과함께, KBS한국어능력시험 5급 선정도서 전12권",,책과콩나무(전집),2024년 03월,184100,163890,,,https://www.yes24.com/product/goods/184393469
7,나다움 어린이성교육동화 전8권,,그레이트북스(전집),2025년 05월,52000,46800,,,https://www.yes24.com/product/goods/147035111
8,받침 배우는 동화 시리즈 세트 (전10권),,받침없는동화(전집),2020년 06월,85000,76500,,,https://www.yes24.com/product/goods/115048325
9,푸른사자 와니니 1~3권 세트,,창비(전집),2002년 07월,36000,32400,10.0,,https://www.yes24.com/product/goods/101510600
10,용선생 만화 한국사 1~12번세트(전12권) + 대형연표증정,,사회평론(전집),2017년 12월,156000,140400,,,https://www.yes24.com/product/goods/58818341
11,산왕 부루 1~2권 세트(노트 증정),,웅진주니어(전집),2013년 06월,20000,18000,9.3,,https://www.yes24.com/product/goods/32726348
12,천재라면 어휘 시리즈 전3권 세트,,슈크림북(전집),2026년 01월,46000,40950,,,https://www.yes24.com/product/goods/184393730
13,흔한남매 세계사 탐험대 1-5권 세트 (전 5권),,주니어김영사(전집),2025년 12월,74000,66600,,,https://www.yes24.com/product/goods/180514050
14,김영하의 세계문학 원정대 1-7권 세트 (전 7권),,주니어김영사(전집),2025년 12월,103600,93240,,,https://www.yes24.com/product/goods/180513985
15,자판기 그림책 세트 (아빠자판기+엄마자판기+친구자판기)(전 3권),,노란돼지(전집),2025년 06월,49000,44100,,,https://www.yes24.com/product/goods/174163482
16,개구쟁이특공대 시즌2 신간3권,,아람키즈(전집),2025년 05월,24000,21600,,9791165438968,https://www.yes24.com/product/goods/147037869
17,불량한 자전거 여행 1~4권 세트,,창비(전집),2024년 12월,51600,46440,,,https://www.yes24.com/product/goods/144082014
18,(전4권)빵도둑 시리즈 세트,시바타 게이코,길벗어린이(전집),2024년 06월,56000,50400,,,https://www.yes24.com/product/goods/133310945
19,컬러 몬스터 시리즈 1~4권 세트,,청어람미디어(전집),2024년 03월,55000,49500,,,https://www.yes24.com/product/goods/127208788
20,앤서니 브라운 우리가족 시리즈 세트 전5권 우리할아버지 넌나의우주야 우리형 우리엄마 아빠,,웅진주니어(전집),2024년 05월,66000,59400,,,https://www.yes24.com/product/goods/126866413
21,봄봄 딸기+여름 낚시+알밤 소풍+코코 스키 세트 전4권 사계절 소풍 그림책,,재능교육,2023년 12월,40000,36000,,,https://www.yes24.com/product/goods/124533094
22,나다움 바르고 건강한 성교육 동화 (전8권),,그레이트북스(전집),2024년 12월,52000,46800,,,https://www.yes24.com/product/goods/123805828
23,한글 공부한 다음 첫 읽기 연습책 받침 있는 읽기 편 1~3권 세트,,키출판사(전집),2022년 07월,39000,35100,,,https://www.yes24.com/product/goods/114634455
24,똑쟁낱말카드 (플래시카드200장)(세이펜활용가능),,별똥별(전집),2020년 04월,28000,25200,,,https://www.yes24.com/product/goods/89328952
25,서혜정이 읽어주는 하하호호 명작동화 사운드북 풀세트 (전4권),,어깨동무(전집),2015년 09월,56000,50400,,,https://www.yes24.com/product/goods/42497410
26,한글용사 아이야_워크북 세트 (전10권),,EBS MEDIA,2023년 06월,90000,81000,,,https://www.yes24.com/product/goods/186671624
27,의사 어벤저스 21 22 23 24번 세트 (전4권),,가나출판사(전집),2025년 11월,63200,56880,,,https://www.yes24.com/product/goods/186085679
28,용선생이 간다 1~ 9 10 11 12 13 14 15번 세트 (전15권),,사회평론주니어,2021년 11월,210000,189000,,,https://www.yes24.com/product/goods/186085516
29,슈뻘맨의 숨은 생물찾기 1~3권 세트,,미래엔아이세움(전집),2025년 03월,46800,42120,,,https://www.yes24.com/product/goods/185733220
30,공룡대발이 안전동화,,봄이아트북스(전집),2026년 03월,94000,84600,,,https://www.yes24.com/product/goods/183802899
31,흔한남매 16-21번 세트-전6권,,미래엔아이세움(전집),2025년 12월,95500,85950,,,https://www.yes24.com/product/goods/182641057
32,흔한남매 1-21번 세트-전21권,,미래엔아이세움(전집),2025년 12월,290500,261450,,,https://www.yes24.com/product/goods/182641025
33,설민석의 삼국지 대모험 21 22 23 24 25번 세트 (전5권),,단꿈아이(전집),2025년 12월,70000,63000,,,https://www.yes24.com/product/goods/182640955
34,미요의 신비한 신기한 고전책방 1-5 세트,,윌북주니어,2026년 01월,79000,71100,,,https://www.yes24.com/product/goods/180513863
35,흔한남매의 흔한 호기심 1~14권 세트,,미래엔아이세움(전집),2026년 01월,235200,211680,,,https://www.yes24.com/product/goods/180513281
36,미요의 신비한 고전책방 1~5권 세트,,윌북주니어,2025년 12월,79000,71100,,,https://www.yes24.com/product/goods/180495532
37,2026 제29회 책과함께 KBS 한국어 능력시험 누리급 12권 세트,,책이랑(기획),2026년 02월,184800,166320,,,https://www.yes24.com/product/goods/178333780
38,4-7세 추천 감정그림책: 화가 나면 열을 세어봐+나는 어떤 아이일까+내가 말할 차례야 세트 (전 3권),,다봄(전집),2025년 11월,43000,38700,,,https://www.yes24.com/product/goods/176556165
39,여기는 루퐁이네 전4권 세트,,서울문화사(전집),2025년 11월,52800,47520,,,https://www.yes24.com/product/goods/176553967
40,올리버의 어마어마한 과학이야기 3권세트(우주+화산+진화),,미래엔아이세움(전집),2023년 12월,43000,38700,,,https://www.yes24.com/product/goods/171430488
41,구름+눈꽃+파도 도감 전3권 세트,,런치박스,2025년 09월,76000,68400,,,https://www.yes24.com/product/goods/167498862
42,얄라차 생쥐 형제 시리즈 세트(구름주스-봄/고래빙수-여름/노을수프-가을/낭만찐빵-겨울) 세트(전4권),,미래엔아이세움(전집),2021년 08월,44000,39600,,,https://www.yes24.com/product/goods/152306856
43,이야기 꽃할망,,그레이트북스(전집),2025년 07월,423000,423000,,,https://www.yes24.com/product/goods/150252000
44,권투+야구+고무+레이스+비닐+쌍둥이 장갑 초등학교 세트 (전6권),유설화,책읽는곰(전집),2025년 03월,82000,73800,,,https://www.yes24.com/product/goods/147103379
45,마이 리틀 경제동화 전12권,,그레이트북스(전집),2025년 05월,72000,64800,,9791197585692,https://www.yes24.com/product/goods/147035113
46,불량한 자전거 여행 1~4 세트 (전4권),김남중,창비(전집),2024년 09월,51600,46440,,,https://www.yes24.com/product/goods/144165161
