rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,한글용사 아이야_워크북 세트 (전10권),,EBS MEDIA,,81000,81000,,,https://www.yes24.com/product/goods/186671624
2,의사 어벤저스 21 22 23 24번 세트 (전4권),,가나출판사(전집),,56880,56880,,,https://www.yes24.com/product/goods/186085679
3,용선생이 간다 1~ 9 10 11 12 13 14 15번 세트 (전15권),,사회평론주니어,,189000,189000,,,https://www.yes24.com/product/goods/186085516
4,"2026년 제29회 책과함께,KBS한국어능력시험 선정도서(4급)-전12권",,보림(전집),,144450,144450,,,https://www.yes24.com/product/goods/187027066
5,배우고 글씨도 써보고 전3권 세트,,아이스쿨,2025년 08월,36000,32400,,,https://www.yes24.com/product/goods/187572711
6,배우고 글씨도 써보고 전3권 세트,,아이스쿨,2025년 08월,36000,32400,,,https://www.yes24.com/product/goods/187572712
7,흔한남매 과학 탐험대 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16번 세트 (전17권),,주니어김영사(전집),2025년 12월,279600,251640,,,https://www.yes24.com/product/goods/187572713
8,과학사를 알면 과학이 재밌어! 1 2 3 4번 세트 (전4권),,와이즈만북스(전집),2026년 01월,68000,61200,,,https://www.yes24.com/product/goods/187572714
9,공룡 대발이 안전동화 (전30권),봄이아트북스 편집부,봄이아트북스(전집),2021년 10월,94000,84600,,,https://www.yes24.com/product/goods/187572715
10,공룡대발이와 함께하는 세계문화여행(전 50권),봄이아트북스 편집부,봄이아트북스(전집),2022년 10월,330000,297000,,,https://www.yes24.com/product/goods/187572723
11,공룡대발이 수학동화(전 56권),봄이아트북스 편집부,봄이아트북스(전집),2024년 10월,260000,234000,,,https://www.yes24.com/product/goods/187572725
12,[봄이아트북스] 공룡대발이 과학동화 (전56권),봄이아트북스 편집부,봄이아트북스(전집),2021년 10월,260000,234000,,,https://www.yes24.com/product/goods/187572726
13,공룡대발이 생활동화 배워요(전 50권),봄이아트북스 편집부,봄이아트북스(전집),2021년 03월,140000,126000,,,https://www.yes24.com/product/goods/187572728
14,공룡 대발이 생활동화 만나요(전 50권),봄이아트북스 편집부,봄이아트북스(전집),2021년 03월,140000,126000,,,https://www.yes24.com/product/goods/187572731
15,마이리틀경제동화(전12권),편집부,그레이트북스(전집),2022년 11월,72000,64800,,,https://www.yes24.com/product/goods/187572734
16,2026년 한국학교사서협회 초등 중학년 추천도서 14권세트,,고래가숨쉬는도서관(전집),2025년 02월,207600,186840,,,https://www.yes24.com/product/goods/187716490
17,2026년 초등5학년 한 권 읽기 12권세트/한국학교사서협회 추천도서,,고래가숨쉬는도서관(전집),2026년 01월,190100,171090,,,https://www.yes24.com/product/goods/187716489
18,2026년 한국학교사서협회 초등 저학년 추천도서 30권세트,,가람어린이(전집),2025년 11월,461600,415440,,,https://www.yes24.com/product/goods/187716488
19,2026년 초등4학년 한 권 읽기 11권세트/한국학교사서협회 추천도서,,키큰도토리(전집),2024년 10월,148000,133200,,,https://www.yes24.com/product/goods/187667776
20,Theme 스티커로 놀아요 12종 시리즈 (전12권),,(주)애플비(전집),2026년 02월,78000,70200,,,https://www.yes24.com/product/goods/187667766
21,한눈에 펼쳐보는 그림책 5종 시리즈_2 (전5권),,진선아이(전집),2026년 01월,82000,73800,,,https://www.yes24.com/product/goods/187572736
22,흔한남매 안 흔한 일기 1-3번 시리즈 (전3권),,미래엔아이세움(전집),2020년 09월,50400,45360,,,https://www.yes24.com/product/goods/187572739
23,다독다독 언어 (전48종) / 세이펜 미포함,,다산어린이(전집),2026년 03월,400000,360000,,,https://www.yes24.com/product/goods/187572740
24,레벨이 다른 야무진 10대를 위한 단 하나의 과학 지식! 넥스트 레벨 1-10권 세트 (전 10권),,한솔수북(전집),2025년 06월,145000,130500,,,https://www.yes24.com/product/goods/187572741
25,한글도 쓰고 초등 교과도 익히고! 한솔 엄마표 한글쓰기 1-5권 세트 (전 5권),,한솔수북(전집),2021년 08월,42000,37800,,,https://www.yes24.com/product/goods/187572742
26,좀 하(아)는 고양이 루이 시리즈: 수영 + 캠핑 + 그림 세트 (전 3권),,한솔수북(전집),2024년 07월,44800,40320,,,https://www.yes24.com/product/goods/187572743
27,이런 직업 어때? 좋다면 이런 직업! 시리즈 세트 (전 6권),,한솔수북(전집),2024년 06월,81000,72900,,,https://www.yes24.com/product/goods/187572745
28,이런 직업 어때? 좋다면 이런 직업! 시리즈 세트 (전 5권),,한솔수북(전집),2023년 10월,67500,60750,,,https://www.yes24.com/product/goods/187572746
29,초등학생추천 베스트셀러 판타지동화: 절대 열어 보지마! 시리즈 세트 (전 4권),,한솔수북(전집),2021년 12월,52000,46800,,,https://www.yes24.com/product/goods/187572748
30,따라 쓰기 시리즈: 동시 따라 쓰기 + 세계 명작 따라 쓰기 세트 (전 4권),,한솔수북(전집),2023년 12월,63600,57240,,,https://www.yes24.com/product/goods/187572749
31,무브무브 플랩북 움직이는 물+동물+공룡+인체 세트,,보림(전집),2022년 10월,158000,142200,,,https://www.yes24.com/product/goods/187572751
32,환생학교 요괴반 5 6 7 번 세트 (전3권),,미래엔아이세움(전집),2025년 12월,48400,43560,,,https://www.yes24.com/product/goods/187572753
33,나의 첫 그리스로마신화(전12권) 신과영웅들의 이야기,편집부,그레이트북스(전집),2025년 02월,72000,64800,,,https://www.yes24.com/product/goods/187572759
34,그래 책이야 1-50권 세트 문해력발달 /교과필독서,편집부,잇츠북어린이(전집),2025년 10월,578600,520740,,,https://www.yes24.com/product/goods/187572760
35,그래 책이야 1-74권 세트 문해력발달 /교과필독서,편집부,잇츠북어린이(전집),2025년 10월,902600,812340,,,https://www.yes24.com/product/goods/187572761
36,내 친구 요요 세트- 여원미디어-전80종,여원미디어 편집부,여원미디어(전집),2022년 09월,664500,598050,,,https://www.yes24.com/product/goods/187572762
37,삼국연의 탄탄 삼국지 103종,여원미디어 편집부,여원미디어(전집),2022년 09월,422000,379800,,,https://www.yes24.com/product/goods/187572763
38,보석스티커 종이접기 2종 브레인 카드 48장 유아지능개발 4종 세트/전6종/종이접기-파티.동물.브레인카드-숫자카드.과일채소.동물.한글카드,,애플비북스(전집),2025년 07월,70000,63000,,,https://www.yes24.com/product/goods/187667773
39,우리 아이 호기심과 두뇌를 자극하는 스티커로 놀아요 12권 세트/소중한나.세계.마트.공룡.인지놀이.유치원.우리동네.동물.음식.나와가족.탈것.자연,,애플비북스(전집),2022년 11월,78000,70200,,,https://www.yes24.com/product/goods/187667774
40,진짜 진짜 재밌는 그림책 시리즈- 곤충+공룡~영장류+특수자동차 그림책 (전23권),,라이카미(전집),2025년 10월,589000,530100,,,https://www.yes24.com/product/goods/187572764
41,냥스타는 수배 중 1-3 행복한 고양이 키우기 세트/전4권/냥스타는수배중1-3.고양이키우기백과사전,,기탄출판사(전집),2024년 11월,58500,52650,,,https://www.yes24.com/product/goods/187572765
42,해냄 어린이 동양철학 2권 서양철학 2권 세트/공자.맹자.플라톤.칸트/어린이철학동화/논술토론인성교육을한권에,,해냄(전집),2022년 03월,52000,46800,,,https://www.yes24.com/product/goods/187572767
43,해냄 논술 토론 인성교육을 한권에 담은 어린이 철학동화 8권 세트/어린이동양철학2권.서양철학2권.노마의발견1-4,,해냄(전집),2021년 12월,104000,93600,,,https://www.yes24.com/product/goods/187572768
44,우리 아이 첫 지능UP 시리즈 12권 세트/숨은그림찾기.종이접기.오리기.미로찾기.같은그림찾기.첫점잇기.첫한글.첫숫자.첫알파벳.첫색칠공부.첫선긋기.첫다른그림찾기,,효리원(전집),2017년 06월,58800,52920,,,https://www.yes24.com/product/goods/187572769
45,초등학생 한자 쉽게 따기 8급-6급 시리즈 5권 세트/8급.7급-상.하.6급-상.하,,효리원(전집),2015년 07월,35000,31500,,,https://www.yes24.com/product/goods/187572771
46,Why 와이 스포츠 1-6 세트/K-POP댄스.농구.배구프로게이머.축구.야구,,예림당(전집),2022년 10월,82800,74520,,,https://www.yes24.com/product/goods/187572773
47,초등학생 러블리 걸 시리즈 7권 세트/수수께끼.사춘기성.별자리혈액형점.반려동물기르기.다이어트.헤어스타일.아이러브반려견,,효리원(전집),2019년 11월,70000,63000,,,https://www.yes24.com/product/goods/187572774
48,음식대결로 배우는 세계문화탐방 히밥 1-3 세트/북미음식.유럽음식.아시아음식,,예림당(전집),2024년 04월,42000,37800,,,https://www.yes24.com/product/goods/187572775
49,숭민이의 일기 11권 세트/원수는백일장에서만난다.오해해서미안해.난쓰러지지않아.해외여행이뭐라고.내인생최고의하루 외,,풀빛(전집),2022년 12월,144000,129600,,,https://www.yes24.com/product/goods/187572777
50,생일엔 마라탕 1-7 세트(전7권)/마법의 마라탕 이야기/어린이 베스트셀러 동화,,밝은미래(전집),2024년 01월,91000,81900,,,https://www.yes24.com/product/goods/187572779
51,초등 천재가 되다 세트 (전20권)글쓰기 천재가 되다/글쓰기 천재가 되다! PRACTICE:/맞춤법 천재가 되다1-2/공부 천재가 되다1-2/사자성어 천재가 되다1-7/,,oldstairs(올드스테어즈)(전집),2025년 05월,246000,221400,,,https://www.yes24.com/product/goods/187572780
52,초등 국어 학습 만화 천재가 되다 세트 (전13권) 글쓰기 천재가 되다!/맞춤법 천재가 되다1-2/사자성어 천재가 되다1-7/사자소학 천재가 되다,,oldstairs(올드스테어즈)(전집),2025년 05월,158500,142650,,,https://www.yes24.com/product/goods/187572781
53,사자성어 천재가 되다 1-7 + 사자소학 천재가 되다 세트 (전8권),,oldstairs(올드스테어즈)(전집),2025년 05월,97500,87750,,,https://www.yes24.com/product/goods/187572782
54,사자성어 천재가 되다 1-7 세트 (전7권),,oldstairs(올드스테어즈)(전집),2025년 05월,85500,76950,,,https://www.yes24.com/product/goods/187572783
55,SCP 재단 확보하고 격리하고 보호하라 1-10 + 스페셜 에이전트 1-3 세트 (전13권),,oldstairs(올드스테어즈)(전집),2025년 05월,163000,146700,,,https://www.yes24.com/product/goods/187572784
56,만 3-6세부터 영재 세트 (전8권) 만3세 1-2 / 만4세1-2 / 만5세 1-2 / 만6세1-2,,oldstairs(올드스테어즈)(전집),2022년 01월,104000,93600,,,https://www.yes24.com/product/goods/187572785
57,SCP 재단 확보하고 격리하고 보호하라 1-10 세트 (전10권),,oldstairs(올드스테어즈)(전집),2025년 05월,124000,111600,,,https://www.yes24.com/product/goods/187572786
58,넘버블록스 오리지널 스토리북 세트 전10권+대백과 수학 놀이북 1-7 세트 전17권,,펭귄랜덤하우스코리아,2024년 01월,205500,184950,,,https://www.yes24.com/product/goods/187572787
59,넘버블록스 대백과 수학 놀이북 1-7 세트 전7권,,펭귄랜덤하우스코리아,2024년 01월,80500,72450,,,https://www.yes24.com/product/goods/187572790
60,미스터리 추리동화 찰리 9세 11-20 세트/추리 모험 공포 미스터리에 IQ가 쑥쑥 올라가는 퀴즈까지!,,밝은미래(전집),2020년 06월,120000,108000,,,https://www.yes24.com/product/goods/187572791
61,올리 해외 창작 그림책 세트+올리 국내 창작 그림책 세트 전20권,,올리(전집),2026년 02월,292600,263340,,,https://www.yes24.com/product/goods/187667775
62,행운의 갈림길 1 2 3번 세트 (전3권),,길벗스쿨(전집),2026년 04월,44000,39600,,,https://www.yes24.com/product/goods/187572793
63,나의 첫 세계사 세트 + 나의 첫 과학책 세트 -2박스출고,,휴먼어린이(전집),2024년 02월,600000,540000,,,https://www.yes24.com/product/goods/187572794
64,최태성의 한능검 한국사 6-10권 세트,,다산어린이(전집),2026년 01월,70000,63000,,,https://www.yes24.com/product/goods/187572795
65,최태성의 한능검 한국사 5-10권 세트,,다산어린이(전집),2026년 01월,84000,75600,,,https://www.yes24.com/product/goods/187572796
66,최태성의 한능검 한국사 4-10권 세트,,다산어린이(전집),2026년 01월,98000,88200,,,https://www.yes24.com/product/goods/187572797
67,변호사 어벤저스 7 8 9 번 세트 (전3권),,가나출판사(전집),2025년 11월,47400,42660,,,https://www.yes24.com/product/goods/187572798
68,최태성의 한능검 한국사 2-10권 세트,,다산어린이(전집),2026년 01월,126000,113400,,,https://www.yes24.com/product/goods/187572799
69,최태성의 한능검 한국사 1-10권 세트,,다산어린이(전집),2026년 01월,140000,126000,,,https://www.yes24.com/product/goods/187572801
70,유아 4세-6세 아이좋아 스티커북 17권 A+B세트/식물.까치와호랑이.이탈리안브레인롯1-2.공룡.탈것.음식.과일채소.바다동물.마트놀이.공주.국기.우리집.우리문화유산.반려,,고은문화사(전집),2022년 09월,112000,100800,,,https://www.yes24.com/product/goods/187572802
71,의사 어벤저스 1~19 20 21 22 23 24번 세트 (전24권),,가나출판사(전집),2025년 11월,359200,323280,,,https://www.yes24.com/product/goods/187572804
72,유아 4세-6세 아이좋아 스티커북 9권 A세트/우리집.국기.공주.마트놀이.바다동물.과일채소.음식.탈것.공룡,,고은문화사(전집),2022년 09월,58500,52650,,,https://www.yes24.com/product/goods/187572807
73,전사들 6부 그림자의 환영 2 3 4 번 세트 (전3권),,가람어린이(전집),2026년 01월,52500,47250,,,https://www.yes24.com/product/goods/187572808
74,풀빛 초등 1학년-2학년 추천도서 12권 세트/대박이사라진날.용돈받는날.낱말사전.색칠해봐/환경실천그림책.세계문화이야기.경제동화.편견그림책.성장동화.인성동화,,풀빛(전집),2020년 07월,170800,153720,,,https://www.yes24.com/product/goods/187716491
75,초등 저학년 동화 쫌 읽는 어린이 시리즈 7권 세트/초등판타지동화.초등모험동화.성고정관념.인성동화.성장동화,,풀빛(전집),2020년 12월,88000,79200,,,https://www.yes24.com/product/goods/187572809
76,초등 1학년-2학년 인성동화 괜찮아 괜찮아 17권 세트/2-18번/저학년인성그림책.감정그림책.감정설명서,,두레아이들(전집),2012년 07월,170000,153000,,,https://www.yes24.com/product/goods/187572811
77,드래곤 마스터 11 12 13 14 15 16 번 세트 (전6권),,다산어린이(전집),2026년 01월,78000,70200,,,https://www.yes24.com/product/goods/187572812
78,최태성의 한능검 한국사 1~ 5 6 7 8 9 10번 세트 (전10권),,다산어린이(전집),2026년 01월,140000,126000,,,https://www.yes24.com/product/goods/187572813
79,Go Go 카카오프렌즈 자연탐사 11 12 13 14번 세트 (전4권),,아울북(전집),2026년 01월,67400,60660,,,https://www.yes24.com/product/goods/187572814
80,드래곤 마스터 12-16권 세트,,다산어린이(전집),2026년 01월,65000,58500,,,https://www.yes24.com/product/goods/187572815
81,드래곤 마스터 11-16권 세트,,다산어린이(전집),2026년 01월,78000,70200,,,https://www.yes24.com/product/goods/187572817
82,드래곤 마스터 10-16권 세트,,다산어린이(전집),2026년 01월,91000,81900,,,https://www.yes24.com/product/goods/187572818
83,드래곤 마스터 9-16권 세트,,다산어린이(전집),2026년 01월,104000,93600,,,https://www.yes24.com/product/goods/187572819
84,드래곤 마스터 8-16권 세트,,다산어린이(전집),2026년 01월,117000,105300,,,https://www.yes24.com/product/goods/187572820
85,드래곤 마스터 7-16권 세트,,다산어린이(전집),2026년 01월,130000,117000,,,https://www.yes24.com/product/goods/187572822
86,드래곤 마스터 6-16권 세트,,다산어린이(전집),2026년 01월,143000,128700,,,https://www.yes24.com/product/goods/187572823
87,드래곤 마스터 5-16권 세트,,다산어린이(전집),2026년 01월,156000,140400,,,https://www.yes24.com/product/goods/187572825
88,드래곤 마스터 4-16권 세트,,다산어린이(전집),2026년 01월,169000,152100,,,https://www.yes24.com/product/goods/187572826
89,드래곤 마스터 3-16권 세트,,다산어린이(전집),2026년 01월,182000,163800,,,https://www.yes24.com/product/goods/187572827
90,드래곤 마스터 2-16권 세트,,다산어린이(전집),2026년 01월,195000,175500,,,https://www.yes24.com/product/goods/187572829
91,드래곤 마스터 1-16권 세트,,다산어린이(전집),2026년 01월,208000,187200,,,https://www.yes24.com/product/goods/187572830
93,"2026년 제29회 책과함께,KBS한국어능력시험 선정도서(5급)-전12권",,책과콩나무(전집),2025년 12월,184100,165690,,,https://www.yes24.com/product/goods/187027068
94,공룡 대발이 직업동화 전40권/세이펜호환(별매),,봄이아트북스(전집),2026년 04월,120000,108000,,9791192497310,https://www.yes24.com/product/goods/187027070
95,수상한 시리즈 1-17 권 세트 박현숙 창작동화,,북멘토출판사(전집),2024년 11월,221000,198900,,,https://www.yes24.com/product/goods/187027071
96,달빛 문고 1-23권 세트 초등 저학년 중학년 창작동화,,아이음북스,2026년 01월,312400,281160,,,https://www.yes24.com/product/goods/187027072
97,멜로우TV 1 2 3 4번 세트 (전4권),,학산문화사(전집),2025년 12월,67200,60480,,,https://www.yes24.com/product/goods/187027074
98,마녀 요정 미라벨 6 7 8 9번 세트 (전4권),,을파소(전집),2025년 10월,61300,55170,,,https://www.yes24.com/product/goods/187027075
99,씨마스 고등 언어생활과 한자 자습서 (22개정),,씨마스,2026년 03월,25000,22500,,9791156726132,https://www.yes24.com/product/goods/187020344
100,씨마스 고등 경제 수학 자습서 (22개정),,씨마스,2026년 03월,18000,16200,,9791156726452,https://www.yes24.com/product/goods/187020345
101,씨마스 고등 윤리와 사상 자습서 (22개정),,씨마스,2026년 01월,20000,18000,,,https://www.yes24.com/product/goods/187020346
