rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,부처님 말씀대로 살아보니,"토니 페르난도, 강정선",윌마,2026년 02월,18900,17010,9.4,	9791199496651,https://www.yes24.com/product/goods/176913274
2,레바논의 시내,제시카 윤,규장,2026년 07월,28000,25200,,	9791165047306,https://www.yes24.com/product/goods/192678366
3,"나도 내 마음을 모를 때, 불교심리학",보만,불광출판사,2025년 11월,19000,17100,9.6,	9791172612207,https://www.yes24.com/product/goods/164746517
4,기독학부모로 살아가기,김정준,한낮의단비,2026년 06월,18000,17100,10.0,	9791198378514,https://www.yes24.com/product/goods/192468579
5,믿음이 넘어진 자리,원유경,규장,2026년 05월,25000,22500,9.9,	9791165047207,https://www.yes24.com/product/goods/189684303
6,거꾸로 가는 하나님 나라,김지희,햇살콩,2026년 05월,18000,16200,10.0,	9791199344655,https://www.yes24.com/product/goods/188841849
7,탁! 깨달음의 대화,법륜,정토출판,2025년 11월,17000,15300,9.9,	9791187297925,https://www.yes24.com/product/goods/167132030
8,"팀 켈러, 죄를 말하다","팀 켈러 (티머시 켈러), 윤종석",두란노,2026년 04월,18000,16200,10.0,	9788953152779,https://www.yes24.com/product/goods/187758601
9,스크루테이프의 편지,"C. S. 루이스, 김선형",홍성사,2018년 11월,13000,11700,9.5,	9788936513191,https://www.yes24.com/product/goods/67114707
10,하나님의 마스터플랜,고성준,규장,2026년 06월,18000,16200,,	9791165047245,https://www.yes24.com/product/goods/191694297
11,끝까지 잘 버티는 법,홍민기,규장,2026년 06월,15000,13500,,	9791165047283,https://www.yes24.com/product/goods/192172360
12,오십에 읽는 주역,강기진,유노북스,2023년 10월,17000,15300,9.1,	9791192300917,https://www.yes24.com/product/goods/123126171
13,침묵,"엔도 슈사쿠, 공문혜",홍성사,2003년 01월,14000,12600,9.6,	9788936506391,https://www.yes24.com/product/goods/333937
14,무소유,김세중,스타북스,2026년 01월,17000,15300,10.0,	9791157957880,https://www.yes24.com/product/goods/174347347
15,하나님의 임재 연습,"로렌스 형제, 윤종석",두란노,2018년 03월,8000,7200,9.4,	9788953125964,https://www.yes24.com/product/goods/59483738
16,이것이 복음이다,박요한,CLC(기독교문서선교회),2025년 03월,19000,17100,6.0,	9788934127949,https://www.yes24.com/product/goods/142761970
17,어? 성경이 읽어지네! 구약12과 성경방 워크북,이애실,생터성경사역원,2015년 05월,14500,13050,9.6,	9791192715636,https://www.yes24.com/product/goods/142976860
