rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,왕좌 전쟁,김병삼,두란노,,18000,18000,,	9788953153554,https://www.yes24.com/product/goods/194905137
2,창세기 강해,정동수,생명의말씀사,,22500,22500,,	9788992485760,https://www.yes24.com/product/goods/195142614
3,예수로 충분하다,박광리,규장,,11700,11700,,	9791165047436,https://www.yes24.com/product/goods/194923429
4,"아무튼, 사주",정홍칼리,제철소,,10800,10800,,	9791188343966,https://www.yes24.com/product/goods/195124982
5,깨어진 심장,박진석,하영인,2025년 01월,16000,15200,,	9791192254395,https://www.yes24.com/product/goods/195226674
6,52주 영국 미술관 교리 여행,"박양규, 최현준, 박은민",큐리북,2026년 08월,16000,14400,,	9791122064810,https://www.yes24.com/product/goods/195225761
7,52주 대영박물관 시간 여행,박양규,큐리북,2026년 08월,16000,14400,,	9791122064803,https://www.yes24.com/product/goods/195225634
8,킹제임스 유일주의자 정동수를 왜 이단이라 하는가,김홍기,기독교포털뉴스,2026년 08월,22000,19800,,	9791190229401,https://www.yes24.com/product/goods/195225103
9,The Biblical Hebrew (Survival Guide),고대곤,마체베트,2026년 08월,15000,14250,,	9791192448817,https://www.yes24.com/product/goods/195224647
10,"설교자의 길, 본문에서 강단으로",임세일,양무리서원,2026년 09월,20000,19000,,	9791199995604,https://www.yes24.com/product/goods/195224523
11,사람 낚는 어부의 기술,"토머스 보스턴, 아가페출판사 편집부, 이서용",아가페출판사,2026년 08월,12000,10800,,	9788953797048,https://www.yes24.com/product/goods/195225929
12,함께하심,도지원,아가페출판사,2026년 08월,24000,21600,,	9788953797031,https://www.yes24.com/product/goods/195226174
13,하이델베르크 요리문답 강해 : 당신의 유일한 위로,신호섭,좋은씨앗,2026년 08월,45000,40500,,	9788958744474,https://www.yes24.com/product/goods/195224131
14,당신이 미처 몰랐던 바로 그 예수,이동복,도서출판 좋은밭,2026년 05월,10000,10000,,	9791198793850,https://www.yes24.com/product/goods/195220469
15,마음으로 찾아가는 108 산사,선묵혜자,시간여행,2026년 08월,30000,27000,,	9791190301435,https://www.yes24.com/product/goods/195223669
16,찰스 핫지의 조직신학 세트,"찰스 핫지, 문병호, 김재모, 이성훈, 김경필",생명의말씀사,2026년 08월,250000,237500,,	9788904701308,https://www.yes24.com/product/goods/195147508
17,구약성서개론,최종진,토판,2026년 08월,20000,18000,,	9791199437401,https://www.yes24.com/product/goods/195142615
19,내면을 돌보는 일,"척 드그로트, 정효진",성서유니온,2026년 08월,18000,16200,,	9788932550824,https://www.yes24.com/product/goods/195141983
20,한국교회 지금도 부흥할 수 있다,이종승,킹덤북스,2026년 07월,20000,19000,,	9791158863616,https://www.yes24.com/product/goods/195141605
21,한용운의 꿈과 빛이 서린 처(處)·인(人)·서(書),동국대학교 만해연구소,불광출판사,2026년 08월,50000,45000,,	9791172612931,https://www.yes24.com/product/goods/195139659
22,NEW 한눈에 보는 신약 성경,이영훈,서울말씀사,2026년 08월,18000,16200,,	9788984349223,https://www.yes24.com/product/goods/195139613
23,근대 한국 종교사와 일본 종교,고병철,박문사,2026년 07월,59000,56050,,	9791173900525,https://www.yes24.com/product/goods/195139597
