rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,오투 중학 과학 2-1 (2026년),비상교육 편집부,비상교육,2025년 09월,19500,17550,9.8,9791173166860,https://www.yes24.com/product/goods/152451860
2,오투 중학 과학 3-1 (2026년),비상교육 편집부,비상교육,2025년 09월,19500,17550,9.9,9791173166884,https://www.yes24.com/product/goods/152451963
3,오투 중학 과학 2-2 (2026년),비상교육 편집부,비상교육,2025년 10월,19500,17550,9.9,9791173166877,https://www.yes24.com/product/goods/159267907
4,완자 기출 PICK 중학과학 2-1 (2026년),"황지혁, 박권태, 김선경",비상교육,2026년 02월,14000,12600,10.0,9791175901384,https://www.yes24.com/product/goods/177094702
5,쎈 중등 수학 1-1 (2026년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 10월,18000,16200,9.9,9788928334858,https://www.yes24.com/product/goods/161362446
6,오투 중학 과학 1-1 (2026년),비상교육 편집부,비상교육,2025년 09월,19000,17100,9.8,9791173166846,https://www.yes24.com/product/goods/152451696
7,쎈 중등 수학 2-1 (2026년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 09월,19000,17100,9.9,9788928347582,https://www.yes24.com/product/goods/153914550
8,완자 기출 PICK 중학역사 1-1 (2026년용),,비상교육,2025년 05월,12000,10800,9.0,9791173165665,https://www.yes24.com/product/goods/146497842
9,오투 중학 과학 3-2 (2026년),비상교육 편집부,비상교육,2026년 01월,18000,16200,9.7,9791173166891,https://www.yes24.com/product/goods/175200316
10,개념+유형 기초탄탄 라이트 중학 수학 1-1 (2026년),비상교육 편집부,비상교육,2025년 08월,19000,17100,9.9,9791173166921,https://www.yes24.com/product/goods/152363493
11,오투 중학 과학 1-2 (2026년),비상교육 편집부,비상교육,2026년 01월,18000,16200,9.9,9791173166853,https://www.yes24.com/product/goods/175194137
12,쎈 중등 수학 1-2 (2026년용),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 04월,17500,15750,9.8,9788928347889,https://www.yes24.com/product/goods/145575803
13,한끝 중등 역사 1-1 (2026년용),"심원섭, 김원일, 이대희",비상교육,2024년 10월,14000,12600,9.9,9791169409988,https://www.yes24.com/product/goods/141328562
14,쎈 중등 수학 3-1 (2027년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 01월,18000,16200,9.7,9788928349364,https://www.yes24.com/product/goods/141316833
15,내신콘서트 중학영어 기출문제집 [1학기 통합본] - 중2 동아 윤정미 (2026년),에듀플라자 편집부,(주)에듀플라자,2025년 12월,28000,25200,9.8,9791174101334,https://www.yes24.com/product/goods/170981616
16,개념+유형 기초탄탄 라이트 중학 수학 1-2 (2026년),비상교육 편집부,비상교육,2025년 11월,19000,17100,10.0,9791173168765,https://www.yes24.com/product/goods/167387502
17,HIGH TOP 하이탑 중학교 과학 2 (2026년),"김상협, 이연숙, 노동규, 고성영, 배미정, 조현태",동아출판,2025년 10월,28000,25200,10.0,9788900486735,https://www.yes24.com/product/goods/154743736
18,빠작 중학 국어 비문학 독해 1,"최두호, 권미득, 정문경, 송정윤, 배지은",동아출판,2023년 09월,14000,12600,9.8,9788900476675,https://www.yes24.com/product/goods/122891407
19,개념원리 RPM 알피엠 중학 수학 1-1 (2026년용),개념원리 수학연구소,개념원리,2023년 10월,18000,16200,9.8,9788961335904,https://www.yes24.com/product/goods/122494286
20,개념+유형 기초탄탄 라이트 중학 수학 2-1 (2026년),비상교육 편집부,비상교육,2025년 08월,19000,17100,9.9,9791173166945,https://www.yes24.com/product/goods/152363840
21,한끝 중학 사회 1-1 (2026년용),"윤민주, 윤시온, 주은지",비상교육,2024년 11월,16000,14400,9.9,9791169409926,https://www.yes24.com/product/goods/136728912
22,Grammar Inside 그래머 인사이드 Level 1,NE능률 영어교육연구소,NE능률,2022년 01월,15500,13950,9.8,9791125337072,https://www.yes24.com/product/goods/103929499
23,라이트쎈 중등 수학 1-1 (2026년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 11월,18000,16200,9.9,9788928350469,https://www.yes24.com/product/goods/167384478
24,올리드 중등 국어 2-1 미래엔 교과서편 민병곤 (2026년),"나단비, 양세진, 이시진, 정송희",미래엔,2025년 11월,18000,16200,9.6,9791175481862,https://www.yes24.com/product/goods/163648010
25,개념원리 중학 수학 2-1 (2026년용),개념원리 수학연구소,개념원리,2024년 04월,18000,16200,9.9,9788961334815,https://www.yes24.com/product/goods/126540504
26,중학영문법 3800제 1학년 (2026년),마더텅 편집부,마더텅,2025년 09월,13900,12510,9.9,9791168599758,https://www.yes24.com/product/goods/154838821
27,일품 중등 수학 1-1 (2026년용),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 04월,14000,12600,9.9,9788928347360,https://www.yes24.com/product/goods/145056498
28,개념원리 중학 수학 1-1 (2026년용),개념원리 수학연구소,개념원리,2023년 09월,18000,16200,9.8,9788961339858,https://www.yes24.com/product/goods/121827017
29,한끝 중등 역사 2-1 (2026년용),,비상교육,2020년 10월,13000,11700,9.6,9791166091001,https://www.yes24.com/product/goods/94776510
30,한끝 중등 사회 2-1 (2026년용),비상교육 편집부,비상교육,2022년 10월,15500,13950,9.8,9791169400817,https://www.yes24.com/product/goods/114672440
31,HIGH TOP 하이탑 내신 탑티어 중학 과학 2-1 (2026년),"이연숙, 신석진, 김익순",동아출판,2025년 10월,19500,17550,10.0,9788900486636,https://www.yes24.com/product/goods/154839660
32,체크체크 중학 국어 교과서편 천재 노미숙 3-1 (2026년용),"김희진, 문동열, 복주현, 고윤경",천재교육(학원),2024년 09월,18500,16650,9.8,9791125967279,https://www.yes24.com/product/goods/133894578
33,쎈 중등 수학 2-2 (2027년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2025년 01월,19000,17100,9.9,9788928350483,https://www.yes24.com/product/goods/172734767
