rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,버블티 내신100 중학 국어 2-1 1학기 전과정 기출문제집 지학(서혁) (2026년),조성우,학문아카이브,,19800,19800,,9791194583967,https://www.yes24.com/product/goods/186937037
2,체크체크 중학 과학 2-2 (2026년),천재교육 편집부,천재교육(학원),,16200,16200,,9791125989110,https://www.yes24.com/product/goods/186460726
3,백신 중학 과학 2-2,장성규(장풍),메가스터디북스,,18000,18000,,9791129717641,https://www.yes24.com/product/goods/186537176
4,버블티 내신100 중학 국어 2-1 1학기 전과정 기출문제집 해냄(강양희) (2026년),조성우,학문아카이브,,19800,19800,,9791194583943,https://www.yes24.com/product/goods/185832613
5,수매씽 유형 중학 수학 3-2 (2027년),"우희정, 김정현, 박소현",동아출판,2026년 05월,19000,17100,,9788900491302,https://www.yes24.com/product/goods/187799950
6,수매씽 유형 중학 수학 3-1 (2027년),"우희정, 김정현, 박소현",동아출판,2026년 05월,20000,18000,,9788900491296,https://www.yes24.com/product/goods/187799120
7,디딤돌 수학 개념기본 중 3-2 (2027년),디딤돌수학연구회,디딤돌교육(학습),2026년 04월,18000,16200,,9788926167946,https://www.yes24.com/product/goods/187781786
8,100발100중 기출문제집 1학기 기말고사 중2 영어 지학사 송미정 (2026년),,에듀원,2026년 04월,16000,14400,,9791176090216,https://www.yes24.com/product/goods/187778182
9,100발100중 기출문제집 1학기 기말고사 중2 영어 비상 황종배 (2026년),,에듀원,2026년 04월,16000,14400,,9791176090186,https://www.yes24.com/product/goods/187778006
10,100발100중 기출문제집 1학기 기말고사 중2 영어 미래엔 문영인 (2026년),,에듀원,2026년 04월,16000,14400,,9791176090179,https://www.yes24.com/product/goods/187777754
11,100발100중 기출문제집 1학기 기말고사 중2 영어 YBM 김은형 (2026년),,에듀원,2026년 04월,16000,14400,,9791176090209,https://www.yes24.com/product/goods/187777665
12,풍산자 개념완성 중학수학 3-1 (2026년),풍산자수학연구소,지학사(학습),2026년 04월,19000,17100,,9788905059491,https://www.yes24.com/product/goods/187571497
13,풍산자 반복수학 중학수학 3-1 (2026년),풍산자수학연구소,지학사(학습),2026년 04월,18000,16200,,9788905059484,https://www.yes24.com/product/goods/187571344
14,풍산자 테스트북 중학수학 3-1 (2026년),풍산자수학연구소,지학사(학습),2026년 04월,18000,16200,,9788905059514,https://www.yes24.com/product/goods/187571206
15,풍산자 필수유형 중학수학 3-1 (2026년),풍산자수학연구소,지학사(학습),2026년 04월,19000,17100,,9788905059507,https://www.yes24.com/product/goods/187571147
16,예비고등학생을 위한 수리논술과 인문논술 패턴훈련,문지효,좋은땅,2026년 04월,16800,15120,,9791138858854,https://www.yes24.com/product/goods/187564688
17,ALL100 올백 기출문제집 중2 수학 1학기 기말고사 (2026년),,천재교육(학원),2026년 04월,11000,9900,,9791125989127,https://www.yes24.com/product/goods/187504853
18,해법 열공 기출문제집 수학 1학기 기말고사 중2 (2026년),,천재교육,2026년 04월,11000,9900,,9791125989134,https://www.yes24.com/product/goods/187502688
19,2027 합격하는 특목고·자사고 자기소개서와 면접 (2026년),"황원식, 박정익",시대에듀,2026년 05월,26000,23400,,9791143413789,https://www.yes24.com/product/goods/187258852
20,행복한 논술 중학생용 190호 (2026.5),,이태종NIE논술연구소,2026년 05월,12000,10800,,9771976891008,https://www.yes24.com/product/goods/187027477
22,100발100중 기출문제집 1학기 기말고사 중2 영어 YBM 박준언 (2026년),,에듀원,2026년 04월,16000,14400,10.0,9791176090193,https://www.yes24.com/product/goods/186651490
23,100발100중 기출문제집 1학기 기말고사 중2 영어 능률 김기택 (2026년),,에듀원,2026년 04월,16000,14400,10.0,9791176090162,https://www.yes24.com/product/goods/186651194
24,100발100중 기출문제집 1학기 기말고사 중2 영어 천재 이상기 (2026년),,에듀원,2026년 04월,16000,14400,10.0,9791176090155,https://www.yes24.com/product/goods/186650812
26,완쏠 개념 중등수학 3-2,메가스터디북스 수학 연구회,메가스터디북스,2026년 04월,17000,15300,,9791129717023,https://www.yes24.com/product/goods/186536628
28,체크체크 중학 영어 2-2 (2026년),,천재교육(학원),2026년 04월,16500,14850,,9791125988991,https://www.yes24.com/product/goods/186459990
29,에이급 수학의 단비 중등 3-1 (2026년),,에이급,2026년 05월,12000,10800,,9788967701086,https://www.yes24.com/product/goods/186443154
30,최강100 중학국어 2-1 1학기 통합본 전과정 기출문제집 천재(노미숙) (2026년),,중학내신평가원,2026년 04월,23000,20700,,9791172601140,https://www.yes24.com/product/goods/186443144
31,최강100 중학국어 2-1 1학기 통합본 전과정 기출문제집 비상(박현숙) (2026년),,중학내신평가원,2026년 04월,23000,20700,,9791172601157,https://www.yes24.com/product/goods/186443143
32,최강100 중학국어 2-1 1학기 통합본 전과정 기출문제집 미래(민병곤) (2026년),,중학내신평가원,2026년 04월,23000,20700,,9791172601164,https://www.yes24.com/product/goods/186443140
33,체크체크 중학 사회 2-2 (2026년),"박현선, 주은지, 이지원",천재교육(학원),2026년 04월,16000,14400,,9791125988601,https://www.yes24.com/product/goods/186190602
34,체크체크 중학 역사 2-2 (2026년),"김은하, 송수연, 이은홍, 윤성애",천재교육(학원),2026년 04월,14500,13050,,9791125988656,https://www.yes24.com/product/goods/186190601
35,중학수학 절대강자 개념 2-2 (2026년),,에듀왕(왕수학),2026년 04월,17000,15300,,9788925928548,https://www.yes24.com/product/goods/186146068
36,중학수학 절대강자 개념+연산 2-2 (2026년),,에듀왕(왕수학),2026년 04월,14000,12600,,9788925928449,https://www.yes24.com/product/goods/186146067
38,수학의 힘 심화 감마 중학 수학 2-2 (2026년),최용준,천재교육(학원),2026년 04월,13500,12150,,9791125988311,https://www.yes24.com/product/goods/185721622
39,수학의 힘 개념 알파 중학 수학 2-2 (2026년),최용준,천재교육(학원),2026년 04월,16500,14850,,9791125988298,https://www.yes24.com/product/goods/185720948
40,수학의 힘 유형 베타 중학 수학 2-2 (2026년),"최용준, 홍정환, 성정길, 박성준",천재교육(학원),2026년 04월,16500,14850,,9791125988304,https://www.yes24.com/product/goods/185638392
41,숨마쿰라우데 중학수학 개념기본서 3-1 (2027년),강순모,이룸E&B(이룸이앤비),2026년 04월,19000,17100,9.7,9788959905812,https://www.yes24.com/product/goods/185522936
42,시험직전R 미적분1 (2026년),CSM17,CSM17,2026년 04월,19000,17100,,9791191522914,https://www.yes24.com/product/goods/185169809
43,Reading VISTA 6,마이클 A. 푸틀랙,다락원,2026년 02월,16500,14850,,9788927781202,https://www.yes24.com/product/goods/185144275
