rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,[그래제본소] 줌인 지역지리: 제주,탐라지리교육연구회,해냄에듀,,18000,18000,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=275690
2,문학특성화중학교,"전앤, 단디",뜨인돌,,13500,13500,10.0,	9791175990180,https://www.yes24.com/product/goods/195235473
4,중등부터 시작하는 학군지 최상위권 국어 공부법,지은혜,메가스터디북스,,19800,19800,,	9791129718860,https://www.yes24.com/product/goods/195437313
5,굿나잇 헤어살롱,남예은,사계절,2026년 08월,15000,13500,9.8,	9791169815512,https://www.yes24.com/product/goods/195601825
6,내가 알고리즘에 휘둘린다고요?,김지훈,동녘,2026년 08월,16800,15960,,	9788972972259,https://www.yes24.com/product/goods/195601409
7,재밌는 장면으로 오래 기억하는 한자 어휘,이주윤,한언,2026년 09월,21000,19950,,	9788955969788,https://www.yes24.com/product/goods/195597309
8,나라 걱정에 잠 못 이룬 조선 왕들의 경제 수업,유정호,다른,2026년 08월,16000,14400,,	9791156337980,https://www.yes24.com/product/goods/195602729
9,좋아하는 마음,"강석희, 고수리, 김지완, 범유진, 윤혜은, 정보 더 보기/감추기, 강석희, 고수리, 김지완, 범유진, 윤혜은, 이로아",주니어김영사,2026년 08월,15000,13500,,	9791173327803,https://www.yes24.com/product/goods/195602819
10,운루,임지선,이른,2026년 08월,16000,14400,,	9791198103369,https://www.yes24.com/product/goods/195535957
12,전쟁은 어떻게 정의를 훔쳤을까?,전국역사교사모임,휴머니스트,2026년 08월,19800,17820,,	9791170875598,https://www.yes24.com/product/goods/195485280
14,방울과 칼을 찬 선비,"김내언, 이지숙",뜻있는,2026년 08월,17000,15300,,	9791199693869,https://www.yes24.com/product/goods/195476967
15,알파 세계사 1-7권 세트,"서인원, 방대광, 송치중, 최운, 정효진, 정보 더 보기/감추기, 서인원, 방대광, 송치중, 최운, 정효진, 이재옥, 이은령, 역사교과서연구소",종이와나무,2026년 08월,116000,104400,,,https://www.yes24.com/product/goods/195476207
16,여성의 자리에서 본 한국 근현대사,"최성희, 권용철",사계절,2026년 09월,18000,16200,,	9791169815482,https://www.yes24.com/product/goods/195476108
17,이럴 땐 이런 역사,이현숙,펀앤아트,2026년 08월,15000,13500,,	9788961095778,https://www.yes24.com/product/goods/195458060
18,NEWTON HIGHLIGHT 중고등학교 수학,,(주)아이뉴턴,2026년 08월,18000,16200,,	9791199872165,https://www.yes24.com/product/goods/195444146
19,10대라면 반드시 알아야 할 수학의 역사,이재호,팬덤북스,2026년 08월,18000,16200,,	9791161694085,https://www.yes24.com/product/goods/195437622
21,자원,"필리프 비우익스, 뱅상 페리오, 소민영",탐,2026년 08월,18000,16200,,	9788964965603,https://www.yes24.com/product/goods/195432239
22,질문하는 공부,이성일,더메이커,2026년 09월,15000,13500,,	9791187809661,https://www.yes24.com/product/goods/195428493
23,생각하는 청소년을 위한 지구과학의 역사,정완상,성림원북스,2026년 09월,23000,20700,,	9791124072332,https://www.yes24.com/product/goods/195427158
24,먹고 마시고 여행하라 1,"강재호, 이혜원",나무를심는사람들,2026년 08월,18000,16200,,	9791193156469,https://www.yes24.com/product/goods/195417463
25,한국전쟁의 기원:기초 지식,김동희,샛책유한회사,2026년 08월,17000,15300,,	9791199649811,https://www.yes24.com/product/goods/195412838
26,"끓지 않는 물, 얼지 않는 물",하민영,플루토,2026년 09월,19000,17100,,	9791124573020,https://www.yes24.com/product/goods/195412794
27,아이와 경주를 걷다,오스칼,BOOKK(부크크),2026년 08월,15800,15800,10.0,	9791112266200,https://www.yes24.com/product/goods/195412528
28,포스텔리아,이수란,해온책방,2026년 08월,11000,11000,,	9791199900943,https://www.yes24.com/product/goods/195412480
29,아동·청소년을 위한 내 마음의 안전지대 워크북,이랑주,논지당인문학그림책연구소,2026년 08월,14000,14000,,	9791199851535,https://www.yes24.com/product/goods/195412459
30,휠체어를 타면,김선우,BOOKK(부크크),2026년 08월,13800,13800,,	9791112265562,https://www.yes24.com/product/goods/195412454
31,한여름의 태양,"우미오 유, 정미애",키다리,2026년 08월,14000,12600,,	9791157857968,https://www.yes24.com/product/goods/195412211
32,고전에서 배우는 공부의 길,권승호,지노,2026년 08월,19000,17100,,	9791193878491,https://www.yes24.com/product/goods/195411843
33,청소년 사춘기 성교육 필독 사전 세트,"니나 브로크만, 엘렌 스퇴켄 달, 망힐 비스네스, 신소희",초록서재,2026년 09월,46000,41400,,	9791192273464,https://www.yes24.com/product/goods/195412194
34,오덕하이스쿨 2,임잔디,하모니북(harmonybook),2026년 09월,19800,17820,,	9791167473158,https://www.yes24.com/product/goods/195409118
35,읽자마자 이해되는 과학책,오미진,맘에드림,2026년 08월,19500,17550,,	9791199985940,https://www.yes24.com/product/goods/195408919
