rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,디딤돌 초등수학 기본+응용 6-2 (2026년),편집부,디딤돌교육(학습),2026년 02월,17000,15300,9.8,9788926167489,https://www.yes24.com/product/goods/176993142
2,"뿌리깊은 초등국어 독해력 기본편 3단계 (초등3,4학년)",마더텅 편집부,마더텅,2018년 03월,9900,8910,9.7,9791162720400,https://www.yes24.com/product/goods/59198184
3,디딤돌 초등수학 기본+응용 5-2 (2026년),편집부,디딤돌교육(학습),2026년 02월,17000,15300,9.9,9788926167472,https://www.yes24.com/product/goods/176993136
4,1일 1독해 7세 첫 독해 1 이야기 글,"메가스터디 초등교육 연구소, 이현숙",메가스터디북스,2026년 03월,10000,9000,,9791129717771,https://www.yes24.com/product/goods/184315687
5,1일 1독해 7세 첫 독해 2 호기심 글,"메가스터디 초등교육 연구소, 이경미",메가스터디북스,2026년 03월,10000,9000,,9791129717788,https://www.yes24.com/product/goods/184316780
6,디딤돌 초등수학 기본+응용 4-2 (2026년),,디딤돌교육(학습),2026년 01월,17000,15300,10.0,9788926167465,https://www.yes24.com/product/goods/174192390
7,신사고 쎈 초등 수학 6-2 (2026년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,2026년 02월,18000,16200,10.0,9788928351954,https://www.yes24.com/product/goods/179732547
8,디딤돌 초등수학 기본+응용 6-1 (2026년),편집부,디딤돌교육(학습),2025년 08월,17000,15300,9.9,9788926166864,https://www.yes24.com/product/goods/151759267
9,디딤돌 초등수학 기본+응용 3-2 (2026년),,디딤돌교육(학습),2026년 01월,17000,15300,10.0,9788926167458,https://www.yes24.com/product/goods/174192364
10,"뿌리깊은 초등국어 독해력 기본편 1단계 (초등1,2학년)",마더텅 편집부,마더텅,2018년 03월,9900,8910,9.6,9791162720387,https://www.yes24.com/product/goods/59198169
11,"뿌리깊은 초등국어 독해력 기본편 5단계 (초등5,6학년)",마더텅 편집부,마더텅,2018년 04월,9900,8910,9.8,9791162720431,https://www.yes24.com/product/goods/59720706
12,하루 한장 독해 1단계,미래엔콘텐츠연구회,미래엔,2023년 11월,11000,9900,9.8,9791168415959,https://www.yes24.com/product/goods/123257365
13,디딤돌 초등수학 기본+응용 3-1 (2026년),편집부,디딤돌교육(학습),2025년 08월,17000,15300,9.8,9788926166833,https://www.yes24.com/product/goods/151758761
14,최상위 초등수학S 5-1 (2026년),,디딤돌교육(학습),2025년 10월,16000,14400,10.0,9788926166932,https://www.yes24.com/product/goods/155511249
15,"뿌리깊은 초등국어 독해력 기본편 2단계 (초등1,2학년)",마더텅 편집부,마더텅,2018년 03월,9900,8910,9.7,9791162720394,https://www.yes24.com/product/goods/59198176
16,디딤돌 초등수학 기본+응용 5-1 (2026년),편집부,디딤돌교육(학습),2025년 08월,17000,15300,9.9,9788926166857,https://www.yes24.com/product/goods/151759089
17,"빠작 초등 국어 비문학 독해 5단계 (5,6학년)","구주영, 김보라, 박혜영, 송인우, 이석호, 정보 더 보기/감추기, 구주영, 김보라, 박혜영, 송인우, 이석호, 정주연, 문동열",동아출판,2021년 11월,12000,10800,9.9,9788900465884,https://www.yes24.com/product/goods/104811482
18,기적의 계산법 2학년 세트,기적학습연구소,길벗스쿨,2021년 12월,17000,15300,9.9,9791164064113,https://www.yes24.com/product/goods/105746548
19,"뿌리깊은 초등국어 독해력 기본편 4단계 (초등3,4학년)",마더텅 편집부,마더텅,2018년 04월,9900,8910,9.8,9791162720424,https://www.yes24.com/product/goods/59720692
20,추론·비판 독해의 힘 1,기적학습연구소,길벗스쿨,2026년 03월,15000,13500,10.0,9791174671080,https://www.yes24.com/product/goods/181203403
21,기적의 계산법 4학년 세트,기적학습연구소,길벗스쿨,2021년 12월,17000,15300,9.9,9791164064137,https://www.yes24.com/product/goods/105746552
22,기적의 계산법 3학년 세트,기적학습연구소,길벗스쿨,2021년 12월,17000,15300,9.9,9791164064120,https://www.yes24.com/product/goods/105746551
