rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,신사고 라이트쎈 초등수학 5-2 (2026년),"홍범준, 신사고수학콘텐츠연구회",좋은책신사고,,15300,15300,,9788928351473,https://www.yes24.com/product/goods/186934675
2,점프왕수학 최상위 6-2 (2026년),박명전,에듀왕(왕수학),,15300,15300,,9788925928517,https://www.yes24.com/product/goods/186190609
3,점프왕수학 최상위 5-2 (2026년),박명전,에듀왕(왕수학),,15300,15300,,9788925928500,https://www.yes24.com/product/goods/186443127
4,디딤돌 초등수학 기본+유형 5-2 (2026년),,디딤돌교육(학습),,14850,14850,,9788926167533,https://www.yes24.com/product/goods/187037578
5,초등 수학 개념이 답이다 비와 비례 (2026년),"최용준, 해법수학연구회",천재교육,2026년 04월,13000,11700,,9791125988922,https://www.yes24.com/product/goods/187783531
6,초등 수학 개념이 답이다 소수 (2026년),"최용준, 해법수학연구회",천재교육,2026년 04월,13000,11700,,9791125988915,https://www.yes24.com/product/goods/187783518
7,초등 수학 개념이 답이다 곱셈구구 (2026년),"최용준, 해법수학연구회",천재교육,2026년 04월,13000,11700,,9791125988908,https://www.yes24.com/product/goods/187782882
8,수학리더 유형 6-2 (2026년),"최용준, 해법수학연구회",천재교육,2026년 05월,16000,14400,,9791125988397,https://www.yes24.com/product/goods/187782125
9,수학리더 유형 5-2 (2026년),"최용준, 해법수학연구회",천재교육,2026년 05월,16000,14400,,9791125988380,https://www.yes24.com/product/goods/187782096
10,수학리더 응용·심화 6-2 (2026년),"최용준, 해법수학연구회",천재교육,2026년 04월,16000,14400,,9791125988410,https://www.yes24.com/product/goods/187782036
11,수학리더 응용·심화 5-2 (2026년),"최용준, 해법수학연구회",천재교육,2026년 04월,16000,14400,,9791125988403,https://www.yes24.com/product/goods/187782011
12,유형이 편해지는 생각수학 초등 6-2 (2026년),시매쓰수학연구소,시매쓰출판,2026년 04월,16500,14850,,9791134703653,https://www.yes24.com/product/goods/187537250
13,유형이 편해지는 생각수학 초등 5-2 (2026년),시매쓰수학연구소,시매쓰출판,2026년 04월,16500,14850,,9791134703639,https://www.yes24.com/product/goods/187536746
14,개념이 쉬워지는 생각수학 초등 6-2 (2026년),시매쓰수학연구소,시매쓰출판,2026년 04월,16500,14850,,9791134703615,https://www.yes24.com/product/goods/187535847
15,개념이 쉬워지는 생각수학 초등 5-2 (2026년),시매쓰수학연구소,시매쓰출판,2026년 04월,16500,14850,,9791134703592,https://www.yes24.com/product/goods/187534911
16,완자 공부력 사회 교과서 자료 독해 6-2 (2026년),,비상교육,2026년 04월,12000,10800,,9791173165658,https://www.yes24.com/product/goods/187516269
17,완자 공부력 사회 교과서 자료 독해 6-1 (2026년),,비상교육,2026년 04월,12000,10800,,9791173165641,https://www.yes24.com/product/goods/187516142
18,완자 공부력 사회 교과서 자료 독해 5-2 (2026년),,비상교육,2026년 04월,12000,10800,,9791173165634,https://www.yes24.com/product/goods/187515398
19,완자 공부력 사회 교과서 자료 독해 5-1 (2026년),,비상교육,2026년 04월,12000,10800,,9791173165627,https://www.yes24.com/product/goods/187513907
20,초등 사고력 수학 - 이렇게 철저한 수학 [이철수],,애슐런북스,2025년 10월,440000,396000,,9791194856009,https://www.yes24.com/product/goods/187302025
21,디딤돌 초등수학 기본+유형 6학년 세트 (2026년),,디딤돌교육(학습),2026년 04월,33000,29700,10.0,,https://www.yes24.com/product/goods/187042217
22,디딤돌 초등수학 기본+유형 5학년 세트 (2026년),,디딤돌교육(학습),2026년 04월,33000,29700,10.0,,https://www.yes24.com/product/goods/187041917
23,디딤돌 초등수학 기본+유형 4학년 세트 (2026년),,디딤돌교육(학습),2026년 04월,33000,29700,10.0,,https://www.yes24.com/product/goods/187041870
24,나는 초등고학년 영어독해이다 2,김소연,디딤돌교육(학습),2026년 04월,10000,9000,,9788926167984,https://www.yes24.com/product/goods/187041860
25,디딤돌 초등수학 기본+유형 3학년 세트 (2026년),,디딤돌교육(학습),2026년 04월,33000,29700,10.0,,https://www.yes24.com/product/goods/187041852
26,나는 초등고학년 영어독해이다 1,김소연,디딤돌교육(학습),2026년 04월,10000,9000,,9788926167977,https://www.yes24.com/product/goods/187041842
27,디딤돌 초등수학 기본+유형 2학년 세트 (2026년),,디딤돌교육(학습),2026년 04월,33000,29700,10.0,,https://www.yes24.com/product/goods/187041837
